ur10_right_store j 134.524 -76.6487 117.04 -162.435 61.8142 105.0 0.0
kuka_store j 95.16 121.04 10.75 -114.40 -14.88 36.22 31.21
tray_hand_hover c 850.566 -270.556 -536.081 180.0 0.0 0.0 0 0
tray_hand_grasp c 850.566 -270.556 -393.229 180.0 0.0 0.0 0 0
tray_place_hover c 773.19 697.513 -669.844 -180.0 0.0 -180.0 0 0
tray_place c 773.19 697.513 -783.766 -180.0 0.0 -180.0 0 0
cylinder_get_hover c 846.737 786.848 -574.263 -180.0 0.0 -90.0 0 0
cylinder_get c 846.737 786.848 -802.348 -180.0 0.0 -90.0 0 0
cylinder_hold_back c 846.722 591.11 -574.25 90.0 90.0 180.0 0 0
cylinder_fixture_1 c 846.722 909.435 -574.25 90.0 90.0 180.0 0 0
cylinder_fixture_2 c 846.722 909.435 -574.25 -180.0 -90.0 90.0 0 0
cylinder_put_hover c 789.796 858.288 -600.0 -180.0 0.0 -180.0 0 0 cylinder_put c 789.796 858.288 -804.709 -180.0 0.0 -180.0 0 0
rod_get_hover c -530.67 -478.84 200.0 -180.0 0.0 -90 1 44
rod_get c -530.67 -478.84 8.34 -180.0 0.0 -90 1 44
rod_put_hover c -412.97 -584.28 331.0 -180.0 0.0 -90 1 44
rod_put c -412.97 -584.28 288.89 -180.0 0.0 -90 1 44
cap_get_hover_1 c -566.18 -485.28 331.0 -180.0 0.0 -90.0 1 44
cap_get_1 c -566.18 -485.28 4.65-180.0 0.0 -90.0 1 44
cap_put_hover c -412.97 -584.28 331.0 -180.0 0.0 -90.0 1 44
cap_put c -412.97 -584.28 275.0 -180.0 0.0 -90.0 1 44
cap_get_hover_2 c -489.63 -480.31 331.0 -180.0 0.0 -90.0 1 44
cap_get_2 c -489.63 -480.31 4.39 -180.0 0.0 -90.0 1 44
