abb_r_store j 37.57 -107.59 -68.35 45.00 -126.88 69.40 28.83
abb_l_store j -41.15 -88.88 59.29 70.33 118.85 89.44 41.60 59.29
cylinder_get_hover c 523.71 156.12 105.16 -167.70 -68.29 57.04 0 0
cylinder_get c 548.90 226.29 76.26 -167.70 -68.29 57.04 0 0
cylinder_remove c 548.90 226.29 179.0 -167.70 -68.29 57.04 0 0
cylinder_put_hover c 512.63 -63.04 60.0 180.0 0.0 90.0 0 0
cylinder_put c 512.63 -63.04 10.01 180.0 0.0 90.0 0 0
rod_get_hover c 363.23 200.0 66.50 148.86 -88.37 117.96 0 0
rod_get c 363.23 292.90 66.50 148.86 -88.37 117.96 0 0
rod_remove c 363.23 292.90 175.62 148.86 -88.37 117.96 0 0
rod_hand_hover c 502.56 85.0 136.7 90.0 0.0 16.38 0 0
rod_hand c 502.56 -83.0 136.7 90.0 0.0 16.38 0 0
rod_take_hover c 502.56 -83.0 200.0 -180.0 0.0 180.0 0 0
rod_take c 502.56 -83.0 145.0 -180.0 0.0 180.0 0 0
rod_put_hover c 510.0 -166.75 145.38 -180.0 0.0 180.0 0 0
rod_put c 510.0 -166.75 47.38 -180.0 0.0 180.0 0 0
matrix_1 c 401.63 -323.64 6.48 -180.0 0.0 180.0 0 0
matrix_2 c 496.51 -320.82 7.64 -180 0.0 180.0 0 0
matrix_3 c 407.090 -448.78 6.785 -180.0 0.0 180.0 0 0
cap_put_hover_1 c 468.02 -171.84 50.0 -180.0 0.0 180.0 0 0
cap_put_1 c 468.02 -171.84 14.50 -180.0 0.0 180.0 0 0
cap_put_hover_2 c 547.01 -170.0 14.58 -180.0 0.0 180.0 0 0
cap_put_2 c 547.01 -170.0 50.0 -180.0 0.0 180.0 0 0
button_hover c 461.67 339.92 91.0 -180.0 0.0 90.0 0 0
button_push c 461.67 339.92 55.47 -180.0 0.0 90.0 0 0
