ur5_store j -37.157 -64.8169 -115.591 -87.482 93.6399 94.0589 0.0
ur10_left_store j -168.139 213.261 -115.837 328.141 -46.3656 -78.4045 0.0
tray_get_hover_filled_1 c -19.0858 414.495 215.0 -180.0 0.0 -135.0 0 0
tray_get_filled_1 c -19.0858 414.495 15.0 -180.0 0.0 -135.0 0 0
tray_put_hover_filled_1 c 407.421 -209.524 215.0 -180.0 0.0 135.0 0 0 tray_put_filled_1 c 407.421 -209.524 34.1996 -180.0 0.0 135.0 0 0
tray_get_hover_filled_2 c -705.921 832.1 -500.0 -180.0 0.0 0.0 0 0
tray_get_filled_2 c -705.921 832.1 -784.864 -180.0 0.0 0.0 0 0
tray_hand_hover c 841.426 -258.685 528.282 -180.0 0.0 180.0 0 0
tray_hand c 841.426 -258.685 -393.45 -180.0 0.0 180.0 0 0
tray_put_hover_complete c -705.921 832.1 -500.0 -180.0 0.0 0.0 0 0
tray_put_complete c -705.921 832.1 -784.864 -180.0 0.0 0.0 0 0
part_get_hover c 529.241 -106.885 215.0 -180.0 0.0 135.0 0 0
part_get c 529.241 -106.885 -7.0 -180.0 0.0 135.0 0 0
part_put_hover c 308.694 -454.434 215.0 -180.0 0.0 135.0 0 0
part_put c 308.694 -454.434 -10.0 -180.0 0.0 135.0 0 0
tray_get_hover_empty c 396.222 -209.066 215 -180.0 0.0 135.0 0 0
tray_get_empty c 396.222 -209.066 10.812 -180.0 0.0 135.0 0 0
tray_put_hover_empty c -20.8782 415.693 215.0 -180.0 0.0 -135.0 0 0
tray_put_empty c -20.8782 415.693 30.0 -180.0 0.0 -135.0 0 0
