time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
21.159, -2, -1, 182.14, -563.129, 247, 180, 0, 0, 1, 1.20903, 7, 172.137, -563.125, 247, -180, 5.86624e-05, 0.000197016
37.144, -2, -2, -273.845, -588.368, 247, 180, 0, 0, 1, 4.64158, 19, -293.844, -578.368, 247, -180, 5.86766e-05, 0.000197024
Bisect
22.577, -1, -1, 182.14, -563.129, 247, 180, 0, 0, 1, 9.34758, 40, 153.387, -563.934, 247, -180, 5.86703e-05, 0.000197016
41.996, -1, -2, -273.845, -588.368, 247, 180, 0, 0, 1, 10.7383, 42, -303.844, -579.359, 247, -180, 5.86708e-05, 0.000197017
Fine Spiral Search
53.35, 0, 0, 151.674, -513.163, 247, 180, 0, 0, 1, 2.91558, 57, 149.409, -512.319, 247, -180, 5.86716e-05, 0.00019702
61.077, 0, 1, -307.822, -527.744, 247, -180, 5.86716e-05, 0.00019702, 1, 2.29827, 45, -305.224, -528.603, 247, -180, 5.86644e-05, 0.000197018
68.187, 1, 0, 149.409, -512.319, 247, -180, 5.86716e-05, 0.00019702, 1, 0.000144614, 1, 149.408, -512.32, 247, -180, 5.86722e-05, 0.00019701
73.096, 1, 1, -305.224, -528.603, 247, -180, 5.86644e-05, 0.000197018, 1, 0.102801, 3, -304.767, -528.59, 247, -180, 5.86748e-05, 0.000197017
