Goal, 3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
51.351, -2, -2, -210.915, -635.164, 297, 180, 0, 0, 1, 0.000127225, 1, -210.915, -635.164, 297, -180, 5.86831e-05, 0.000197016
Bisect
21.951, -1, -1, 246.429, -627.283, 297, 180, 0, 0, 1, 21.7846, 177, 266.93, -624.782, 297, -180, 5.86707e-05, 0.00019701
51.709, -1, -2, -210.915, -635.164, 297, 180, 0, 0, 1, 22.2902, 182, -189.928, -638.225, 297, -180, 5.86831e-05, 0.000197016
Fine Spiral Search
76.509, 0, 0, 265.436, -574.004, 297, 180, 0, 0, 1, 0.101185, 3, 265.789, -574.005, 297, -180, 5.86785e-05, 0.000197022
81.516, 0, 1, -191.069, -587.448, 297, -180, 5.86785e-05, 0.000197022, 1, 0.101413, 3, -191.069, -587.448, 297, -180, 5.86811e-05, 0.00019701
86.424, 1, 0, 265.789, -574.005, 297, -180, 5.86785e-05, 0.000197022, 1, 0.102045, 3, 265.792, -574.005, 297, -180, 5.86849e-05, 0.000197021
91.434, 1, 1, -191.069, -587.448, 297, -180, 5.86811e-05, 0.00019701, 1, 7.46756e-05, 1, -191.069, -587.448, 297, -180, 5.8679e-05, 0.000197035
