Goal, 3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
21.966, -2, -1, 238.463, -587.609, 297, 180, 0, 0, 1, 3.81617, 13, 258.462, -577.608, 297, -180, 5.86728e-05, 0.000197031
Bisect
26.142, -1, -1, 238.463, -587.609, 297, 180, 0, 0, 1, 23.1026, 188, 274.754, -576.658, 297, -180, 5.86807e-05, 0.000197028
56.56, -1, -2, -218.945, -581.299, 297, 180, 0, 0, 1, 22.6946, 181, -181.191, -581.158, 297, -180, 5.8677e-05, 0.000197028
Fine Spiral Search
81.776, 0, 0, 274.252, -525.86, 297, 180, 0, 0, 1, 0.102374, 3, 274.37, -525.86, 297, -180, 5.86643e-05, 0.000197013
86.792, 0, 1, -181.575, -530.361, 297, -180, 5.86643e-05, 0.000197013, 1, 0.000182937, 1, -181.577, -530.361, 297, -180, 5.86643e-05, 0.000197032
91.606, 1, 0, 274.37, -525.86, 297, -180, 5.86643e-05, 0.000197013, 1, 0.000121695, 1, 274.371, -525.86, 297, -180, 5.86705e-05, 0.000197035
96.616, 1, 1, -181.577, -530.361, 297, -180, 5.86643e-05, 0.000197032, 1, 0.000103914, 1, -181.578, -530.361, 297, -180, 5.86684e-05, 0.00019704
