Goal, 3
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
21.723, -2, -1, 209.318, -628.721, 297, 180, 0, 0, 1, 3.16418, 11, 229.32, -638.72, 297, -180, 5.86854e-05, 0.000197019
55.159, -2, -2, -248.091, -627.022, 297, 180, 0, 0, 1, 3.16646, 11, -228.089, -637.022, 297, -180, 5.86776e-05, 0.000197021
Bisect
25.246, -1, -1, 229.32, -638.72, 297, 180, 0, 0, 1, 22.1932, 181, 249.535, -636.72, 297, -180, 5.86854e-05, 0.000197019
58.688, -1, -2, -228.089, -637.022, 297, 180, 0, 0, 1, 22.1958, 181, -207.436, -638.523, 297, -180, 5.86776e-05, 0.000197021
Fine Spiral Search
83.399, 0, 0, 249.334, -585.92, 297, 180, 0, 0, 1, 0.000154886, 1, 248.508, -586.015, 297, -180, 5.86774e-05, 0.000197013
88.306, 0, 1, -208.463, -587.818, 297, -180, 5.86774e-05, 0.000197013, 1, 2.18232, 43, -205.953, -587.804, 297, -180, 5.86727e-05, 0.000197021
95.3, 1, 0, 248.508, -586.015, 297, -180, 5.86774e-05, 0.000197013, 1, 0.000199535, 1, 248.507, -586.015, 297, -180, 5.8682e-05, 0.000197026
100.212, 1, 1, -205.953, -587.804, 297, -180, 5.86727e-05, 0.000197021, 1, 13.7787, 265, -206.117, -587.254, 297, -180, 5.8679e-05, 0.000197023
