Goal, RMMASq1
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
19.58, -2, -1, 469.499, 244.444, 297, 180, 0, 0, 1, 2.88173e-05, 1, 469.568, 244.558, 296.997, -179.994, -0.0139188, -0.00649314
52.414, -2, -2, 455.835, -213.488, 297, 180, 0, 0, 1, 0.468173, 3, 465.904, -213.55, 296.937, 179.997, 0.00670795, 0.00823771
Bisect
19.959, -1, -1, 469.568, 244.558, 297, 180, 0, 0, 1, 24.9298, 205, 473.846, 264.225, 296.98, 179.999, -0.013795, -0.00102008
53.24, -1, -2, 465.904, -213.55, 297, 180, 0, 0, 1, 24.1336, 200, 476.662, -194.78, 296.899, 179.998, 0.0201643, 0.0124034
Fine Spiral Search
80.03, 0, 0, 423.046, 263.914, 297, 180, 0, 0, 1, 26.3405, 487, 417.966, 269.618, 296.946, 179.994, 0.0116137, 0.0191149
111.335, 0, 1, 420.783, -189.388, 296.946, 179.994, 0.0116137, 0.0191149, 1, 57.3543, 1065, 415.207, -188.298, 296.798, -179.989, 0.0416046, 0.024005
173.448, 1, 0, 417.966, 269.618, 296.946, 179.994, 0.0116137, 0.0191149, 1, 0.000118033, 1, 417.913, 269.693, 296.869, 179.991, 0.0234555, 0.0267329
178.3, 1, 1, 415.207, -188.298, 296.798, -179.989, 0.0416046, 0.024005, 1, 2.56696, 49, 415.247, -188.435, 296.66, -179.97, 0.0564863, 0.0350317
