Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
17.153, -1, -1, 379.967, -0.0389904, 297, 180, 0, 0, 1, 2.87781, 28, 309.534, -0.107072, 297.053, 179.992, -0.010349, -0.000759222
27.348, -1, -2, 309.534, -228.707, 297, 180, 0, 0, 1, 4.29512, 41, 308.376, -228.747, 297.031, 179.994, 0.00452871, 0.00495239
40.467, -1, -3, 360.334, 365.416, 297, 180, 0, 0, 1, 2.75168, 27, 360.281, 359.002, 296.954, 179.993, 0.00851302, -0.00367735
40.467, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 9.92461, 96, 311.354, 359.25, 297, 180, 0, 0
Fine Spiral Search
58.312, 0, 0, 412.438, 257.137, 297, 180, 0, 0, 1, 2.07996, 41, 411.044, 258.1, 297.052, -179.993, -0.0209483, -0.00329853
60.5, 0, 1, 408.728, -199.094, 297.052, -179.993, -0.0209483, -0.00329853, 1, 0.104888, 3, 408.688, -199.166, 297.021, -179.982, -0.0139195, -0.0119098
65.338, 1, 0, 411.044, 258.1, 297.052, -179.993, -0.0209483, -0.00329853, 1, 0.105153, 3, 411.004, 258.173, 297.045, -179.99, -0.015258, 0.00568361
70.176, 1, 1, 408.688, -199.166, 297.021, -179.982, -0.0139195, -0.0119098, 1, 0.103705, 3, 408.66, -199.24, 296.992, -179.976, -0.00848255, -0.0228457
