Goal, TEST
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Edge
154.365, -1, -1, 379.986, -0.0762637, 297, 180, 0, 0, 1, 7.44204, 67, 333.052, -0.0652243, 296.959, 179.982, 0.0113688, 0.0106258
163.92, -1, -2, 333.052, -228.665, 297, 180, 0, 0, 1, 6.01505, 58, 334.508, -228.651, 296.91, -179.99, 0.00695805, 0.00644958
174.652, -1, -3, 379.999, 301.005, 297, 180, 0, 0, 1, 5.36789, 50, 380.029, 318.437, 297.03, 179.99, -0.0128632, -0.00184432
174.652, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 18.825, 175, 331.025, 318.125, 297, 180, 0, 0
Fine Spiral Search
189.38, 0, 0, 433.27, 217.174, 297, 180, 0, 0, 1, 7.71527, 149, 430.256, 219.615, 296.929, 179.987, 0.00739751, -0.00222123
197.207, 0, 1, 433.168, -237.576, 296.929, 179.987, 0.00739751, -0.00222123, 1, 0.103241, 3, 433.136, -237.64, 296.878, 179.995, 0.00936772, -0.0133376
202.037, 1, 0, 430.256, 219.615, 296.929, 179.987, 0.00739751, -0.00222123, 1, 0.000331991, 1, 430.273, 217.859, 296.899, 179.985, 0.013814, -0.00948493
206.765, 1, 1, 433.136, -237.64, 296.878, 179.995, 0.00936772, -0.0133376, 1, 9.98738e-05, 1, 433.115, -236.703, 296.83, 179.998, 0.0187438, 0.000417044
