Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
16.997, -1, -1, 379.993, -0.0502496, 297, 180, 0, 0, 1, 4.19473, 13, 35, 326.209, 0.00578825, 296.848, 179.998, 0.0305264, 0.020657
22.21, -1, -2, 326.209, -228.594, 297, 180, 0, 0, 1, 2.97878, 7, 25, 330.13, -228.664, 296.985, -179.999, 0.0101194, -0.00606646
28.838, -1, -3, 330.079, -228.683, 296.953, 179.998, 0.0171891, -0.00540329, 1, 8.11358, 9, 17, 368.215, 398.675, 296.958, -180, 0.0138435, -0.0204895
28.838, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.2871, 29, 77, 319.387, 397.838, 297, 180, 0, 0
Fine Spiral Search
40.406, 0, 0, 422.714, 297.995, 297, 180, 0, 0, 1, 0.982637, NA, 19, 422.011, 298.601, 296.931, 179.983, -0.00183535, -0.00552729
41.509, 0, 1, 429.85, -158.532, 296.931, 179.983, -0.00183535, -0.00552729, 1, 18.8847, NA, 353, 428.655, -155.54, 296.764, -179.985, 0.0346733, 0.0130841
65.141, 1, 0, 422.011, 298.601, 296.931, 179.983, -0.00183535, -0.00552729, 1, 76.5636, NA, 1433, 420.084, 298.218, 296.865, 179.981, 0.0154182, 0.00586195
146.353, 1, 1, 428.655, -155.54, 296.764, -179.985, 0.0346733, 0.0130841, 1, 0.10856, NA, 3, 428.615, -155.572, 296.67, -179.965, 0.0484878, 0.00700836
