Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.602, -1, -1, 379.995, -0.00503146, 297, 180, 0, 0, 1, 4.54989, 10, 36, 318.045, 0.0413764, 297.051, 179.995, -0.0163984, 0.00494834
23.259, -1, -2, 318.045, -228.559, 297, 180, 0, 0, 1, 2.55261, 4, 25, 315.247, -228.553, 296.905, -179.99, 0.0175959, 0.0168006
29.633, -1, -3, 315.236, -228.613, 296.985, -179.994, 0.0215564, 0.0175761, 1, 9.93762, 14, 38, 359.703, 361.005, 296.922, -179.995, 0.034977, 0.00515799
29.633, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 17.0401, 28, 99, 322.468, 361.461, 297, 180, 0, 0
Fine Spiral Search
43.109, 0, 0, 422.817, 258.625, 297, 180, 0, 0, 1, 1.03873, NA, 21, 421.807, 259.098, 297.076, 180, -0.0128506, 0.000307024
44.404, 0, 1, 416.212, -198.068, 297.076, 180, -0.0128506, 0.000307024, 1, 9.31629e-05, NA, 1, 416.156, -198.183, 297.025, -179.998, -0.00306299, -0.000865314
49.286, 1, 0, 421.807, 259.098, 297.076, 180, -0.0128506, 0.000307024, 1, 8.6452e-05, NA, 1, 421.788, 259.098, 297.086, 179.995, -0.0150164, -0.00310126
54.266, 1, 1, 416.156, -198.183, 297.025, -179.998, -0.00306299, -0.000865314, 1, 8.40834e-05, NA, 1, 416.116, -198.255, 297.031, 179.994, 0.00249829, -0.0104956
