seconds_since_epoch,  Client ID, Goal, robot_x, robot_y, robot_th
1561580439.200000, 560, RMMASq2, 3254.000000, 139.000000, 0.900000
1561580660.793000, 560, RMMASq3, 4755.000000, 115.000000, -178.900000
1561580781.688000, 560, RMMASq2, 3252.000000, 157.000000, 1.700000
1561581003.381000, 560, RMMASq3, 4749.000000, 150.000000, -179.600000
1561581234.972000, 560, RMMASq2, 3260.000000, 158.000000, 1.700000
1561581456.666000, 560, RMMASq3, 4742.000000, 166.000000, 179.900000
1561581678.257000, 560, RMMASq2, 3266.000000, 153.000000, 1.100000
1561581899.850000, 560, RMMASq3, 4746.000000, 127.000000, -178.100000
1561582030.945000, 560, RMMASq2, 3278.000000, 180.000000, 1.900000
1561582262.737000, 560, RMMASq3, 4784.000000, 176.000000, -179.500000
