Random,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.76044,1.29972,1.65597,1.66828,6.38469
2,1.79938,1.3084,1.64389,16.0723,20.8242
3,2.07278,1.32306,1.63178,3.04216,8.07006
4,1.77342,1.30738,1.632,10.927,15.64
5,1.84023,1.31548,1.64398,2.99056,7.7905
6,1.80586,1.31405,1.63185,5.78923,10.5413
7,1.74646,1.31331,1.63266,4.92614,9.61887
8,1.77006,1.31379,1.644,16.3458,21.0739
9,2.02129,1.33835,1.63193,17.9333,22.9251
10,2.43985,1.30394,1.63361,26.3323,31.71
11,2.08375,1.3121,1.68001,12.1563,17.2324
12,1.88671,1.31708,1.63189,6.88222,11.7182
13,1.68321,1.33822,1.6321,3.92782,8.5816
14,1.77217,1.32278,1.66988,12.0217,16.7868
15,1.90211,1.31384,1.63185,5.50543,10.3535
16,1.72376,1.3242,1.63179,13.8624,18.5425
17,1.84287,1.31303,1.64387,2.94612,7.74617
18,1.81139,1.32042,1.6319,2.53868,7.30266
19,1.75785,1.31707,1.62888,3.40316,8.10722
20,1.79731,1.32301,1.64336,7.14585,11.9098
21,1.8291,1.31463,1.65599,8.03161,12.8316
22,1.66101,1.31485,1.63195,5.49836,10.1064
23,1.78363,1.32415,1.64399,4.2059,8.9579
24,1.81839,1.3258,1.63247,3.11886,7.8958
25,1.78976,1.30621,1.63227,3.74959,8.47811
26,1.7693,1.33859,1.6437,3.3157,8.06757
27,1.76779,1.31607,1.65583,18.3048,23.0448
28,2.23808,1.31359,1.63189,10.4519,15.6357
29,1.84516,1.3106,1.64426,2.17819,6.97849
30,1.76067,1.32335,1.63191,9.03603,13.7522
31,1.69779,1.31274,1.63154,15.4953,20.1376
32,1.82179,1.30998,1.64398,2.03704,6.81307
33,1.75719,1.33867,1.63175,2.56261,7.2905
34,1.77157,1.32422,1.63189,30.7971,35.525
35,2.29779,1.30197,1.64407,15.4794,20.7235
36,1.94408,1.30767,1.63193,17.282,22.1659
37,2.31644,1.31943,1.63183,14.7962,20.0642
38,1.84766,1.32853,1.63542,6.95022,11.7621
39,1.81739,1.32652,1.6318,22.8715,27.6475
40,2.86105,1.3033,1.63292,2.43478,8.23233
41,1.7977,1.31021,1.64406,7.40805,12.1602
42,1.83188,1.31153,1.65579,7.57783,12.3773
43,1.71107,1.30069,1.63187,21.7082,26.3521
44,1.97792,1.34596,1.64384,11.0305,15.9986
45,1.92973,1.32483,1.62923,4.34704,9.23112
46,1.75817,1.31252,1.6318,11.445,16.1478
47,1.81829,1.31881,1.6388,12.7738,17.5499
48,1.88144,1.31022,1.63194,6.73801,11.5619
49,1.67713,1.33463,1.63422,7.46729,12.1135
50,1.78499,1.3228,1.64401,19.9989,24.751
51,2.25358,1.30009,1.6301,22.3735,27.5576
52,2.66427,1.30755,1.63197,10.4398,16.0439
53,1.83978,1.30561,1.641,1.94836,6.73502
54,1.75758,1.31417,1.656,9.05212,13.7801
55,1.66152,1.30232,1.65586,16.1663,20.7863
56,1.85972,1.30816,1.64386,3.49005,8.30207
57,1.76925,1.30261,1.65565,3.87545,8.6036
58,1.74483,1.31498,1.632,7.99422,12.6863
59,1.81258,1.3071,1.6447,1.64919,6.41384
60,1.75504,1.30494,1.63173,2.29833,6.99032
