Iteration,Approach,Pickup,Transport,Insert,Total
1,1.68893,1.30143,1.65588,10.037,14.6835
2,1.77061,1.31253,1.64387,11.522,16.2492
3,1.7872,1.31757,1.63194,30.3706,35.1076
4,1.72638,1.3095,1.63218,6.54547,11.2138
5,1.771,1.32475,1.6439,8.64651,13.3864
6,1.79096,1.30505,1.63188,29.9342,34.6623
7,1.71292,1.34701,1.6319,9.76848,14.4605
8,1.77189,1.33597,1.64407,11.3214,16.0735
9,1.78693,1.3082,1.63189,30.0181,34.7453
10,1.72588,1.31056,1.63151,6.79806,11.4663
11,1.7694,1.31451,1.64379,11.4541,16.182
12,1.75725,1.30239,1.65607,25.9785,30.6945
13,1.74734,1.32468,1.63208,6.74338,11.4478
14,1.76684,1.30492,1.64409,11.3104,16.0264
15,1.75934,1.31135,1.65455,29.9881,34.7137
16,1.6987,1.30108,1.63197,8.98525,13.6173
17,1.79529,1.32435,1.64384,11.4061,16.1699
18,1.76073,1.31032,1.63188,26.0466,30.7499
19,1.72241,1.30152,1.63193,6.79174,11.4479
20,1.75793,1.33793,1.64381,11.3456,16.0856
21,1.78994,1.3059,1.63187,30.0053,34.7333
22,1.72189,1.30183,1.63203,8.4774,13.1334
23,1.76969,1.31419,1.67976,11.3814,16.1453
24,1.78263,1.30167,1.63221,30.0621,34.7789
25,1.72575,1.31007,1.63186,6.73223,11.4002
26,1.75743,1.29042,1.64388,8.72109,13.413
27,1.78626,1.30969,1.63198,29.9265,34.6547
28,1.69823,1.34969,1.63193,9.88162,14.5617
29,1.76913,1.32666,1.644,11.4617,16.2017
30,1.78217,1.30169,1.63206,30.0293,34.7455
31,1.69805,1.32566,1.63202,6.69943,11.3554
32,1.78378,1.31208,1.64402,8.38117,13.1214
33,1.78558,1.33435,1.63264,30.0021,34.7549
34,1.71536,1.30837,1.63186,9.95199,14.6079
35,1.80042,1.30746,1.64377,11.4961,16.2481
36,1.78448,1.32347,1.63193,30.0376,34.7778
37,1.72333,1.32441,1.63194,6.81787,11.4978
38,1.77103,1.3008,1.6678,8.36356,13.1035
39,1.75771,1.31389,1.63193,29.8533,34.5571
40,1.72774,1.32015,1.63171,9.89934,14.5792
41,1.76667,1.30505,1.64399,11.4413,16.1573
42,1.75747,1.29919,1.66799,30.1599,34.8849
43,1.69776,1.30202,1.65588,6.75023,11.4062
44,1.78545,1.32237,1.64377,8.386,13.1379
45,1.75903,1.30067,1.65592,29.7896,34.5054
46,1.6992,1.32471,1.63201,9.86562,14.5218
47,1.76997,1.30187,1.64385,11.5256,16.2416
48,1.75687,1.31844,1.65314,29.7725,34.5013
49,1.6989,1.31275,1.6321,6.74929,11.3933
50,1.7566,1.33808,1.64399,8.41303,13.152
51,1.75707,1.30241,1.63276,34.2841,38.9766
52,1.71163,1.31221,1.63188,9.19617,13.8522
53,1.79544,1.31241,1.64386,11.4112,16.1632
54,1.78557,1.32309,1.63122,30.1367,34.8769
55,1.73842,1.2973,1.632,6.67485,11.3429
56,1.75518,1.31672,1.66774,8.70576,13.4457
57,1.75896,1.3129,1.63188,30.0112,34.7152
58,1.73315,1.31507,1.63191,9.99346,14.6738
59,1.79371,1.31475,1.64336,11.4963,16.2484
60,1.76086,1.29908,1.63175,30.4602,35.1521
