
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.58302,1.20375,1.64397,1.6272,6.05821
2,1.66452,1.20308,1.63186,5.88113,10.3808
3,1.70039,1.20387,1.64337,4.41648,8.96439
4,1.66376,1.20402,1.64393,3.73913,8.25112
5,1.6783,1.20129,1.64388,2.37769,6.90141

Iteration,Approach,Pickup,Transport,Insert,Total
1,0.448931,1.20383,1.6439,1.59506,4.892
2,1.66437,1.2034,1.6439,5.92939,10.4414
3,1.70077,1.20284,1.64389,10.8681,15.4159
4,1.61564,1.20403,1.65596,2.45896,6.93486
5,1.6763,1.20339,1.64389,12.1044,16.6283
6,1.72409,1.20374,1.65579,4.58033,9.16424
7,1.65173,1.20397,1.65585,6.13003,10.6418
8,1.66439,1.20321,1.644,2.78471,7.29658
9,1.66417,1.20352,1.64385,8.44429,12.9561
10,1.63959,1.20395,1.64394,6.21613,10.7039
11,1.68832,1.21535,1.6438,2.36161,6.90934
12,1.67582,1.20409,1.6678,8.80835,13.3563
13,1.63956,1.20424,1.64395,1.57082,6.05886
14,1.66401,1.20379,1.65577,12.9244,17.4483
15,1.73589,1.20394,1.64373,2.00337,6.58721
16,1.68839,1.2032,1.64392,11.3258,15.8616
17,1.68835,1.20329,1.65581,3.18295,7.73068
18,1.67596,1.20364,1.64389,19.2795,23.8032
19,1.59232,1.20356,1.64375,20.6378,25.0777
20,1.74791,1.20384,1.64386,16.5462,21.1421
21,1.74829,1.2034,1.67995,8.64738,13.2793
22,1.62786,1.20395,1.64383,2.96015,7.43606
23,1.66443,1.21528,1.64388,2.25676,6.78059
24,1.65297,1.20265,1.64401,6.41616,10.9161
25,1.65246,1.20312,1.66791,1.99997,6.52373
26,1.67711,1.21464,1.64394,4.07112,8.60708
27,1.68848,1.20324,1.65589,9.05491,13.6028
28,1.6405,1.20323,1.6438,7.70387,12.1917
29,1.67593,1.21643,1.64318,3.10142,7.6372
30,1.67602,1.20296,1.64394,5.3688,9.892
31,1.66434,1.20343,1.64393,1.94467,6.45661
32,1.66346,1.20407,1.64376,3.24313,7.75466
33,1.67596,1.20364,1.64388,22.8786,27.4024
34,1.75982,1.20388,1.6439,6.68501,11.2929
35,1.67649,1.20329,1.64379,9.4919,14.0157
36,1.72435,1.20337,1.6438,7.10967,11.6815
37,1.66397,1.20372,1.66784,1.96838,6.50418
38,1.66538,1.20231,1.64388,10.5868,15.0986
39,1.71242,1.20338,1.64372,6.08073,10.6405
40,1.66386,1.20381,1.64369,5.85243,10.3641
41,1.6757,1.20401,1.64381,4.14004,8.66384
42,1.68807,1.22767,1.64383,15.6906,20.2504
43,1.59252,1.20325,1.64377,4.11286,8.55268
44,1.67601,1.20376,1.64376,3.21035,7.73416
45,1.6643,1.20368,1.64353,2.01175,6.5235
46,1.67585,1.20376,1.64393,5.57937,10.1032
47,1.6766,1.20317,1.64384,8.79889,13.3227
48,1.71238,1.20337,1.64377,8.48873,13.0485
49,1.64008,1.20367,1.6439,2.02634,6.51424
50,1.66372,1.20403,1.64391,5.259,9.77094
51,1.68808,1.20368,1.64385,5.47553,10.0114
52,1.66379,1.20385,1.64389,3.09106,7.60287
53,1.66432,1.20351,1.64375,4.33257,8.84441
54,1.68779,1.2038,1.64468,16.4974,21.034
55,1.58008,1.20358,1.64396,5.28733,9.71524
56,1.66385,1.20401,1.64383,2.519,7.03096
57,1.67623,1.20352,1.64378,3.2096,7.73339
58,1.67585,1.20382,1.65598,1.97892,6.51482
59,1.66397,1.20368,1.64382,3.22944,7.74119
60,1.6766,1.20299,1.64393,3.46383,7.9876
