
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.70379,1.2037,1.64373,1.58227,6.13378
2,1.66464,1.20315,1.64385,1.84266,6.35459
3,1.6879,1.20382,1.6798,5.50519,10.077
4,1.67656,1.20308,1.64384,1.55987,6.08362
5,1.66385,1.20399,1.64394,1.84905,6.36107
6,1.65233,1.20347,1.64388,4.72844,9.22839
7,1.69993,1.20372,1.64453,2.93971,7.48817
8,1.66449,1.20325,1.64391,1.84053,6.35236
9,1.67687,1.20319,1.64368,2.40906,6.93307
10,1.67624,1.21549,1.66788,4.39653,8.95641
11,1.67573,1.20393,1.64384,2.63705,7.16083
12,1.68926,1.2025,1.64386,4.15963,8.6955
13,1.67567,1.20391,1.64388,1.51809,6.04182
14,1.67617,1.20367,1.64376,1.89882,6.42269
15,1.66473,1.20305,1.64372,4.13898,8.65075
16,1.67592,1.20363,1.64396,4.10427,8.62805
17,1.6759,1.20392,1.64371,3.32109,7.84492
18,1.66538,1.20232,1.64401,9.22845,13.7405
19,1.68801,1.20378,1.64366,1.56549,6.10122
20,1.66439,1.20349,1.64375,1.90154,6.41343
21,1.6878,1.20402,1.64379,2.06019,6.59606
22,1.70029,1.20335,1.64385,2.02352,6.5713
23,1.67575,1.2041,1.6438,1.86773,6.39165
24,1.68722,1.2038,1.64377,5.59163,10.1267
25,1.67577,1.20389,1.64397,4.13598,8.65986
26,1.67611,1.20355,1.64391,1.86947,6.39332
27,1.70001,1.20301,1.64398,1.98785,6.53512
28,1.67607,1.2035,1.64397,1.60727,6.13107
29,1.66438,1.20327,1.65592,1.87976,6.40357
30,1.68781,1.20408,1.64365,3.32436,7.86009
31,1.67617,1.20342,1.64383,1.60873,6.13243
32,1.66395,1.2038,1.66784,1.83701,6.37289
33,1.66419,1.20365,1.64374,2.72455,7.23638
34,1.67575,1.20418,1.64379,2.60076,7.12474
35,1.66425,1.2036,1.64383,1.86541,6.37736
36,1.68848,1.20318,1.64398,2.31453,6.85037
37,1.68897,1.20284,1.64383,1.1632,5.69912
38,1.66436,1.20345,1.64384,1.82558,6.33751
39,1.67571,1.20393,1.644,5.75891,10.2828
40,1.6654,1.20226,1.64388,3.23867,7.75047
41,1.67631,1.20361,1.64371,2.50409,7.028
42,1.6764,1.20341,1.64391,5.98351,10.5075
43,1.6771,1.20267,1.66778,1.16425,5.71204
44,1.67642,1.2154,1.64397,1.89055,6.42661
45,1.66365,1.2041,1.64391,5.41895,9.9309
46,1.66455,1.20315,1.64392,1.60771,6.11962
47,1.6638,1.20461,1.65527,1.87104,6.39499
48,1.66417,1.20363,1.64373,4.54745,9.05924
49,1.66482,1.21498,1.64374,2.53895,7.06277
50,1.66413,1.20365,1.64391,1.89442,6.40635
51,1.67765,1.2022,1.64378,2.33593,6.85983
52,1.67602,1.20376,1.64382,1.62514,6.14901
53,1.67629,1.20337,1.66793,1.59686,6.14471
54,1.66374,1.20399,1.64373,1.95306,6.46479
55,1.68825,1.20351,1.64389,1.57147,6.1074
56,1.66354,1.22805,1.668,1.89985,6.45971
57,1.66354,1.20338,1.64389,4.28243,8.79352
58,1.67549,1.20411,1.64386,2.52494,7.04867
59,1.67601,1.21566,1.64386,1.57148,6.10727
60,1.67658,1.2032,1.6439,11.8158,16.3397
