Setup time, 6.441

Iteration,Approach,Pickup,Transport,Insert,Total
1,1.32935,1.31095,1.6318,3.09382,7.36622
2,1.75888,1.27672,1.64389,18.9724,23.6522
3,1.80409,1.26741,1.64402,5.14058,9.85633
4,1.7198,1.27972,1.6319,3.19017,7.82182
5,1.73231,1.26738,1.64457,5.20011,9.8446
6,1.73426,1.26552,1.64381,4.26246,8.90632
7,1.73097,1.26885,1.63126,3.2067,7.83802
8,1.73298,1.25535,1.64317,15.7467,20.3785
9,1.78132,1.2663,1.6559,5.24254,9.94633
10,1.72204,1.26584,1.63186,3.29843,7.91845
11,1.72651,1.24933,1.64388,7.49275,12.1127
12,1.74128,1.27027,1.64399,4.3026,8.95842
13,1.72709,1.27266,1.63203,3.30186,7.93395
14,1.73716,1.2746,1.6446,15.6529,20.3095
15,1.77657,1.25912,1.66798,5.18789,9.89181
16,1.72433,1.26327,1.63176,3.26369,7.88331
17,1.72563,1.2621,1.64392,5.15586,9.78779
18,1.73146,1.26828,1.64383,4.29569,8.93957
19,1.74568,1.25399,1.63196,3.27592,7.90781
20,1.71446,1.26144,1.6438,15.6307,20.2507
21,1.76981,1.26599,1.64458,5.09702,9.7776
22,1.71894,1.26943,1.63125,3.30955,7.92945
23,1.74372,1.26805,1.67976,7.57211,12.2639
24,1.76933,1.26641,1.64379,4.2948,8.97462
25,1.75723,1.26585,1.63186,3.30815,7.96333
26,1.73353,1.26624,1.64374,15.621,20.2648
27,1.78065,1.26701,1.64384,5.12689,9.81864
28,1.72233,1.26547,1.63183,3.30162,7.92151
29,1.73191,1.26792,1.66778,5.17704,9.84494
30,1.73349,1.26633,1.64381,4.15065,8.79453
31,1.73301,1.26664,1.65587,3.30429,7.9601
32,1.73249,1.2672,1.64396,15.8367,20.4806
33,1.77982,1.25608,1.65585,5.14683,9.83887
34,1.704,1.27148,1.63178,2.34164,6.94917
35,1.72852,1.27182,1.64308,7.61331,12.257
36,1.71753,1.25807,1.6439,4.28179,8.90152
37,1.73089,1.26875,1.63186,3.27148,7.90327
38,1.73178,1.26806,1.64389,15.7729,20.4169
39,1.78004,1.26762,1.66788,5.17204,9.88786
40,1.7092,1.26655,1.63166,3.27491,7.88254
41,1.69566,1.20795,1.63213,5.19895,9.73489
42,1.72938,1.25837,1.64384,4.31065,8.94247
43,1.74708,1.26464,1.63193,3.31849,7.96243
44,1.72947,1.2582,1.64461,15.3852,20.0177
45,1.78173,1.26611,1.6439,5.18575,9.87771
46,1.72144,1.25427,1.63188,3.27377,7.8816
47,1.73282,1.25488,1.65602,7.54087,12.1848
48,1.77779,1.25791,1.64394,4.28892,8.96882
49,1.76199,1.24961,1.61997,3.3223,7.95407
50,1.73754,1.25012,1.64386,15.681,20.3127
51,1.77935,1.26764,1.64403,5.25519,9.94649
52,1.72169,1.26607,1.63187,3.30679,7.92667
53,1.72738,1.26047,1.65574,7.45943,12.1033
54,1.76375,1.27197,1.63207,4.27178,8.93982
55,1.74637,1.21739,1.63186,3.27962,7.87549
56,1.74083,1.259,1.64376,15.5582,20.2021
57,1.76981,1.26582,1.64389,5.23441,9.91421
58,1.71371,1.25002,1.63202,3.28694,7.88295
59,1.72709,1.27262,1.66783,7.55131,12.2191
60,1.76779,1.25595,1.64386,4.31219,8.98004
