Setup time, 5.546

Iteration,Approach,Pickup,Transport,Insert,Total
1,1.2167,1.28174,1.63178,1.2724,5.4029
2,1.75055,1.27334,1.64379,5.53789,10.2058
3,1.72324,1.26438,1.64382,4.27358,8.90529
4,1.75561,1.26807,1.63189,1.94598,6.60184
5,1.73227,1.26759,1.65573,5.45235,10.1082
6,1.73081,1.26893,1.64388,4.26004,8.90393
7,1.73236,1.26727,1.63194,1.22072,5.85258
8,1.72769,1.26008,1.64381,5.32988,9.96174
9,1.71968,1.26744,1.64386,4.18354,8.81477
10,1.73694,1.26281,1.63256,1.84924,6.48183
11,1.75508,1.26853,1.64391,5.95456,10.6224
12,1.72208,1.26583,1.64377,4.17597,8.80809
13,1.76247,1.27333,1.63196,1.89561,6.56364
14,1.73264,1.26759,1.67927,5.47904,10.1588
15,1.71835,1.24538,1.64388,4.27485,8.88276
16,1.69693,1.24288,1.65592,1.92335,6.51933
17,1.73132,1.26827,1.64384,4.65181,9.29552
18,1.73303,1.26662,1.64391,4.21248,8.85629
19,1.73261,1.2671,1.63179,1.88494,6.51673
20,1.75595,1.26784,1.64372,5.44634,10.1141
21,1.7298,1.27004,1.64371,4.23596,8.8798
22,1.75818,1.26554,1.63203,1.89348,6.54951
23,1.73248,1.26722,1.64385,5.54585,10.1897
24,1.71816,1.26966,1.64373,4.23861,8.87044
25,1.7338,1.21812,1.64359,1.87298,6.46874
26,1.73015,1.26959,1.64377,5.36845,10.0122
27,1.74179,1.25797,1.64384,4.28114,8.92496
28,1.73046,1.26941,1.63179,1.87767,6.50955
29,1.75965,1.22804,1.64384,5.05506,9.68683
30,1.71771,1.27016,1.64393,4.21678,8.84875
31,1.72114,1.26592,1.63189,1.90707,6.52626
32,1.7193,1.25647,1.65599,5.19361,9.8256
33,1.73412,1.2537,1.64385,4.18215,8.81407
34,1.73956,1.26028,1.65582,1.18676,5.84266
35,1.7252,1.25048,1.64401,5.1941,9.81402
36,1.72945,1.27036,1.64388,4.31673,8.96064
37,1.70313,1.26048,1.63193,1.88331,6.47915
38,1.75639,1.26741,1.64378,5.63982,10.3077
39,1.70346,1.27233,1.64395,4.22953,8.84951
40,1.75551,1.25635,1.63188,1.94581,6.58982
41,1.73326,1.26653,1.66782,4.64544,9.31333
42,1.73168,1.26794,1.66797,4.20374,8.87159
43,1.74122,1.23458,1.63187,1.8584,6.46634
44,1.72948,1.27032,1.6436,4.70808,9.3517
45,1.73426,1.2775,1.64385,4.2636,8.91946
46,1.72578,1.23788,1.65599,1.86406,6.48391
47,1.71723,1.25856,1.64389,4.71846,9.33838
48,1.73267,1.26709,1.64393,4.25902,8.90295
49,1.72837,1.24725,1.632,1.91061,6.51846
50,1.74662,1.26508,1.64387,2.87502,7.53084
51,1.7192,1.25653,1.64388,4.21451,8.8344
52,1.73475,1.26489,1.63188,1.92804,6.55992
53,1.76716,1.26916,1.64319,4.53859,9.21837
54,1.7219,1.24194,1.64392,4.22805,8.83604
55,1.7352,1.26455,1.63175,1.87783,6.50962
56,1.73608,1.25157,1.64393,3.28782,7.91966
57,1.69623,1.26782,1.64381,4.28959,8.89769
58,1.73362,1.26601,1.6318,1.85915,6.49091
59,1.75813,1.26547,1.64396,5.50437,10.1722
60,1.735,1.2648,1.64382,4.17708,8.82099
