Iteration,Approach,Pickup,Transport,Insert,Total
1,0.20127,1.20284,1.63186,3.94698,6.98324
2,1.67647,1.20321,1.64394,3.49556,8.01947
3,1.66389,1.20389,1.66779,9.33623,13.8721
4,1.64178,1.21408,1.64382,3.84495,8.34491
5,1.67642,1.20312,1.64399,3.4496,7.97332
6,1.66384,1.20409,1.64369,9.12028,13.6322
7,1.64015,1.203,1.63179,3.94887,8.42409
8,1.67601,1.20373,1.66779,3.38453,7.93232
9,1.66471,1.20297,1.64399,9.15288,13.6648
10,1.65234,1.20332,1.63185,3.84791,8.33569
11,1.67596,1.20367,1.64382,3.82217,8.34592
12,1.66565,1.20209,1.68022,9.26037,13.8086
13,1.64065,1.20309,1.65593,3.88971,8.38968
14,1.67624,1.20362,1.64389,3.19312,7.71715
15,1.66446,1.21533,1.64385,9.08892,13.6128
16,1.6413,1.2144,1.63185,4.17968,8.66754
17,1.67572,1.20405,1.66792,3.44884,7.99682
18,1.66437,1.20331,1.64384,9.17869,13.6905
19,1.66512,1.20256,1.63192,3.91752,8.41741
20,1.67569,1.20395,1.6439,2.87603,7.39986
21,1.66412,1.20362,1.64387,9.13046,13.6423
22,1.66393,1.21578,1.63192,3.89705,8.40895
23,1.67631,1.20335,1.64389,3.5008,8.02462
24,1.66406,1.20362,1.66783,9.03327,13.5691
25,1.63988,1.20385,1.63204,3.92397,8.40004
26,1.70129,1.20245,1.64385,2.61561,7.16347
27,1.66383,1.20408,1.65575,9.00824,13.5322
28,1.64,1.20298,1.63201,4.23575,8.71101
29,1.70017,1.20347,1.64392,3.44539,7.99323
30,1.66468,1.20309,1.64371,9.10315,13.6149
31,1.64053,1.21523,1.64398,3.84696,8.34698
32,1.6641,1.20397,1.6439,2.96306,7.47527
33,1.66539,1.20242,1.64389,9.14476,13.6567
34,1.64032,1.20337,1.63183,4.16863,8.64443
35,1.67595,1.20375,1.6438,3.17913,7.7029
36,1.66418,1.20331,1.64391,9.39463,13.9063
37,1.6761,1.20361,1.6318,3.90838,8.42015
38,1.67589,1.20387,1.64375,3.12498,7.64879
39,1.66412,1.20336,1.64398,9.1907,13.7024
40,1.67593,1.20377,1.63188,4.24416,8.75602
41,1.67571,1.20398,1.64395,3.19484,7.71878
42,1.66339,1.20377,1.64377,9.2165,13.7277
43,1.65184,1.2038,1.63193,3.93521,8.42307
44,1.67646,1.20337,1.6438,2.92677,7.45069
45,1.66394,1.20389,1.64353,9.10748,13.6191
46,1.65181,1.21592,1.63189,4.1951,8.69498
47,1.67635,1.20338,1.64386,3.19976,7.72361
48,1.66367,1.20402,1.64387,8.97912,13.4909
49,1.64278,1.20097,1.63194,3.96779,8.44379
50,1.67616,1.20359,1.64379,2.55567,7.0795
51,1.664,1.20303,1.64379,9.2589,13.77
52,1.6655,1.20231,1.6319,4.16075,8.66075
53,1.67599,1.20352,1.64403,3.16837,7.6922
54,1.66452,1.20318,1.64403,9.03496,13.547
55,1.66555,1.2141,1.63186,3.88358,8.39538
56,1.67686,1.2149,1.64388,2.56338,7.09925
57,1.66443,1.20336,1.64383,9.2268,13.7387
58,1.65202,1.20367,1.63183,4.17435,8.66211
59,1.6752,1.20399,1.64386,3.13094,7.65424
60,1.66417,1.20368,1.63185,9.40255,13.9024
