
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.78427,1.33977,1.61806,1.67198,6.41437
2,1.79315,1.33854,1.63186,2.1704,6.93423
3,1.78156,1.36202,1.6319,5.18088,9.95665
4,1.82018,1.32338,1.61989,2.15651,6.92025
5,1.78176,1.33795,1.63197,3.54382,8.29579
6,1.80816,1.33553,1.63191,12.8233,17.5992
7,1.69624,1.33943,1.6439,4.11951,8.79937
8,1.79285,1.33884,1.63195,12.2721,17.036
9,1.8559,1.33579,1.63192,3.06912,7.89301
10,1.79333,1.33837,1.64389,3.32765,8.10348
11,1.78394,1.3357,1.6319,2.89622,7.64805
12,1.79628,1.33537,1.63189,4.19659,8.96042
13,1.81984,1.33582,1.61984,2.56507,7.34085
14,1.79233,1.3393,1.63186,2.08668,6.85044
15,1.78069,1.35114,1.63169,7.07207,11.8358
16,1.80767,1.33609,1.61976,6.68289,11.4467
17,1.78245,1.33738,1.65591,5.1485,9.92453
18,1.80498,1.36282,1.63181,3.80816,8.60806
19,1.79344,1.33834,1.63193,8.13163,12.8956
20,1.7922,1.34145,1.6318,7.1016,11.8673
21,1.83195,1.33651,1.64307,23.6883,28.5001
22,1.73357,1.34992,1.61995,1.69402,6.39775
23,1.82006,1.33574,1.63179,4.71839,9.50626
24,1.81971,1.32395,1.63188,6.04497,10.8208
25,1.78334,1.3363,1.61983,2.88372,7.62347
26,1.82194,1.33383,1.63178,2.10417,6.89202
27,1.78022,1.3394,1.63183,13.6236,18.3754
28,1.73932,1.33232,1.61976,6.30375,10.9955
29,1.82216,1.33348,1.6318,4.47144,9.25919
30,1.80586,1.3259,1.63187,8.45605,13.22
31,1.74767,1.33616,1.61982,1.63175,6.33565
32,1.7811,1.33867,1.63203,3.27705,8.02915
33,1.80449,1.32723,1.63183,2.94173,7.70557
34,1.79177,1.33977,1.64391,3.50517,8.28092
35,1.78144,1.33806,1.63185,2.90583,7.65747
36,1.80788,1.33564,1.63454,11.7667,16.545
37,1.75687,1.32674,1.6198,8.09335,12.797
38,1.83582,1.33177,1.63197,1.87613,6.67593
39,1.78118,1.33845,1.63378,2.20264,6.95632
40,1.80481,1.33902,1.61982,2.05197,6.81591
41,1.79821,1.33353,1.63181,11.8476,16.6114
42,1.82918,1.3506,1.63188,17.6294,22.4413
43,1.85242,1.33905,1.62009,25.1429,29.9547
44,1.86536,1.33831,1.63184,11.1356,15.9714
45,1.8311,1.33641,1.63188,5.5525,10.3522
46,1.77097,1.33665,1.62005,3.17909,7.90706
47,1.82255,1.33325,1.63184,22.4368,27.2247
48,1.97313,1.3506,1.63179,2.57737,7.53317
49,1.79559,1.33613,1.61986,2.0208,6.77267
50,1.78096,1.35081,1.63177,3.15327,7.91706
51,1.78052,1.32716,1.63193,8.94377,13.6837
52,1.78028,1.33936,1.61985,6.87567,11.6154
53,1.80399,1.31566,1.64385,2.92329,7.68712
54,1.78156,1.33817,1.63192,3.0518,7.8037
55,1.80402,1.33975,1.61987,2.09726,6.86115
56,1.78359,1.32414,1.63192,5.84472,10.5847
57,1.80531,1.33863,1.63175,4.72045,9.4964
58,1.78179,1.33795,1.61979,7.20009,11.9399
59,1.82241,1.33316,1.63184,1.26184,6.04955
60,1.78087,1.33878,1.63184,13.0552,17.807
