
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.72524,1.33913,1.61973,1.28396,5.96831
2,1.7809,1.33875,1.65585,1.25017,6.02596
3,1.79538,1.33641,1.6318,6.02362,10.7875
4,1.80691,1.3368,1.61979,1.28428,6.04806
5,1.78143,1.33637,1.63178,1.27969,6.02956
6,1.78375,1.33597,1.65572,3.07609,7.85181
7,1.79525,1.33835,1.61794,1.2736,6.02542
8,1.78166,1.33985,1.65411,1.24985,6.02575
9,1.82114,1.33369,1.6319,1.64414,6.43116
10,1.8053,1.32629,1.61981,1.28675,6.03843
11,1.78086,1.32699,1.65573,1.23802,6.00189
12,1.79329,1.33844,1.63181,2.12348,6.88731
13,1.79568,1.33594,1.61988,1.26497,6.01675
14,1.78306,1.3366,1.65574,1.2564,6.03208
15,1.81048,1.33316,1.63201,1.69462,6.47054
16,1.79287,1.33869,1.62001,1.2612,6.01305
17,1.79631,1.33539,1.65581,1.23658,6.02439
18,1.79678,1.33488,1.63378,2.15618,6.9219
19,1.78113,1.33855,1.61996,1.26122,6.00115
20,1.78041,1.33925,1.65603,1.26363,6.0396
21,1.80794,1.33586,1.6319,4.72901,9.50493
22,1.79641,1.33521,1.6198,1.26979,6.02149
23,1.78087,1.33877,1.63182,1.2603,6.01198
24,1.78445,1.33544,1.65574,2.99165,7.76756
25,1.79275,1.32705,1.61975,1.29809,6.03789
26,1.78102,1.33851,1.64405,1.27723,6.0411
27,1.80844,1.33515,1.63188,1.67589,6.45164
28,1.8069,1.33684,1.61993,1.29211,6.05607
29,1.78124,1.33839,1.65588,1.2496,6.02539
30,1.81071,1.33292,1.63182,4.72409,9.49983
31,1.79231,1.33935,1.61976,1.24867,6.00038
32,1.78368,1.336,1.63178,1.27595,6.0277
33,1.78296,1.33659,1.65581,5.57348,10.3491
34,1.78083,1.32692,1.61987,1.26396,5.99186
35,1.80713,1.33641,1.63199,1.29842,6.07419
36,1.78452,1.33607,1.64293,4.2849,9.04863
37,1.81695,1.32659,1.6198,1.30547,6.06909
38,1.78461,1.33505,1.63187,1.28086,6.03266
39,1.78285,1.33691,1.65581,3.96711,8.74296
40,1.7954,1.33614,1.61996,1.27273,6.02453
41,1.78084,1.32679,1.65577,1.26119,6.02487
42,1.80725,1.33641,1.63185,3.52451,8.30031
43,1.79384,1.33789,1.61993,1.25009,6.002
44,1.81017,1.33353,1.63182,1.2825,6.05831
45,1.78447,1.33505,1.63201,6.5488,11.3006
46,1.76818,1.31536,1.61986,1.23755,5.94124
47,1.79376,1.33792,1.6319,1.28398,6.04784
48,1.78105,1.33867,1.63198,2.94412,7.69616
49,1.80554,1.33826,1.61976,1.24079,6.00463
50,1.79087,1.33964,1.63203,1.27216,6.03497
51,1.78332,1.33647,1.65591,1.68054,6.45652
52,1.80478,1.32895,1.61778,1.24008,5.99188
53,1.79708,1.33458,1.63189,1.27742,6.04128
54,1.78148,1.33828,1.65578,3.03982,7.81564
55,1.79494,1.3367,1.6198,1.31035,6.06207
56,1.78138,1.33833,1.65597,1.26155,6.03751
57,1.81571,1.32798,1.63169,2.0862,6.86185
58,1.80235,1.33959,1.61974,1.28851,6.05045
59,1.7816,1.33995,1.65404,1.27982,6.05569
60,1.80693,1.33678,1.63184,3.76424,8.54008
