
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.76315,1.28938,1.632,1.61444,6.29925
2,1.75741,1.29023,1.63183,5.20787,9.88762
3,1.75427,1.2935,1.61985,5.3524,10.0203
4,1.73088,1.29284,1.63193,1.86298,6.51891
5,1.74315,1.30437,1.63197,5.22253,9.9023
6,1.77299,1.29873,1.62171,5.32832,10.022
7,1.74551,1.29017,1.6318,1.87185,6.53962
8,1.74274,1.29273,1.63186,5.27117,9.93879
9,1.75547,1.29229,1.6197,5.4019,10.0696
10,1.73316,1.2786,1.63181,1.88148,6.52534
11,1.74259,1.29301,1.63194,5.24177,9.90963
12,1.78114,1.29044,1.61993,5.38245,10.0743
13,1.7477,1.29987,1.63186,1.85401,6.53369
14,1.74437,1.29154,1.63182,5.23843,9.90644
15,1.75574,1.29192,1.61978,5.43221,10.1
16,1.7314,1.29225,1.63178,1.89178,6.54751
17,1.74502,1.30271,1.63183,5.22021,9.90006
18,1.77048,1.30118,1.61982,5.31386,10.0056
19,1.74615,1.28965,1.63179,1.87443,6.54229
20,1.74553,1.2901,1.63183,5.24983,9.91758
21,1.75823,1.28947,1.61981,5.37354,10.0414
22,1.72281,1.28894,1.63185,1.83494,6.47881
23,1.74219,1.31752,1.63174,5.22654,9.91827
24,1.78376,1.28798,1.61998,5.35904,10.051
25,1.73447,1.3011,1.632,1.51373,6.18159
26,1.73098,1.29278,1.63182,5.24022,9.8961
27,1.75451,1.29324,1.61987,5.32778,9.99569
28,1.73952,1.28154,1.63185,1.8664,6.5196
29,1.74558,1.30212,1.63183,5.30277,9.9826
30,1.76612,1.29346,1.61991,5.38844,10.0682
31,1.73091,1.29303,1.64379,1.84598,6.514
32,1.74524,1.29047,1.63181,5.29448,9.96228
33,1.75778,1.28989,1.61982,5.38518,10.053
34,1.71949,1.3042,1.63185,1.88476,6.54058
35,1.74285,1.30475,1.63194,5.25008,9.92991
36,1.76655,1.29303,1.61993,5.4318,10.1116
37,1.74208,1.2935,1.632,1.86245,6.53028
38,1.74541,1.29018,1.63186,5.20186,9.86959
39,1.75412,1.29369,1.61977,5.3354,10.0033
40,1.73161,1.29213,1.63169,1.87806,6.53377
41,1.7545,1.30145,1.63194,5.2594,9.94758
42,1.77785,1.29289,1.61984,5.36201,10.0529
43,1.75849,1.28737,1.63182,1.86561,6.54352
44,1.74298,1.2948,1.62991,5.31619,9.98413
45,1.75454,1.29314,1.61983,5.39476,10.0626
46,1.73118,1.29255,1.63197,1.86024,6.51624
47,1.7424,1.30413,1.63185,5.23487,9.9135
48,1.76718,1.28064,1.61976,5.41942,10.0873
49,1.74284,1.29278,1.63197,1.89001,6.55789
50,1.74329,1.29253,1.63183,5.26145,9.92936
51,1.75478,1.29279,1.62006,5.43791,10.1058
52,1.73045,1.29329,1.63177,1.8748,6.53059
53,1.74588,1.30182,1.63181,5.26321,9.943
54,1.78445,1.28721,1.61987,5.35778,10.0495
55,1.73025,1.28156,1.63188,1.85937,6.50337
56,1.74255,1.29315,1.63186,5.29886,9.96671
57,1.7552,1.29242,1.61995,5.40945,10.0773
58,1.73271,1.29098,1.63179,1.89406,6.54983
59,1.74313,1.31665,1.63182,5.24633,9.93821
60,1.7698,1.28988,1.61978,5.39016,10.0699
