
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.79335,1.34068,1.61799,15.6272,20.3795
2,1.79221,1.32744,1.63198,11.6235,16.3754
3,1.78315,1.3367,1.65577,27.9635,32.7394
4,1.78109,1.33865,1.61983,15.4194,20.1592
5,1.79731,1.32239,1.63191,12.0276,16.7795
6,1.78137,1.35031,1.63196,27.8826,32.6466
7,1.73535,1.33643,1.6199,15.0245,19.7165
8,1.7964,1.32323,1.63192,8.35269,13.1045
9,1.80723,1.33649,1.63195,28.4385,33.2145
10,1.73311,1.33849,1.64385,15.6615,20.3773
11,1.79342,1.35036,1.63192,11.9395,16.7155
12,1.81234,1.31935,1.63183,28.5117,33.2756
13,1.74528,1.36253,1.61973,14.6316,19.3595
14,1.79559,1.34829,1.63169,8.35287,13.1287
15,1.78019,1.34122,1.63017,24.2195,28.9714
16,1.78295,1.33676,1.63184,15.5923,20.3441
17,1.79325,1.33846,1.63178,11.9536,16.7174
18,1.78318,1.34851,1.63182,28.2786,33.0424
19,1.74807,1.33555,1.61978,15.0955,19.7992
20,1.79219,1.33948,1.63174,8.27672,13.0404
21,1.7942,1.33559,1.63172,24.4216,29.1834
22,1.78183,1.33802,1.61967,15.6011,20.3409
23,1.80496,1.3386,1.632,11.7323,16.5081
24,1.78099,1.3388,1.63172,28.2354,32.9872
25,1.75691,1.3388,1.61981,14.6482,19.3641
26,1.79411,1.33772,1.64373,8.29638,13.0722
27,1.78076,1.33889,1.64392,28.0511,32.815
28,1.78068,1.33883,1.6199,15.4991,20.2388
29,1.796,1.33558,1.63184,11.9994,16.7631
30,1.78101,1.36384,1.63075,28.0953,32.8712
31,1.75702,1.33877,1.61986,14.6282,19.3441
32,1.79195,1.33958,1.63192,8.64433,13.4081
33,1.80526,1.33573,1.63189,26.2053,30.9785
34,1.79663,1.32299,1.61987,12.6629,17.4027
35,1.79186,1.34986,1.63194,12.082,16.856
36,1.79562,1.33597,1.63177,28.8962,33.6599
37,1.78859,1.33105,1.61983,14.7251,19.4648
38,1.80791,1.33575,1.63185,8.61724,13.393
39,1.78073,1.32899,1.63,26.1989,30.939
40,1.81251,1.33115,1.61987,15.9039,20.6677
41,1.81759,1.33802,1.63199,12.0249,16.8128
42,1.78075,1.33898,1.65585,28.5101,33.2859
43,1.79665,1.33504,1.61979,14.904,19.6558
44,1.81683,1.33892,1.63175,8.32511,13.1129
45,1.79752,1.33403,1.63181,24.2631,29.0267
46,1.76824,1.35145,1.61992,15.6946,20.4345
47,1.80845,1.33523,1.63183,11.8699,16.6457
48,1.78155,1.32612,1.63185,28.4749,33.2147
49,1.77445,1.33338,1.61975,14.9198,19.6476
50,1.80558,1.33813,1.63187,8.28386,13.0597
51,1.78451,1.33529,1.6558,24.2409,29.0167
52,1.76916,1.33879,1.61967,15.4574,20.1853
53,1.79646,1.33537,1.63173,11.9488,16.7126
54,1.78032,1.35134,1.63187,28.3347,33.0985
55,1.76107,1.3344,1.61987,15.0806,19.7962
56,1.79244,1.34184,1.6413,11.5937,16.3696
57,1.78346,1.33633,1.65573,24.1529,28.9287
58,1.7711,1.33658,1.61984,15.5325,20.2603
59,1.79234,1.33944,1.63184,11.9035,16.6674
60,1.78525,1.34632,1.63192,28.6987,33.4625
