Setup time, 4.36

Iteration,Approach,Pickup,Transport,Insert,Total
1,1.51925,1.31491,1.61983,1.64414,6.09838
2,1.79221,1.3396,1.65575,1.26451,6.05235
3,1.79353,1.3401,1.62991,4.62379,9.38762
4,1.80725,1.33637,1.62005,1.61939,6.38334
5,1.78161,1.33826,1.63175,1.2739,6.02579
6,1.78009,1.32757,1.65584,4.65843,9.4222
7,1.79076,1.33916,1.64381,1.62485,6.39887
8,1.80413,1.32759,1.63188,1.2523,6.01617
9,1.80431,1.33937,1.63169,4.61582,9.39148
10,1.81419,1.33965,1.61987,1.25924,6.03327
11,1.79228,1.33923,1.63386,1.27077,6.03642
12,1.78571,1.33389,1.65585,4.63313,9.40889
13,1.79537,1.33633,1.64375,1.26879,6.04452
14,1.80782,1.33376,1.632,1.27006,6.04387
15,1.78322,1.33652,1.63187,4.56447,9.31637
16,1.79283,1.3389,1.61992,1.63198,6.38392
17,1.79322,1.32662,1.63187,1.26137,6.01337
18,1.80861,1.33513,1.64379,4.59984,9.38762
19,1.8222,1.33363,1.61979,1.25241,6.02828
20,1.79951,1.3323,1.63175,1.28104,6.04488
21,1.78398,1.33566,1.65594,4.64227,9.41812
22,1.79551,1.32413,1.64388,1.22582,5.98963
23,1.79808,1.33375,1.63169,1.24628,6.01008
24,1.7814,1.33833,1.63184,4.62366,9.3755
25,1.79295,1.33882,1.61975,1.27621,6.02802
26,1.78135,1.33852,1.65566,1.26064,6.03645
27,1.79268,1.339,1.63186,4.59186,9.35568
28,1.81241,1.33133,1.61983,1.2526,6.01645
29,1.78462,1.33499,1.63188,1.29195,6.04372
30,1.78001,1.33958,1.65585,4.57245,9.34818
31,1.79264,1.33907,1.64384,1.24991,6.02574
32,1.79205,1.31551,1.63187,1.24639,5.9861
33,1.80546,1.3382,1.63184,4.63183,9.40757
34,1.80827,1.3356,1.61989,1.26425,6.02829
35,1.78147,1.33829,1.63189,1.2886,6.04056
36,1.7859,1.32179,1.65588,4.57217,9.33598
37,1.79335,1.32641,1.64372,1.26474,6.0285
38,1.79277,1.33889,1.63367,1.25029,6.0159
39,1.78118,1.33846,1.63203,4.55144,9.30339
40,1.79579,1.33581,1.61998,1.26896,6.02082
41,1.78004,1.33951,1.65589,1.24941,6.02514
42,1.79555,1.33615,1.63194,4.69572,9.45965
43,1.80417,1.33944,1.61988,1.25247,6.01624
44,1.78157,1.33812,1.63182,1.29579,6.04759
45,1.78378,1.32375,1.65582,4.57032,9.33395
46,1.79555,1.33622,1.64371,1.63192,6.40769
47,1.81305,1.31894,1.6317,1.25322,6.01719
48,1.78334,1.33634,1.6319,4.67558,9.42745
49,1.79283,1.33874,1.61993,1.27213,6.02392
50,1.78348,1.33634,1.65583,1.26758,6.04351
51,1.80962,1.32203,1.63184,4.74408,9.50782
52,1.80728,1.33631,1.6218,1.26263,6.0283
53,1.78373,1.33602,1.63171,1.28508,6.03682
54,1.7811,1.33871,1.65575,4.62036,9.39621
55,1.79564,1.324,1.64384,1.268,6.03175
56,1.79802,1.33357,1.63184,1.25236,6.01608
57,1.7856,1.33411,1.63173,4.62394,9.37567
58,1.79503,1.33658,1.6198,1.30039,6.05208
59,1.78558,1.33417,1.65585,1.25677,6.03266
60,1.80778,1.32574,1.63018,4.67798,9.44198
