
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.78305,1.30165,1.63179,1.20551,5.92229
2,1.81954,1.30026,1.64403,2.97476,7.73888
3,1.78516,1.32266,1.63198,5.33048,10.0706
4,1.78585,1.30997,1.63189,1.19502,5.92301
5,1.78013,1.30361,1.64398,2.92144,7.64945
6,1.7976,1.31018,1.63178,5.40722,10.147
7,1.78621,1.30992,1.63151,1.21844,5.9464
8,1.78661,1.29721,1.64388,2.9559,7.68386
9,1.78702,1.3088,1.63187,5.28646,10.0144
10,1.78174,1.30219,1.63185,1.19389,5.90991
11,1.78188,1.30186,1.64381,3.20735,7.93519
12,1.78557,1.31017,1.63196,5.31795,10.0459
13,1.78529,1.29872,1.63173,1.20551,5.92146
14,1.77974,1.30234,1.6439,2.96588,7.69211
15,1.787,1.30879,1.63173,4.87152,9.59932
16,1.79558,1.30031,1.63249,1.20119,5.92985
17,1.78492,1.31071,1.64396,3.20638,7.94625
18,1.78382,1.32244,1.63177,5.25987,9.99819
19,1.78489,1.31062,1.63202,1.20528,5.9331
20,1.7815,1.30226,1.64403,2.9518,7.67989
21,1.786,1.32181,1.63211,5.33322,10.0734
22,1.78752,1.30832,1.63178,1.20587,5.93378
23,1.77897,1.30487,1.64389,2.93328,7.6613
24,1.78554,1.29841,1.63253,4.97313,9.68989
25,1.79004,1.30572,1.6318,1.21444,5.94228
26,1.78178,1.31337,1.6439,2.98168,7.72102
27,1.78185,1.30192,1.63193,5.24628,9.96227
28,1.78048,1.30339,1.63188,1.20375,5.91978
29,1.78198,1.30183,1.6439,3.25631,7.9843
30,1.78645,1.30946,1.63188,4.90973,9.63778
31,1.78448,1.31071,1.63195,1.20321,5.93064
32,1.77943,1.30449,1.64397,2.92161,7.64978
33,1.78385,1.30008,1.63184,5.34323,10.0593
34,1.78153,1.3027,1.63168,1.21565,5.93184
35,1.7838,1.31201,1.64558,2.89244,7.63412
36,1.78227,1.32569,1.63176,4.89574,9.63574
37,1.79798,1.30996,1.63172,1.20524,5.94518
38,1.78225,1.30153,1.64388,2.91958,7.64752
39,1.78763,1.30803,1.63195,5.30623,10.0341
40,1.78543,1.29836,1.632,1.21461,5.93069
41,1.78103,1.30218,1.64369,2.89618,7.62337
42,1.78523,1.31059,1.63188,4.89565,9.62363
43,1.79689,1.29891,1.64166,1.20734,5.94511
44,1.78111,1.30257,1.64393,2.93354,7.66143
45,1.78484,1.30214,1.62888,4.88408,9.60022
46,1.79725,1.31059,1.63187,1.19047,5.93046
47,1.78359,1.30009,1.64399,3.20599,7.93388
48,1.78723,1.30869,1.63203,4.98548,9.71368
49,1.78473,1.31107,1.63205,1.21686,5.94496
50,1.77681,1.30461,1.64398,2.91842,7.64409
51,1.78551,1.31026,1.63198,5.36588,10.0939
52,1.78212,1.30173,1.63177,1.20248,5.91839
53,1.78362,1.31229,1.64391,2.88472,7.62482
54,1.78236,1.30088,1.63185,4.8863,9.60166
55,1.79063,1.30531,1.63171,1.21596,5.94389
56,1.78121,1.30263,1.644,2.9443,7.67242
57,1.78272,1.30121,1.63278,5.36504,10.082
58,1.7971,1.2986,1.6319,1.20544,5.93333
59,1.78146,1.30246,1.64373,2.90783,7.63577
60,1.78605,1.30989,1.63193,4.92623,9.65439
