RANDOM,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.71707,1.33794,1.63205,1.65303,6.34038
2,1.79314,1.30255,1.64396,1.24142,5.98132
3,1.75969,1.32397,1.632,11.9815,16.6974
4,1.76364,1.3201,1.63209,2.49979,7.2159
5,1.77107,1.31249,1.64401,7.09765,11.8255
6,1.83198,1.312,1.63175,5.95532,10.7313
7,1.73047,1.30513,1.63196,3.01798,7.68581
8,1.78518,1.3108,1.64387,1.20323,5.94337
9,1.7814,1.32774,1.63048,16.0554,20.7953
10,2.10286,1.34095,1.63185,18.2968,23.3728
11,1.8413,1.30276,1.66775,14.258,19.07
12,1.91662,1.29942,1.63185,7.79192,12.6401
13,1.67103,1.30472,1.6326,18.9134,23.522
14,1.86565,1.30229,1.64387,1.23974,6.05185
15,1.75499,1.30482,1.6319,14.9318,19.6238
16,1.82912,1.3027,1.63178,4.44264,9.2065
17,1.79315,1.30204,1.64376,14.5476,19.2868
18,1.97401,1.3139,1.63193,2.67029,7.59041
19,1.78547,1.31045,1.63187,12.3511,17.0791
20,1.80351,1.30421,1.64404,1.24181,5.99371
21,1.75801,1.30186,1.65596,15.4559,20.1719
22,2.14706,1.30859,1.63183,9.97889,15.0667
23,1.82085,1.3108,1.64384,7.8256,12.6014
24,1.81789,1.30199,1.63182,3.11723,7.8692
25,1.75713,1.3024,1.63186,30.8689,35.5606
26,2.13946,1.31629,1.66788,1.62582,6.74974
27,1.78184,1.31388,1.63185,2.29639,7.02411
28,1.75849,1.3135,1.63347,5.84825,10.5539
29,1.77108,1.30081,1.66796,21.7141,26.4541
30,2.38189,1.30211,1.63229,3.26585,8.58234
31,1.74646,1.32463,1.65594,44.3571,49.0844
32,2.43912,1.32856,1.644,25.9675,31.3793
33,2.57996,1.30862,1.61919,33.4966,39.0046
34,3.2585,1.32526,1.63189,3.44389,9.65974
35,1.7681,1.30381,1.66815,3.88822,8.62849
36,1.77905,1.32626,1.63196,10.6831,15.4207
37,1.80561,1.33837,1.63183,44.7044,49.4805
38,2.62751,1.30828,1.64393,12.6622,18.2422
39,1.8556,1.31223,1.65582,35.3872,40.2112
40,3.39312,1.29886,1.63188,4.89746,11.2215
41,1.79256,1.30302,1.644,7.33719,12.0771
42,1.84146,1.31441,1.65667,18.9976,23.8104
43,2.28301,1.30484,1.63207,13.2536,18.4737
44,1.82105,1.31071,1.64409,1.62629,6.40232
45,1.75477,1.32645,1.63196,51.7577,56.471
46,4.2528,1.30281,1.65592,2.07127,9.28309
47,1.79829,1.32142,1.64398,1.63763,6.40161
48,1.75783,1.30181,1.63199,9.89337,14.5852
49,1.66593,1.31009,1.63199,4.57408,9.18238
50,1.77156,1.31247,1.64379,8.60998,13.3381
51,1.85316,1.31461,1.63186,2.96471,7.76462
52,1.77979,1.30413,1.63189,1.67385,6.38992
53,1.77166,1.29856,1.644,1.22633,5.94084
54,1.75847,1.31333,1.6561,3.18562,7.91383
55,1.75778,1.31381,1.63198,2.12928,6.83315
56,1.76141,1.34616,1.6441,5.93988,10.6918
57,1.82611,1.30568,1.63193,38.2728,43.0368
58,3.43975,1.31273,1.63127,5.91015,12.2942
59,1.77138,1.30046,1.66781,57.1189,61.8588
