Sobol,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.70625,1.31457,1.63018,3.08926,7.74055
2,1.78247,1.30134,1.64452,1.21718,5.94579
3,1.78086,1.30289,1.63201,5.68215,10.3983
4,1.7216,1.30225,1.63181,1.87391,6.52985
5,1.76084,1.347,1.64391,11.0715,15.8236
6,1.90453,1.3109,1.6319,5.67133,10.5189
7,1.72263,1.32518,1.63179,3.34107,8.02099
8,1.78825,1.31955,1.6438,1.21247,5.96443
9,1.78549,1.31025,1.63252,5.68233,10.4109
10,1.72323,1.31263,1.63196,1.88444,6.55253
11,1.75525,1.33818,1.64389,3.454,8.19161
12,1.7808,1.3027,1.65585,5.65461,10.3942
13,1.75783,1.31403,1.63181,3.32923,8.03318
14,1.75861,1.30034,1.66795,1.21772,5.94482
15,1.78591,1.31005,1.63208,5.65798,10.3863
16,1.74549,1.30232,1.63181,1.85076,6.53068
17,1.77388,1.32195,1.66778,3.3983,8.16218
18,1.78537,1.31139,1.63277,5.64995,10.3798
19,1.72057,1.30306,1.63171,1.87526,6.53087
20,1.76951,1.3382,1.64392,1.22474,5.97664
21,1.78009,1.30215,1.63171,5.63329,10.3475
22,1.74357,1.30439,1.63196,1.93766,6.61771
23,1.77432,1.34216,1.63539,11.0695,15.8215
24,1.90491,1.29811,1.63178,5.67635,10.5114
25,1.74691,1.31312,1.63101,3.34398,8.03519
26,1.7909,1.31671,1.64391,5.62563,10.3773
27,1.83079,1.31308,1.63182,5.6433,10.4192
28,1.72329,1.30282,1.6296,1.90762,6.56361
29,1.76202,1.34821,1.6418,2.84409,7.59638
30,1.78218,1.30156,1.6318,5.69977,10.4156
31,1.723,1.31401,1.63059,3.31443,7.98222
32,1.79045,1.31727,1.64395,1.22376,5.97571
33,1.79123,1.30386,1.63191,5.66635,10.3936
34,1.72255,1.31344,1.63167,1.86595,6.53378
35,1.77323,1.33378,1.64408,2.83427,7.58549
36,1.7856,1.31029,1.63192,5.68197,10.4099
37,1.71916,1.3166,1.63194,3.32957,7.99744
38,1.78778,1.29612,1.64401,1.17789,5.90593
39,1.78415,1.31177,1.63182,5.67554,10.4035
40,1.72515,1.29872,1.6313,1.86205,6.51739
41,1.76907,1.33871,1.64398,2.85548,7.60738
42,1.78993,1.3061,1.63185,5.67504,10.4031
43,1.72071,1.30239,1.63201,3.31777,7.97306
44,1.7856,1.29807,1.64394,1.22002,5.94792
45,1.78303,1.31278,1.6345,38.1442,42.8748
46,3.47695,1.32287,1.63214,1.84205,8.27415
47,1.75923,1.3124,1.64411,3.43959,8.15554
48,1.80976,1.31006,1.63286,5.6982,10.4511
49,1.7474,1.31237,1.63207,3.31359,8.00572
50,1.78486,1.32287,1.64385,1.22025,5.97211
51,1.7787,1.31668,1.63165,35.0199,39.7472
52,3.4849,1.32695,1.63198,1.87802,8.32214
53,1.7693,1.33852,1.64432,2.83914,7.59158
54,1.77973,1.30405,1.63255,5.71748,10.4341
55,1.71944,1.30425,1.6327,3.33699,7.99365
56,1.78403,1.31182,1.64393,1.51531,6.25524
57,1.75438,1.30543,1.6321,5.72371,10.4158
58,1.71903,1.30487,1.63185,1.90128,6.55731
59,1.76845,1.33926,1.64436,2.85836,7.61068
60,1.78088,1.3029,1.63193,5.65924,10.3752
