
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.75007,1.30254,1.65592,9.39781,14.1066
2,1.76819,1.30372,1.66793,5.78648,10.5266
3,1.75788,1.33804,1.63187,29.8351,34.5632
4,1.7349,1.30062,1.65538,8.63417,13.3254
5,1.77043,1.30132,1.64382,1.24386,5.9597
6,1.75677,1.31491,1.65601,25.577,30.305
7,1.74869,1.31119,1.6559,9.52225,14.2383
8,1.77148,1.30043,1.66768,8.65411,13.394
9,1.7573,1.30238,1.63224,29.8425,34.5346
10,1.75943,1.30166,1.63127,8.5854,13.2779
11,1.79831,1.32066,1.64395,1.20541,5.9685
12,1.77949,1.30431,1.63191,25.6378,30.3536
13,1.74635,1.31353,1.63197,9.74988,14.4419
14,1.77016,1.30169,1.64402,5.82553,10.5415
15,1.75783,1.29006,1.63199,29.6191,34.2991
16,1.75866,1.30061,1.63155,8.83716,13.5282
17,1.80266,1.30653,1.64268,8.0831,12.8351
18,1.7551,1.30458,1.63182,29.5138,34.2055
19,1.75729,1.30329,1.63124,9.42476,14.1169
20,1.79675,1.31059,1.6441,1.23331,5.98503
21,1.7864,1.31013,1.63114,34.1399,38.8679
22,1.7334,1.32599,1.63191,9.29036,13.9819
23,1.76768,1.34028,1.64392,10.7611,15.5133
24,1.79059,1.30534,1.63193,29.8728,34.601
25,1.76337,1.30837,1.63195,9.44799,14.152
26,1.78836,1.30755,1.64392,1.19952,5.93964
27,1.77966,1.31609,1.63197,29.99,34.718
28,1.75752,1.30209,1.63206,9.21921,13.9112
29,1.79956,1.32023,1.64429,10.7968,15.5611
30,1.78756,1.3084,1.63203,30.2656,34.9939
31,1.76148,1.3104,1.63209,9.42277,14.127
32,1.80038,1.30739,1.64395,1.20559,5.95758
33,1.78167,1.30216,1.63193,29.922,34.6381
34,1.75567,1.31597,1.63377,9.30055,14.0062
35,1.79537,1.3002,1.64393,11.2202,15.96
36,1.79359,1.30224,1.63187,30.582,35.3099
37,1.7259,1.31181,1.69049,9.52201,14.2504
38,1.7699,1.30105,1.6681,1.4789,6.21814
39,1.80025,1.30809,1.63199,29.821,34.5616
40,1.75622,1.30363,1.63297,8.9767,13.6698
41,1.76996,1.33781,1.64395,11.1595,15.9115
42,1.78593,1.3099,1.63199,29.8212,34.5492
43,1.74278,1.30803,1.63185,9.50553,14.1884
44,1.80574,1.31472,1.64321,1.5211,6.28494
45,1.75732,1.31465,1.6324,29.5101,34.2146
46,1.74624,1.30163,1.63194,8.98,13.6601
47,1.79996,1.30815,1.64367,11.1055,15.8576
48,1.78393,1.29986,1.63188,29.9102,34.6262
49,1.76791,1.30407,1.63363,6.73356,11.4393
50,1.75692,1.31421,1.64493,1.2529,5.96913
51,1.75692,1.30612,1.66461,29.7337,34.4615
52,1.72299,1.30089,1.65583,8.97551,13.6555
53,1.76995,1.30207,1.64412,11.2102,15.9265
54,1.75776,1.30209,1.632,30.1609,34.853
55,1.74273,1.30678,1.63018,6.73619,11.4162
56,1.75851,1.30185,1.67952,1.51757,6.25772
57,1.79374,1.30217,1.63187,29.597,34.3251
58,1.72187,1.32672,1.65512,9.20951,13.9134
59,1.76891,1.32487,1.63844,11.3714,16.1038
60,1.81942,1.29508,1.63202,30.027,34.7737
