Iteration,Approach,Pickup,Transport,Insert,Total
1,1.65306,1.21546,1.64375,11.0747,15.5872
2,1.6763,1.20329,1.65596,19.1186,23.6545
3,1.76064,1.20314,1.64379,30.9334,35.5412
4,2.13182,1.20394,1.64395,6.38324,11.3632
5,1.6886,1.20313,1.6919,21.1441,25.728
6,1.78412,1.20362,1.6438,14.6385,19.2704
7,1.62854,1.20323,1.64382,3.37953,7.8554
8,1.67565,1.20394,1.68065,16.1324,20.6929
9,1.73585,1.20378,1.64378,1.87945,6.4631
10,1.68834,1.20341,1.64386,12.1628,16.6987
11,1.70152,1.20237,1.65573,3.00562,7.56553
12,1.67581,1.2039,1.64392,4.51931,9.04321
13,1.67633,1.21558,1.64367,2.40564,6.94158
14,1.67597,1.20381,1.65593,8.52616,13.0621
15,1.68869,1.20303,1.66789,8.52518,13.085
16,1.62749,1.20429,1.64379,2.54381,7.01967
17,1.66388,1.20379,1.65586,2.71028,7.23402
18,1.65239,1.20331,1.64385,2.84266,7.34249
19,1.68717,1.20394,1.64379,2.27528,6.81045
20,1.66434,1.20339,1.65586,7.99371,12.5175
21,1.70101,1.20265,1.6439,3.05544,7.60326
22,1.6757,1.20406,1.64398,4.59267,9.11666
23,1.67613,1.20373,1.65579,11.3066,15.8425
24,1.72519,1.21448,1.66787,11.4676,16.0754
25,1.62808,1.20338,1.64396,3.29835,7.774
26,1.67654,1.20333,1.65579,31.1102,35.6462
27,1.90468,1.20307,1.6679,7.53101,12.3069
28,1.67625,1.20339,1.64454,1.95101,6.47547
29,1.67602,1.2038,1.65587,8.50604,13.0419
30,1.68983,1.21395,1.64398,16.795,21.343
31,1.59209,1.20376,1.64394,5.59909,10.0391
32,1.67659,1.21533,1.65579,16.007,20.555
33,1.72456,1.203,1.66783,2.00419,6.59987
34,1.67624,1.20342,1.64394,5.57553,10.0994
35,1.66403,1.21649,1.65515,14.7313,19.2673
36,1.72416,1.2036,1.6439,1.98817,6.56012
37,1.67659,1.20319,1.64402,6.43091,10.9549
38,1.67605,1.20362,1.66793,3.43935,7.9872
39,1.68858,1.20319,1.64449,5.25143,9.78798
40,1.67634,1.20337,1.64386,7.54065,12.0645
41,1.68725,1.20387,1.65578,1.90637,6.45353
42,1.67636,1.20331,1.64395,2.05049,6.57438
43,1.68768,1.20395,1.6679,2.35701,6.91678
44,1.68922,1.20312,1.65515,2.30152,6.84931
45,1.67569,1.20436,1.65562,4.4258,8.96174
46,1.66431,1.20348,1.66783,11.4249,15.9607
47,1.68748,1.20349,1.65583,10.3666,14.9137
48,1.71197,1.20368,1.6445,6.98005,11.5405
49,1.65391,1.20165,1.64405,3.01197,7.51186
50,1.67637,1.20338,1.65589,6.49687,11.0328
51,1.70015,1.20358,1.64382,5.49549,10.0433
52,1.67666,1.20334,1.64374,5.54994,10.074
53,1.67759,1.20229,1.65595,15.2629,19.7989
54,1.74944,1.20231,1.64386,1.99963,6.59552
55,1.68766,1.20403,1.64377,1.89224,6.42797
56,1.67638,1.20348,1.65593,19.7847,24.3208
57,1.80788,1.2039,1.64368,6.08016,10.7359
58,1.6644,1.20328,1.64384,4.60888,9.12068
59,1.67606,1.20368,1.65583,5.41735,9.95317
60,1.67669,1.20313,1.64401,27.9161,32.4402
