
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.63795,1.21433,1.668,1.17457,5.69512
2,1.67659,1.2031,1.65588,2.81277,7.34862
3,1.66525,1.20252,1.64383,5.1775,9.68938
4,1.67673,1.20303,1.6439,1.19883,5.72277
5,1.67604,1.20374,1.6798,1.56742,6.12729
6,1.6764,1.20319,1.64384,2.0047,6.52841
7,1.68776,1.20403,1.64367,1.19724,5.73298
8,1.67622,1.20348,1.65594,1.87146,6.40734
9,1.66369,1.20406,1.64383,2.29194,6.80372
10,1.68809,1.20358,1.6438,1.18146,5.7172
11,1.67663,1.20302,1.65579,1.56081,6.09648
12,1.67595,1.20375,1.66783,1.94937,6.49717
13,1.6882,1.20352,1.6438,1.14764,5.68343
14,1.67674,1.22701,1.65581,1.50911,6.06895
15,1.66409,1.20374,1.64457,5.70464,10.2173
16,1.65155,1.20401,1.64388,1.16842,5.66814
17,1.67623,1.20342,1.656,1.53639,6.07229
18,1.67652,1.20316,1.66796,3.33079,7.8787
19,1.67598,1.20379,1.64388,1.14725,5.67118
20,1.67637,1.20326,1.65595,1.61582,6.15168
21,1.67581,1.20388,1.66797,5.69489,10.2428
22,1.67738,1.20223,1.64397,1.17083,5.69469
23,1.67687,1.20285,1.65595,2.0149,6.55084
24,1.6761,1.20355,1.64393,2.67238,7.19622
25,1.67578,1.20394,1.64384,1.16886,5.69269
26,1.67599,1.20397,1.65563,1.86924,6.40511
27,1.67628,1.20338,1.6439,3.00556,7.5294
28,1.6769,1.20285,1.64387,1.15117,5.67506
29,1.67645,1.20326,1.656,1.54334,6.07932
30,1.66452,1.20312,1.64384,1.93208,6.44383
31,1.68807,1.20364,1.66789,1.13526,5.69513
32,1.67739,1.2024,1.65565,1.5478,6.08352
33,1.67561,1.20401,1.64383,3.99524,8.51893
34,1.68945,1.20252,1.64364,1.17474,5.71061
35,1.67672,1.20317,1.65569,1.556,6.09186
36,1.67539,1.20361,1.64378,2.5735,7.09658
37,1.67748,1.20222,1.64382,1.14191,5.66574
38,1.67595,1.20375,1.65602,1.58918,6.12517
39,1.66428,1.20351,1.64388,5.70196,10.2139
40,1.6529,1.21471,1.64386,1.17529,5.68704
41,1.67642,1.2033,1.65587,1.63157,6.16744
42,1.66381,1.20403,1.65582,2.8082,7.33214
43,1.68819,1.20354,1.6439,1.19746,5.73338
44,1.67657,1.2033,1.67978,1.53174,6.09166
45,1.66401,1.2037,1.64391,2.27744,6.78931
46,1.67646,1.20328,1.64389,1.18769,5.71155
47,1.67563,1.20398,1.67988,1.60097,6.16074
48,1.67808,1.2016,1.64377,3.7995,8.32319
49,1.66475,1.20303,1.66779,1.13609,5.67194
50,1.67687,1.20267,1.65591,1.49826,6.03397
51,1.68865,1.20298,1.64387,2.77189,7.30772
52,1.67595,1.20371,1.64394,2.8721,7.39598
53,1.66435,1.2041,1.65522,1.60862,6.13259
54,1.67659,1.20299,1.66786,2.78497,7.33265
55,1.67624,1.20351,1.64386,1.18339,5.70727
56,1.67578,1.20393,1.65587,1.5587,6.09456
57,1.6762,1.20366,1.65566,3.7515,8.28731
58,1.67647,1.20331,1.64377,1.15684,5.68067
59,1.67595,1.20371,1.65605,1.55302,6.08901
60,1.67722,1.20237,1.67994,8.92038,13.4803
