
Iteration,Approach,Pickup,Transport,Insert,Total

Iteration,Approach,Pickup,Transport,Insert,Total
1,0.28819,1.28661,1.64374,3.15453,6.37331
2,1.76542,1.27031,1.6559,8.34085,13.0327
3,1.77245,1.2513,1.64383,5.43451,10.1023
4,1.71084,1.26501,1.64381,15.4453,20.0652
5,1.75197,1.24782,1.65572,11.5926,16.2483
6,1.74628,1.2535,1.64396,33.0377,37.6817
7,13.2056,1.25367,1.64396,3.4365,19.54
8,1.73157,1.2682,1.66768,7.95994,12.6277
9,1.77113,1.2645,1.64384,5.43276,10.1124
10,1.70786,1.26788,1.64396,23.3053,27.9252
11,1.7934,1.25433,1.65567,11.4661,16.1697
12,1.77155,1.26426,1.64386,32.4182,37.0982
13,2.20367,1.25223,1.64437,3.44324,8.54374
14,1.71922,1.24457,1.67978,8.0317,12.6755
15,1.77607,1.25967,1.64387,5.47639,10.1562
16,1.71796,1.25793,1.64377,15.4492,20.0691
17,1.74381,1.25589,1.65666,11.4444,16.101
18,1.74194,1.25792,1.6439,32.8262,37.4701
19,2.2349,1.25679,1.64395,3.42921,8.5651
20,1.73674,1.26298,1.65596,8.00584,12.6618
21,1.74931,1.25047,1.64379,5.4357,10.0795
22,1.71597,1.25962,1.64388,15.5404,20.1601
23,1.74645,1.26529,1.656,11.4715,16.1394
24,1.75409,1.26963,1.68001,32.4807,37.1847
25,2.25353,1.25015,1.64391,3.36767,8.51551
26,1.72977,1.26986,1.65588,7.53813,12.1939
27,1.75058,1.24922,1.64362,5.44911,10.0927
28,1.71316,1.23863,1.64373,14.9538,19.5495
29,1.73938,1.23626,1.65589,11.4709,16.1026
30,1.75149,1.24829,1.66786,32.395,37.0629

Iteration,Approach,Pickup,Transport,Insert,Total
1,0.293916,1.29266,1.64396,4.07434,7.30515
2,1.76249,1.28595,1.65519,12.4369,17.1408
3,1.74156,1.27032,1.64389,5.19889,9.85491
4,1.71343,1.23844,1.64386,5.24053,9.8365
5,1.74589,1.2537,1.65589,6.17341,10.8292
6,1.7355,1.26426,1.66779,5.06957,9.73734
7,1.71892,1.26881,1.64374,3.26739,7.89914
8,1.72909,1.26998,1.6559,12.1311,16.7864
9,1.76953,1.25415,1.64381,5.1481,9.81587
10,1.71228,1.26353,1.64382,5.16157,9.78147
11,1.73427,1.2648,1.65595,6.07514,10.7304
12,1.76437,1.27134,1.64386,5.16689,9.84673
13,1.71936,1.26852,1.64382,4.20852,8.84051
14,1.74565,1.26602,1.65589,18.8323,23.5001
15,1.80409,1.25549,1.64388,5.15674,9.86047
16,1.71986,1.26792,1.64374,5.25706,9.88884
17,1.7344,1.26542,1.65573,5.61472,10.2705
18,1.74395,1.26775,1.6439,5.15018,9.80601
19,1.72471,1.263,1.64389,4.23515,8.86703
20,1.73149,1.26746,1.65599,15.5016,20.1568
21,1.79041,1.26942,1.64386,5.18262,9.88657
22,1.71717,1.25773,1.64393,4.26551,8.88461
23,1.73164,1.2682,1.65573,6.129,10.7849
24,1.74128,1.27042,1.64386,5.15673,9.81254
25,1.71701,1.26986,1.64395,5.15048,9.78156
26,1.72348,1.26424,1.65581,15.4811,20.1249
27,1.79174,1.26801,1.64462,5.18532,9.88999
28,1.72718,1.22451,1.64381,4.23982,8.83562
29,1.7319,1.23173,1.65665,6.12142,10.7419
30,1.70927,1.20635,1.6447,5.18494,9.74549
31,1.72216,1.26564,1.64372,5.11262,9.74442
32,1.73174,1.26799,1.6558,15.4905,20.1463
33,1.79706,1.26275,1.64384,5.1593,9.8632
34,1.72661,1.26099,1.64391,3.8079,8.43969
35,1.73288,1.26667,1.65575,6.07057,10.7261
36,1.74174,1.26984,1.64385,5.1721,9.8278
37,1.70827,1.25546,1.64389,5.16669,9.77458
38,1.72896,1.27062,1.65586,15.4954,20.151
39,1.78911,1.27069,1.64379,5.16038,9.86422
40,1.71882,1.26901,1.64375,5.12516,9.757
41,1.73244,1.26727,1.65584,11.7028,16.3586
42,1.7915,1.26818,1.64392,5.17382,9.87771
43,1.71518,1.27261,1.64387,5.12513,9.75706
44,1.73256,1.26708,1.65578,11.758,16.4137
45,1.77948,1.26823,1.64386,5.23085,9.92268
46,1.72022,1.26746,1.64456,5.12392,9.75644
47,1.73584,1.25179,1.65605,7.58411,12.228
48,1.75236,1.27124,1.64386,5.18693,9.85463
49,1.71643,1.25925,1.64477,5.0928,9.71353
50,1.73385,1.25393,1.65594,11.8232,16.4672
51,4.22772,1.26851,1.64317,5.23138,12.3711
52,1.71962,1.26801,1.64386,5.06101,9.69279
53,1.6851,1.20674,1.65595,7.56029,12.1083
54,1.76093,1.2387,1.64377,5.24331,9.88703
55,1.72256,1.26593,1.64319,5.11782,9.74977
56,1.73641,1.26343,1.65586,7.56971,12.2257
57,1.74984,1.23798,1.6438,5.2272,9.85907
58,1.71954,1.24415,1.64387,5.15083,9.75864
59,1.73306,1.26658,1.65589,7.5754,12.2312
60,1.75391,1.26979,1.64388,5.26322,9.93109
