ORIENTATION 1 - TEST RUN,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,0.516873,1.20342,1.66784,1.71267,5.10107
2,1.67569,1.21598,1.65582,3.51289,8.06066
3,1.67616,1.2036,1.66779,5.55947,10.1074
4,1.67592,1.20386,1.64385,1.808,6.33191
5,1.70054,1.20314,1.65595,2.00183,6.56175
6,1.67667,1.20303,1.64373,6.17617,10.6999
7,1.64024,1.2035,1.65585,3.18873,7.6886
8,1.67605,1.2037,1.65583,3.39321,7.92907
9,1.6764,1.20338,1.64389,5.53982,10.0638
10,1.676,1.20367,1.64397,1.54533,6.06925
11,1.67664,1.20305,1.65582,2.11967,6.65545
12,1.67492,1.20392,1.66791,5.58525,10.1323
13,1.66459,1.20325,1.64381,3.19966,7.7116
14,1.6759,1.20382,1.65596,3.39223,7.92815
15,1.67735,1.2024,1.64376,5.59971,10.1235
16,1.66404,1.20378,1.64399,3.24825,7.76026
17,1.67667,1.2032,1.65594,1.99979,6.53585
18,1.67602,1.20368,1.64397,5.51626,10.0402
19,1.67678,1.20291,1.64382,1.54382,6.06759
20,1.67703,1.20264,1.65573,3.41036,7.94603
21,1.67664,1.2032,1.64374,5.5459,10.0697
22,1.67641,1.20345,1.6438,3.22453,7.74848
23,1.6768,1.20304,1.65582,2.13295,6.66883
24,1.67617,1.20355,1.64389,5.57046,10.0943
25,1.67595,1.21582,1.64378,3.16402,7.69983
26,1.67615,1.20358,1.67985,3.48454,8.04439
27,1.67582,1.20399,1.64388,5.51709,10.0411
28,1.66437,1.20332,1.64392,3.19976,7.71164
29,1.67612,1.20363,1.65593,2.11425,6.6502
30,1.67638,1.20343,1.64383,5.49472,10.0186
31,1.67603,1.20378,1.64379,3.17744,7.70129
32,1.67645,1.20334,1.65597,3.45754,7.99358
33,1.67604,1.20355,1.65593,6.16047,10.6962
34,1.63965,1.2041,1.64389,1.51978,6.00772
35,1.67589,1.20372,1.65578,1.98934,6.52501
36,1.67647,1.20328,1.66782,5.5398,10.0876
37,1.67617,1.20347,1.6439,3.23635,7.76017
38,1.67556,1.20412,1.65592,2.90422,7.44009
39,1.69995,1.20372,1.64386,5.58235,10.1301
40,1.67575,1.20409,1.64386,1.54516,6.06914
41,1.67624,1.20349,1.65596,2.11423,6.65019
42,1.67645,1.20328,1.66782,5.56094,10.1088
43,1.67609,1.20363,1.64385,3.24838,7.77222
44,1.67566,1.2042,1.65579,3.38611,7.92205
45,1.67711,1.2026,1.64399,6.20632,10.7302
46,1.67578,1.20396,1.64382,1.57025,6.09406
47,1.67627,1.20351,1.65591,2.15745,6.69342
48,1.67677,1.21481,1.64388,6.05713,10.5928
49,1.64008,1.2036,1.64397,3.25964,7.74757
50,1.67686,1.20303,1.65572,4.07107,8.60697
51,1.71313,1.2027,1.64395,6.182,10.7421
52,1.64048,1.20315,1.66793,1.55605,6.06788
53,1.67723,1.20249,1.6558,2.11644,6.65223
54,1.6766,1.20318,1.644,5.50468,10.0287
55,1.67712,1.20341,1.64314,3.20056,7.72451
56,1.6766,1.20309,1.65592,3.08569,7.62155
57,1.69995,1.20372,1.64389,5.60927,10.1571
58,1.67568,1.20407,1.64384,1.55598,6.07985
59,1.676,1.20369,1.66789,1.99246,6.54032
60,1.67658,1.20325,1.64383,5.55999,10.0839
