
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.88947,1.20338,1.65597,16.9998,21.7489
2,1.68681,1.20429,1.65572,22.7851,27.3322
3,1.70032,1.20329,1.64394,18.3227,22.8705
4,1.63981,1.22797,1.64378,21.2041,25.7159
5,1.71228,1.20343,1.65586,15.2837,19.8555
6,1.68817,1.20345,1.64383,18.7148,23.2505
7,1.62873,1.20304,1.64389,17.119,21.595
8,1.68776,1.20381,1.65589,22.7545,27.3023
9,1.70056,1.2031,1.64389,18.37,22.9178
10,1.62896,1.20344,1.67938,21.2593,25.7713
11,1.70173,1.20193,1.65587,15.4799,20.0398
12,1.67672,1.20305,1.64386,14.64,19.1639
