
Iteration,Approach,Pickup,Transport,Insert,Total
1,0.386372,1.20173,1.63179,1.4692,4.68938
2,1.66437,1.2033,1.66777,1.68256,6.21829
3,1.66373,1.20411,1.63362,4.74099,9.24271
4,1.66521,1.20254,1.63189,1.1174,5.61729
5,1.66475,1.20297,1.64387,1.66274,6.17464
6,1.66389,1.20372,1.63181,4.67027,9.16999
7,1.68851,1.20325,1.63176,4.99592,9.51966
8,1.68815,1.20342,1.6439,1.69751,6.23327
9,1.66455,1.20319,1.63186,4.33284,8.83279
10,1.68807,1.20375,1.63174,4.75457,9.27841
11,1.6636,1.20408,1.6438,3.3279,7.83961
12,1.66418,1.20346,1.63188,4.67357,9.17336
13,1.66592,1.202,1.63167,4.6831,9.18296
14,1.66458,1.2031,1.64386,2.76548,7.27731
15,1.66386,1.20392,1.63194,4.74407,9.24408
16,1.66432,1.20334,1.63196,4.71766,9.21753
17,1.66496,1.20284,1.64378,1.68017,6.19203
18,1.66444,1.20523,1.62996,4.94554,9.44542
19,1.66384,1.20382,1.63182,1.14548,5.64523
20,1.66416,1.20336,1.64392,2.79358,7.3053
21,1.66393,1.20377,1.63191,4.80112,9.30103
22,1.66427,1.20341,1.63187,4.64575,9.14554
23,1.66385,1.20384,1.64388,1.68821,6.20003
24,1.66536,1.20239,1.63177,4.79348,9.29329
25,1.66387,1.20379,1.6319,4.67034,9.17018
26,1.66462,1.20306,1.64387,3.32784,7.83968
27,1.66411,1.20361,1.63186,4.76718,9.26702
28,1.66456,1.20318,1.63197,4.67277,9.17274
29,1.66432,1.20353,1.64383,1.37225,5.88419
30,1.6886,1.20303,1.63192,4.71673,9.24056
31,1.6641,1.20376,1.63177,4.74127,9.24119
32,1.66476,1.20289,1.64379,3.43113,7.94288
33,1.66408,1.20342,1.6319,4.77935,9.27902
34,1.66357,1.20414,1.63195,4.74479,9.24472
35,1.6654,1.20238,1.64373,1.36944,5.8812
36,1.66463,1.2031,1.6559,4.70489,9.22877
37,1.66531,1.20248,1.65568,1.44356,5.96732
38,1.66464,1.20306,1.64376,3.40389,7.91564
39,1.66422,1.20366,1.63177,4.82736,9.32728
40,1.66361,1.204,1.63202,4.69673,9.19666
41,1.66427,1.20339,1.64392,1.37454,5.88636
42,1.6636,1.20411,1.65586,4.70493,9.22879
43,1.66411,1.20365,1.65583,1.69654,6.2204
44,1.66369,1.204,1.64391,3.4019,7.91377
45,1.66421,1.20352,1.63174,4.70752,9.20725
46,1.66361,1.20407,1.63174,4.75619,9.25603
47,1.66424,1.20354,1.6439,1.40638,5.91833
48,1.66465,1.20305,1.65588,4.28596,8.80984
49,1.67615,1.20352,1.632,1.98241,6.49436
50,1.66462,1.20306,1.64377,1.70296,6.2147
51,1.66514,1.20263,1.63185,4.64539,9.1453
52,1.66564,1.20205,1.63206,4.70863,9.20866
53,1.66435,1.20331,1.6439,1.35949,5.87133
54,1.67664,1.20296,1.63189,4.3229,8.83469
55,1.67601,1.2036,1.63185,1.11938,5.63111
56,1.66453,1.20319,1.64398,2.00474,6.51672
57,1.66391,1.20394,1.63173,4.74105,9.24092
58,1.69069,1.20105,1.63186,4.80069,9.32456
59,1.66403,1.20369,1.64402,1.37018,5.88219
60,1.68655,1.2035,1.63166,4.37172,8.89371
