
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.84656,1.33222,1.6318,1.68372,6.49459
2,1.80889,1.3339,1.64382,2.56715,7.35406
3,1.81026,1.33356,1.63175,4.72459,9.50044
4,1.82395,1.33181,1.63181,1.25615,6.044
5,1.79223,1.33944,1.64384,4.38155,9.15736
6,1.79598,1.3359,1.63183,5.16016,9.92416
7,1.76934,1.33814,1.63192,2.4858,7.22549
8,1.79404,1.32561,1.64395,9.99719,14.761
9,1.86684,1.33591,1.63174,2.18512,7.01989
10,1.80724,1.33663,1.63162,8.68955,13.4653
11,1.82514,1.33049,1.64381,2.45849,7.25821
12,1.78173,1.33805,1.63178,22.6351,27.3869
13,2.12834,1.33934,1.63298,4.63254,9.73348
14,1.79284,1.33879,1.64384,2.41219,7.18794
15,1.78142,1.33839,1.63183,1.71573,6.4676
16,1.80971,1.35798,1.63181,1.26807,6.06785
17,1.80419,1.33959,1.64382,2.09243,6.88032
18,1.79757,1.33403,1.63186,6.60101,11.3648
19,1.75627,1.36331,1.63184,1.65759,6.40929
20,1.81776,1.33801,1.644,4.09388,8.89394
21,1.82036,1.33543,1.64393,7.26946,12.0695
22,1.78096,1.33858,1.63196,1.27631,6.02808
23,1.79327,1.33829,1.67976,2.42584,7.23744
24,1.80895,1.33468,1.6318,16.6464,21.4221
25,1.71227,1.32339,1.63191,2.5485,7.21635
26,1.80582,1.33794,1.64402,2.48479,7.27283
27,1.78417,1.33548,1.63196,5.28139,10.0333
28,1.78071,1.327,1.63185,1.30414,6.04396
29,1.79221,1.32758,1.66778,2.08544,6.87329
30,1.80457,1.33914,1.63186,4.04786,8.82372
31,1.7801,1.32761,1.63183,3.04042,7.78024
32,1.79568,1.33594,1.66792,6.30396,11.1038
33,1.82832,1.33944,1.63191,13.2015,18.0015
34,1.71142,1.33621,1.63184,1.2557,5.93545
35,1.80484,1.33903,1.64379,11.4121,16.2
36,1.86778,1.33574,1.63182,4.10821,8.94385
37,1.81032,1.33323,1.63183,1.68975,6.46541
38,1.78095,1.33895,1.66775,4.86107,9.64901
39,1.80744,1.33619,1.65592,5.90877,10.7086
40,1.79309,1.33844,1.63391,3.0865,7.8522
41,1.79264,1.33911,1.66782,3.40387,8.20372
42,1.79619,1.33546,1.63186,8.33956,13.1033
43,1.77074,1.33674,1.63205,1.26019,5.99994
44,1.79631,1.33537,1.64382,29.5707,34.3465
45,2.54824,1.33927,1.63192,8.08877,13.6085
46,1.7733,1.33433,1.63186,1.24555,5.98533
47,1.79365,1.33912,1.65484,2.09,6.87786
48,1.7801,1.35161,1.63179,6.6444,11.4082
49,1.76881,1.33893,1.6318,1.276,6.01581
50,1.79211,1.33958,1.64376,11.6406,16.4163
51,1.85212,1.33948,1.63185,12.6736,17.4973
52,1.70933,1.33845,1.63446,1.2859,5.96842
53,1.79372,1.33799,1.65594,4.58792,9.37584
54,1.79337,1.33846,1.65572,9.55064,14.3385
55,1.75712,1.32655,1.65588,1.25241,5.99223
56,1.82857,1.33904,1.6439,4.28786,9.09964
57,1.80523,1.33857,1.63178,6.4944,11.2703
58,1.7808,1.32684,1.63177,1.27213,6.01183
59,1.79235,1.34131,1.64188,22.8156,27.5914
60,2.08395,1.32372,1.63183,9.80019,14.84
