
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.80581,1.32632,1.63183,1.27765,6.04189
2,1.8047,1.33891,1.66786,1.264,6.07574
3,1.80715,1.3384,1.6301,1.28234,6.05828
4,1.80442,1.33915,1.6319,1.26168,6.03744
5,1.79285,1.33872,1.6561,1.2492,6.03703
6,1.8213,1.33445,1.63187,1.26457,6.05246
7,1.80871,1.32304,1.63187,1.28086,6.04475
8,1.79198,1.32774,1.66784,1.25731,6.04516
9,1.80459,1.33929,1.63167,1.26385,6.03968
10,1.80481,1.33888,1.63181,1.29806,6.07385
11,1.79323,1.33845,1.66777,1.2486,6.04833
12,1.80755,1.33604,1.63191,1.26192,6.03767
13,1.8041,1.3397,1.6319,1.29821,6.0742
14,1.79639,1.33532,1.66782,1.24962,6.04944
15,1.83794,1.34176,1.63197,1.24013,6.05208
16,1.80814,1.33563,1.6317,1.27243,6.04816
17,1.79252,1.33936,1.66767,1.23779,6.0376
18,1.82188,1.33379,1.63177,1.25022,6.03792
19,1.80715,1.33642,1.63372,1.24565,6.02333
20,1.79284,1.32694,1.66794,1.26192,6.04992
21,1.80415,1.33962,1.63194,1.28018,6.05621
22,1.81644,1.33919,1.63185,1.29386,6.08162
23,1.79392,1.33791,1.66768,1.24918,6.04901
24,1.80829,1.3354,1.63188,1.26852,6.04441
25,1.80873,1.33503,1.63176,1.292,6.06781
26,1.80792,1.32357,1.6559,1.24842,6.03609
27,1.80545,1.33834,1.63175,1.23776,6.01357
28,1.80682,1.3368,1.63181,1.28124,6.05697
29,1.79314,1.33847,1.66787,1.27646,6.07622
30,1.8197,1.33606,1.63186,1.24781,6.03571
31,1.80399,1.33956,1.63302,1.25918,6.03603
32,1.7923,1.3393,1.66781,1.24473,6.04442
33,1.8057,1.33793,1.63197,1.26096,6.03684
34,1.80417,1.33967,1.63173,1.26248,6.03834
35,1.79355,1.33811,1.66794,1.25983,6.0597
36,1.80504,1.33985,1.63093,1.26104,6.03718
37,1.80523,1.33834,1.63368,1.27286,6.0504
38,1.79322,1.33603,1.66892,1.24891,6.04736
39,1.81223,1.33165,1.63171,1.25849,6.03435
40,1.80539,1.33828,1.63174,1.27185,6.04754
41,1.79586,1.33577,1.66777,1.28027,6.08003
42,1.80515,1.33842,1.63175,1.26261,6.0382
43,1.80467,1.33902,1.63193,1.28785,6.06374
44,1.79296,1.33858,1.65605,1.26422,6.05209
45,1.80556,1.34007,1.63002,1.26975,6.04568
46,1.80482,1.33875,1.63196,1.27214,6.04791
47,1.79816,1.3214,1.6558,1.24664,6.02227
48,1.80745,1.33618,1.63192,1.27985,6.05561
49,1.80404,1.32759,1.63189,1.28527,6.04908
50,1.79538,1.33626,1.66784,1.26466,6.06444
51,1.80485,1.33885,1.63179,1.2502,6.02596
52,1.80432,1.33959,1.63178,1.27445,6.05041
53,1.79359,1.33809,1.66791,1.24984,6.04972
54,1.82401,1.33167,1.63197,1.24017,6.02812
55,1.80436,1.33937,1.64368,1.2617,6.04939
56,1.79678,1.33489,1.66788,1.26407,6.0639
57,1.81118,1.33245,1.63182,1.26952,6.04525
58,1.80756,1.33605,1.6319,1.28586,6.06165
59,1.79298,1.31482,1.66774,1.25728,6.0331
60,1.80524,1.33839,1.6318,1.25053,6.02624
