Iteration,Approach,Pickup,Transport,Insert,Total
1,0.289566,1.30153,1.64579,2.61454,5.8517
2,1.7818,1.30226,1.65635,2.3832,7.12388
3,1.77015,1.30168,1.64419,5.54107,10.2574
4,1.74568,1.28982,1.64393,1.25504,5.93477
5,1.76829,1.2897,1.67981,5.37642,10.1145
6,1.77074,1.32503,1.64371,5.44211,10.1819
7,1.78442,1.31121,1.64382,1.19976,5.93949
8,1.76677,1.30505,1.65585,2.40689,7.13481
9,1.75039,1.3164,1.64397,5.52748,10.2385
10,1.7718,1.29974,1.64568,1.2223,5.93981
11,1.7941,1.30128,1.65591,5.33369,10.0852
12,1.78381,1.28778,1.65287,5.50812,10.2329
13,1.74322,1.30422,1.64386,1.23884,5.93043
14,1.76774,1.30605,1.67555,2.36719,7.11681
15,1.79545,1.30033,1.64495,5.46059,10.2016
16,1.7689,1.30263,1.64547,1.23174,5.94903
17,1.78145,1.29018,1.6559,5.40972,10.1375
18,1.78111,1.30251,1.6457,5.45465,10.1843
19,1.75765,1.30215,1.64368,1.21697,5.92073
20,1.75798,1.30198,1.67961,2.37024,7.11009
21,1.75484,1.32878,1.63196,5.35809,10.074
22,1.74655,1.27719,1.63182,1.19583,5.85167
23,1.76976,1.28994,1.64373,5.25512,9.95882
24,1.75648,1.29119,1.63185,5.40573,10.0855
25,1.71905,1.29265,1.63186,1.21224,5.85609
26,1.74244,1.29313,1.6679,5.2438,9.94755
27,1.75706,1.30277,1.63192,5.38716,10.0792
28,1.73465,1.27699,1.63186,1.17485,5.81863
29,1.7691,1.27858,1.64388,5.25837,9.95021
30,1.7546,1.29312,1.63185,5.40694,10.0868
31,1.71926,1.29244,1.63189,1.20647,5.85035
32,1.74765,1.28998,1.666,5.23192,9.93583
33,1.7523,1.30558,1.63187,5.39948,10.0895
34,1.74702,1.2887,1.63203,1.17803,5.84607
35,1.76927,1.2903,1.64405,5.24541,9.94931
36,1.76687,1.2928,1.63201,5.43007,10.122
37,1.71852,1.29308,1.63189,1.21884,5.86261
38,1.74298,1.29286,1.66778,5.31816,10.0221
39,1.75958,1.3121,1.63201,5.3868,10.0907
40,1.74631,1.28941,1.6319,1.17846,5.84636
41,1.76647,1.29306,1.64394,5.25486,9.95862
42,1.76131,1.28645,1.6319,5.39446,10.0744
43,1.73378,1.28991,1.64384,1.2001,5.86792
44,1.74516,1.29051,1.66798,5.22042,9.92435
45,1.75484,1.31689,1.63183,5.3821,10.0859
46,1.7346,1.28918,1.63378,1.18781,5.84565
47,1.76602,1.29186,1.64377,5.25815,9.9601
48,1.7574,1.2903,1.63175,5.35985,10.0396
49,1.71808,1.28171,1.63183,1.21834,5.85024
50,1.74632,1.28945,1.66768,5.26377,9.96747
51,1.75404,1.32957,1.63376,5.34444,10.0621
52,1.73369,1.29003,1.63193,1.20884,5.86474
53,1.76586,1.2697,1.64389,5.26233,9.94204
54,1.75873,1.28891,1.63382,5.3921,10.0738
55,1.72042,1.28945,1.63203,1.20242,5.84459
56,1.74267,1.29301,1.65783,5.2961,9.98987
57,1.75432,1.31739,1.63179,5.39065,10.0944
58,1.73465,1.27699,1.63186,1.17485,5.81863
59,1.7691,1.27858,1.64388,5.25837,9.95021
60,1.7546,1.29312,1.63185,5.40694,10.0868
,,,,,
1,1.75484,1.32878,1.63196,5.35809,10.074
2,1.74655,1.27719,1.63182,1.19583,5.85167
3,1.76976,1.28994,1.64373,5.25512,9.95882
4,1.75648,1.29119,1.63185,5.40573,10.0855
5,1.71905,1.29265,1.63186,1.21224,5.85609
6,1.74244,1.29313,1.6679,5.2438,9.94755
7,1.75706,1.30277,1.63192,5.38716,10.0792
8,1.73465,1.27699,1.63186,1.17485,5.81863
9,1.7691,1.27858,1.64388,5.25837,9.95021
10,1.7546,1.29312,1.63185,5.40694,10.0868
11,1.71926,1.29244,1.63189,1.20647,5.85035
12,1.74765,1.28998,1.666,5.23192,9.93583
13,1.7523,1.30558,1.63187,5.39948,10.0895
14,1.74702,1.2887,1.63203,1.17803,5.84607
15,1.76927,1.2903,1.64405,5.24541,9.94931
16,1.76687,1.2928,1.63201,5.43007,10.122
17,1.71852,1.29308,1.63189,1.21884,5.86261
18,1.74298,1.29286,1.66778,5.31816,10.0221
19,1.75958,1.3121,1.63201,5.3868,10.0907
20,1.74631,1.28941,1.6319,1.17846,5.84636
21,1.76647,1.29306,1.64394,5.25486,9.95862
22,1.76131,1.28645,1.6319,5.39446,10.0744
23,1.73378,1.28991,1.64384,1.2001,5.86792
24,1.74516,1.29051,1.66798,5.22042,9.92435
25,1.75484,1.31689,1.63183,5.3821,10.0859
26,1.7346,1.28918,1.63378,1.18781,5.84565
27,1.76602,1.29186,1.64377,5.25815,9.9601
28,1.7574,1.2903,1.63175,5.35985,10.0396
29,1.71808,1.28171,1.63183,1.21834,5.85024
30,1.74632,1.28945,1.66768,5.26377,9.96747
31,1.75404,1.32957,1.63376,5.34444,10.0621
32,1.73369,1.29003,1.63193,1.20884,5.86474
33,1.76586,1.2697,1.64389,5.26233,9.94204
34,1.75873,1.28891,1.63382,5.3921,10.0738
35,1.72042,1.28945,1.63203,1.20242,5.84459
36,1.74267,1.29301,1.65783,5.2961,9.98987
37,1.75432,1.31739,1.63179,5.39065,10.0944
