
Iteration,Approach,Pickup,Transport,Insert,Total
1,0.337334,1.33565,1.63191,1.24917,4.55435
2,1.81931,1.33627,1.64385,1.29167,6.09137
3,1.7928,1.33897,1.6318,4.58807,9.35193
4,1.79228,1.33952,1.63165,1.27365,6.03738
5,1.79375,1.33802,1.66775,1.24408,6.04389
6,1.80517,1.33953,1.64278,1.2495,6.03728
7,1.8045,1.32718,1.63183,1.27686,6.04065
8,1.79785,1.32173,1.66788,1.26122,6.04896
9,1.80929,1.33437,1.63182,4.58059,9.35636
10,1.81998,1.33582,1.63189,1.27009,6.05808
11,1.79325,1.33841,1.64383,1.28162,6.0574
12,1.79365,1.33805,1.65577,1.25194,6.0397
13,1.83205,1.33564,1.63193,1.26727,6.06715
14,1.7936,1.33801,1.64397,1.27192,6.04779
15,1.79308,1.33854,1.65581,4.5845,9.37222
16,1.79266,1.33897,1.6559,1.2639,6.05169
17,1.82954,1.33558,1.64385,1.2643,6.07355
18,1.79349,1.33815,1.63191,1.27578,6.03962
19,1.81735,1.33583,1.65598,1.24908,6.05853
20,1.8222,1.33339,1.64387,1.25062,6.05037
21,1.79366,1.33801,1.63182,4.62196,9.38573
22,1.79323,1.33918,1.64319,1.28845,6.06433
23,1.79272,1.33906,1.66774,1.262,6.06179
24,1.80513,1.33889,1.63171,1.24537,6.02135
25,1.80829,1.33532,1.63179,1.28878,6.06453
26,1.79289,1.32694,1.66779,1.24907,6.03698
27,1.82019,1.33541,1.63187,4.59852,9.38627
28,1.80577,1.33778,1.63194,1.26423,6.04001
29,1.7972,1.33451,1.64374,1.29356,6.06929
30,1.79358,1.33822,1.65579,1.2498,6.03767
31,1.83191,1.33574,1.63203,1.24005,6.04003
32,1.7925,1.35129,1.64389,1.29355,6.08153
33,1.79276,1.33901,1.65574,4.61199,9.39979
34,1.8043,1.33929,1.65588,1.25263,6.05239
35,1.8218,1.33581,1.64199,1.23495,6.03479
36,1.79314,1.3386,1.63193,1.27228,6.03624
37,1.80558,1.33816,1.64573,1.24996,6.03971
38,1.82095,1.33495,1.65567,1.24525,6.05711
39,1.79331,1.33905,1.64333,4.5734,9.34937
40,1.79291,1.33886,1.63168,1.27326,6.037
41,1.79218,1.33941,1.66792,1.28651,6.0863
42,1.80567,1.34062,1.64133,1.24794,6.03585
43,1.80489,1.33882,1.63174,1.28836,6.0641
44,1.79537,1.33628,1.66796,1.25166,6.05157
45,1.80785,1.33582,1.63193,4.65211,9.428
46,1.83211,1.33516,1.63189,1.2677,6.06715
47,1.79573,1.33589,1.64391,1.28491,6.06073
48,1.79305,1.32649,1.65604,1.26836,6.04423
49,1.82165,1.3341,1.6319,1.26991,6.05784
50,1.79703,1.3347,1.64386,1.27627,6.05213
51,1.79243,1.33949,1.65566,4.61179,9.39962
52,1.79295,1.32684,1.65578,1.26218,6.03804
53,1.81933,1.33646,1.64377,1.25254,6.05238
54,1.79376,1.33798,1.63185,1.27591,6.03978
55,1.8062,1.3354,1.65782,1.26258,6.06225
56,1.82257,1.3331,1.64392,1.25179,6.05167
57,1.79602,1.33574,1.63186,4.5973,9.36119
58,1.79253,1.33921,1.63174,1.27382,6.03759
59,1.7928,1.33868,1.66791,1.25919,6.05886
60,1.8074,1.33637,1.63187,1.25652,6.03245
