RANDOM,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.76145,1.30391,1.65598,23.2518,27.9734
2,1.77863,1.34076,1.63192,135.845,140.596
3,1.83041,1.31295,1.6438,8.72909,13.5165
4,1.71822,1.34104,1.64389,2.47189,7.17533
5,1.77095,1.3007,1.63236,21.0656,25.7699
6,1.76941,1.31405,1.63209,11.9396,16.6555
7,1.74548,1.31479,1.65637,21.1776,25.8945
8,1.80589,1.30158,1.6437,13.0814,17.8329
9,1.79796,1.30959,1.64384,13.1193,17.871
10,1.77112,1.31228,1.65587,2.15157,6.89114
11,1.77157,1.31186,1.63188,47.0089,51.7245
12,1.77168,1.31206,1.64393,21.6587,26.3867
13,1.74696,1.30051,1.64387,3.04851,7.74013
14,1.79351,1.30192,1.64375,23.261,28.0004
15,1.81719,1.30228,1.64387,47.1084,51.872
16,1.74748,1.31224,1.64414,4.91353,9.61761
17,1.76875,1.30273,1.63322,8.1658,12.8708
18,1.83036,1.30088,1.64399,25.3398,30.1153
19,1.76858,1.30033,1.64394,8.4544,13.1675
20,1.76464,1.30628,1.6538,19.1415,23.8665
21,1.81764,1.30186,1.63282,45.7399,50.4924
22,1.76909,1.30196,1.64386,1.63206,6.34711
23,1.77418,1.30957,1.64387,4.65544,9.3832
24,1.78167,1.30192,1.64397,9.51097,14.2387
25,1.74859,1.29908,1.64393,13.9368,18.6286
26,1.79777,1.30988,1.64517,48.8697,53.6227
27,1.80551,1.30204,1.64375,19.5299,24.2815
28,1.76999,1.30221,1.64321,3.04332,7.75903
29,1.80551,1.31399,1.64385,1.62788,6.39149
30,1.78098,1.30241,1.64393,10.6134,15.341
31,1.73675,1.31061,1.65584,2.61832,7.3218
32,1.80035,1.30725,1.63177,15.3428,20.0824
33,1.80352,1.30507,1.64285,2.62487,7.3766
34,1.75705,1.30243,1.64383,11.4544,16.1579
35,1.781,1.29059,1.65587,2.64027,7.36801
36,1.81448,1.29303,1.65588,5.17183,9.93549
37,1.73111,1.30458,1.65567,6.74242,11.4341
38,1.7826,1.33672,1.64385,3.60023,8.36369
39,1.76738,1.30386,1.64227,6.81067,11.5245
40,1.74511,1.33747,1.66859,6.00669,10.7582
41,1.80574,1.30177,1.63189,4.64306,9.38274
42,1.80721,1.32423,1.64375,14.3587,19.1342
43,1.74532,1.32618,1.65569,17.5789,22.3063
44,1.80567,1.30185,1.63184,6.235,10.9747
45,1.78135,1.30218,1.63346,7.76314,12.4804
46,1.78704,1.30827,1.64392,2.70054,7.44008
47,1.76957,1.30204,1.63183,4.6499,9.35363
48,1.78215,1.30137,1.64378,7.59164,12.3192
49,1.75981,1.31156,1.65583,39.8863,44.6138
50,1.81051,1.33287,1.6447,1.65031,6.43857
51,1.7939,1.32698,1.6423,16.0194,20.7829
52,1.77315,1.31028,1.63302,6.57445,11.2912
53,1.80223,1.3047,1.61987,27.8942,32.6212
54,1.80791,1.29967,1.64374,2.57237,7.32397
55,1.75531,1.30422,1.6438,5.12363,9.82722
56,1.76682,1.3046,1.63188,6.3792,11.0827
57,1.78347,1.30017,1.66794,48.1986,52.9504
58,1.76163,1.31002,1.65559,4.08516,8.81269
59,1.78214,1.33745,1.64376,8.22457,12.9882
60,1.77881,1.30472,1.63178,21.7692,26.4848
