Iteration,Approach,Pickup,Transport,Insert,Total
1,1.74306,1.30477,1.64582,1.94932,6.64325
2,1.75518,1.30431,1.64529,2.55031,7.25537
3,1.79453,1.31466,1.64259,1.89061,6.64268
4,1.74009,1.30464,1.66773,1.59047,6.30322
5,1.78441,1.31289,1.63021,2.7458,7.47359
6,1.7698,1.28964,1.64446,1.89172,6.59591
7,1.75574,1.33724,1.64396,2.31177,7.04899
8,1.7548,1.29279,1.63176,2.61132,7.29098
9,1.79319,1.30238,1.64388,1.91571,6.65544
10,1.74253,1.30501,1.64394,1.89401,6.58578
11,1.75792,1.32668,1.6428,1.90348,6.63118
12,1.77813,1.30523,1.6439,1.62978,6.35734
13,1.75687,1.30248,1.66812,4.2793,9.00704
14,1.75255,1.29202,1.64411,1.91573,6.60469
15,1.80496,1.30079,1.63084,1.59132,6.3282
16,1.75815,1.28935,1.64374,2.59882,7.29034
17,1.76968,1.33692,1.63184,1.85513,6.59386
18,1.7811,1.30239,1.64388,1.96359,6.69126
19,1.74761,1.30009,1.64412,3.88471,8.57681
20,1.76998,1.30175,1.65566,1.90346,6.63114
21,1.79644,1.29921,1.64385,1.59187,6.33166
22,1.75788,1.30175,1.64384,1.90631,6.61006
23,1.75726,1.32795,1.63025,1.92771,6.64345
24,1.77862,1.30483,1.64407,1.91799,6.64583
25,1.7421,1.30549,1.66771,3.67072,8.3863
26,1.77106,1.28793,1.63196,1.60295,6.29417
27,1.75706,1.30244,1.65604,1.56748,6.28331
28,1.77449,1.30915,1.65579,1.57886,6.31858
29,1.77085,1.30082,1.64368,1.63038,6.34601
30,1.7552,1.30475,1.66746,1.59173,6.31942
31,1.78361,1.29992,1.65594,3.77506,8.51482
32,1.77019,1.30336,1.62986,1.91566,6.61937
33,1.78163,1.30192,1.63197,1.60299,6.31881
34,1.75692,1.29067,1.66782,1.61043,6.32613
35,1.79829,1.29701,1.64391,1.56796,6.30745
36,1.75476,1.29264,1.64675,1.95152,6.64593
37,1.7563,1.30127,1.66834,1.61923,6.34542
38,1.79858,1.29702,1.63192,2.7199,7.44771
39,1.76881,1.30241,1.64407,1.93041,6.64599
40,1.75843,1.3372,1.64391,1.57878,6.31861
41,1.78197,1.30168,1.64389,1.59028,6.31811
42,1.77037,1.30119,1.644,1.60269,6.31855
43,1.7426,1.30489,1.66788,1.58311,6.29878
44,1.79604,1.30118,1.64215,1.58059,6.32023
45,1.77155,1.30008,1.6439,1.61482,6.33064
46,1.75781,1.3257,1.66787,2.26431,7.01599
47,1.79631,1.29975,1.63148,1.87958,6.60743
48,1.76968,1.28984,1.64388,5.25623,9.95993
49,1.72222,1.28923,1.64391,1.60575,6.26139
50,1.7548,1.2928,1.64395,1.90708,6.59893
51,1.78416,1.31147,1.64384,1.59051,6.33026
52,1.75754,1.29011,1.64545,3.3783,8.0717
53,1.79597,1.29037,1.62899,1.90552,6.62114
54,1.75305,1.29204,1.64635,1.61343,6.30519
55,1.74784,1.29971,1.66791,3.06029,7.77605
56,1.78236,1.31312,1.63183,1.91489,6.64248
57,1.77218,1.31181,1.64286,1.91625,6.64339
58,1.76812,1.31535,1.64394,5.14563,9.87332
59,1.7568,1.29064,1.63205,1.93916,6.61894
60,1.75709,1.3517,1.64303,1.60711,6.35925
,,,,,6.86913
,,,,,0.726469269
