RANDOM,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,0.341728,1.302,1.6559,1.61798,4.91789
2,1.75332,1.30461,1.64388,3.17537,7.87747
3,1.75452,1.2938,1.64329,6.06786,10.7598
4,1.70622,1.30545,1.65581,1.56662,6.23439
5,1.78262,1.28911,1.6334,3.80931,8.51472
6,1.78107,1.31438,1.63174,4.54268,9.27032
7,1.74464,1.32682,1.65595,2.98612,7.71383
8,1.77012,1.30144,1.64383,8.35974,13.0754
9,1.83004,1.30194,1.64361,2.8034,7.57928
10,1.75841,1.30118,1.65596,1.95168,6.66751
11,1.75472,1.31682,1.61996,4.51821,9.20999
12,1.79435,1.30113,1.64401,1.88974,6.62951
13,1.75773,1.30174,1.64381,2.02331,6.72688
14,1.75424,1.32816,1.64412,2.38361,7.11043
15,1.78173,1.30194,1.64387,2.79104,7.51886
16,1.79501,1.30034,1.64381,2.36275,7.10219
17,1.76685,1.3046,1.62915,3.46316,8.16405
18,1.80822,1.28768,1.64353,1.61066,6.35037
19,1.75758,1.31418,1.64547,4.3004,9.01791
20,1.7939,1.30137,1.63199,3.94257,8.67011
21,1.79464,1.30097,1.63186,4.58012,9.30787
22,1.77229,1.29926,1.64473,1.96289,6.67946
23,1.76816,1.28988,1.64383,5.32723,10.0294
24,1.76631,1.29326,1.64388,1.59475,6.29848
25,1.75868,1.30094,1.66783,3.18615,7.91389
26,1.75486,1.30442,1.63182,1.59056,6.28196
27,1.7688,1.30194,1.65753,3.65839,8.38695
28,1.75817,1.30153,1.64525,2.76512,7.47036
29,1.79561,1.30006,1.64384,1.94998,6.68978
30,1.78186,1.302,1.64324,1.57964,6.30697
31,1.74262,1.30528,1.68,1.57962,6.30779
32,1.7838,1.28941,1.63019,1.99923,6.70291
33,1.76629,1.29314,1.64405,1.9397,6.64346
34,1.75714,1.3259,1.64379,2.78417,7.51129
35,1.77016,1.28944,1.63184,2.3586,7.05033
36,1.79569,1.30003,1.65743,2.76533,7.51877
37,1.75706,1.29038,1.65591,3.49963,8.20329
38,1.8107,1.30892,1.6319,1.56699,6.31879
39,1.76995,1.30164,1.64375,1.99843,6.71405
40,1.74082,1.30517,1.65591,1.57974,6.28193
41,1.79483,1.30075,1.63184,5.8754,10.6031
42,1.80254,1.30709,1.64237,1.61534,6.36762
43,1.75895,1.28913,1.67937,1.5813,6.30903
44,1.79598,1.28731,1.6327,5.74301,10.4593
45,1.7948,1.28858,1.63193,11.5386,16.2542
46,1.69695,1.29059,1.64384,5.49055,10.1222
47,1.76605,1.29298,1.63189,1.93801,6.62922
48,1.77197,1.32358,1.64381,1.57939,6.31903
49,1.78592,1.30923,1.65585,6.42686,11.1782
50,1.77201,1.3003,1.64317,1.59132,6.30709
51,1.77028,1.28897,1.65608,1.56692,6.28249
52,1.78387,1.28769,1.63188,2.36324,7.06697
53,1.7543,1.30522,1.61993,12.3309,17.0107
54,1.88936,1.30384,1.64255,9.79756,14.6336
55,1.72225,1.28733,1.64389,5.77874,10.4325
56,1.8019,1.30567,1.63182,8.89146,13.6311
57,1.84168,1.28993,1.64379,4.47314,9.24883
58,1.73728,1.29825,1.65588,2.43172,7.12342
59,1.76982,1.28982,1.64372,2.32335,7.027
60,1.79615,1.29926,1.63187,1.9427,6.67028
,,,,,8.223408667
,,,,,6.304513399
