
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.02186,1.3363,1.64373,1.28585,5.28803
2,1.79582,1.33587,1.6559,1.2822,6.07007
3,1.79334,1.33642,1.66792,1.27149,6.06947
4,1.81966,1.35011,1.64287,1.26798,6.08088
5,1.81508,1.33968,1.65689,1.28137,6.0933
6,1.79962,1.33401,1.66609,1.25265,6.05265
7,1.82191,1.33393,1.64387,1.28008,6.08006
8,1.79932,1.3323,1.65602,1.28842,6.07633
9,1.79676,1.33507,1.66791,1.276,6.07596
10,1.83498,1.33269,1.63191,1.25724,6.05711
11,1.79352,1.33922,1.65499,1.28162,6.06965
12,1.79587,1.33594,1.65585,1.25912,6.04705
13,1.83817,1.32959,1.63194,1.2764,6.07637
14,1.80674,1.33605,1.65603,1.27483,6.07396
15,1.79711,1.33367,1.65683,1.26943,6.0573
16,1.84043,1.32744,1.64379,1.24776,6.0597
17,1.81584,1.33986,1.65507,1.69594,6.50698
18,1.79738,1.35854,1.64379,1.25954,6.05953
19,1.8245,1.33111,1.64405,1.24772,6.04765
20,1.80508,1.33874,1.65589,1.2923,6.0923
21,1.79549,1.33626,1.66801,1.71163,6.51166
22,1.83783,1.32991,1.64385,1.24613,6.05801
23,1.79838,1.33353,1.66781,2.14056,6.94057
24,1.79564,1.33596,1.64394,1.71203,6.48786
25,1.80812,1.33556,1.63193,1.30941,6.08529
26,1.79751,1.33423,1.6678,5.84605,10.6459
27,1.83417,1.3336,1.64381,1.70148,6.51324
28,1.8207,1.33497,1.63194,1.27895,6.06683
29,1.79209,1.33966,1.67987,1.2733,6.08516
30,1.82742,1.32827,1.6459,1.69173,6.49358
31,1.80688,1.33688,1.64593,1.69415,6.48411
32,1.7973,1.35944,1.65576,2.04771,6.86046
33,1.80385,1.3399,1.65494,1.72599,6.52492
34,1.80722,1.34857,1.63197,2.9804,7.76846
35,1.78461,1.33598,1.667,1.77392,6.56173
36,1.8071,1.34962,1.65489,2.64442,7.4563
37,1.79367,1.339,1.64399,2.43898,7.21587
38,1.82002,1.33572,1.65584,1.27537,6.08716
39,1.79047,1.3394,1.65674,6.11889,10.9058
40,1.7721,1.33556,1.65589,7.96757,12.7314
41,1.8439,1.33679,1.65585,7.51242,12.3492
42,1.83361,1.33408,1.65578,5.09611,9.91985
43,1.7963,1.33616,1.64393,3.53575,8.31245
44,1.80698,1.33586,1.65601,6.01221,10.8113
45,1.84865,1.33121,1.645,1.8998,6.72486
46,1.80785,1.33778,1.64199,4.01617,8.80408
47,1.83753,1.33005,1.65594,2.69787,7.52167
48,1.79502,1.33754,1.66792,3.11144,7.9122
49,1.79563,1.33608,1.64583,3.25003,8.0279
50,1.84821,1.33074,1.65577,4.7035,9.5385
51,1.82375,1.33302,1.6549,4.00411,8.81603
52,1.81216,1.33233,1.64398,4.59859,9.38733
53,1.81994,1.33585,1.64381,5.92728,10.7271
54,1.8346,1.33326,1.64377,2.33992,7.15184
55,1.79602,1.35028,1.64147,1.66427,6.45231
56,1.82335,1.33238,1.65577,4.02184,8.83362
57,1.83402,1.33383,1.64479,8.07348,12.8864
58,1.78768,1.33205,1.66775,1.99213,6.77991
59,1.81029,1.33353,1.66888,2.23358,7.04653
60,1.79571,1.33616,1.65583,2.0119,6.79988
61,1.81591,1.35159,1.65596,4.01234,8.8361
62,1.81886,1.32497,1.65504,2.08389,6.88305
63,1.79317,1.33872,1.64474,9.10364,13.8806
64,1.78281,1.33679,1.65589,3.34924,8.12501
65,1.81059,1.3333,1.65579,17.3032,22.1032
66,1.99895,1.33583,1.64384,1.73222,6.71108
67,1.80733,1.36135,1.6559,5.64076,10.4656
68,1.83297,1.33389,1.65579,5.09831,9.92121
69,1.84439,1.33146,1.65359,6.19992,11.0296
70,1.81024,1.33352,1.65579,6.88773,11.6876
71,1.80997,1.33371,1.66878,3.51944,8.33218
72,1.80463,1.34005,1.64308,3.9338,8.72184
73,1.81925,1.33661,1.63379,4.63859,9.42847
74,1.82884,1.33886,1.66796,5.47617,10.3121
75,1.79345,1.33925,1.65505,5.53173,10.3197
76,1.79821,1.33265,1.64393,2.18434,6.95939
77,1.79558,1.34918,1.66684,8.45604,13.2679
78,1.83436,1.33335,1.66799,1.92263,6.75859
79,1.82388,1.32998,1.65696,1.72299,6.53406
80,1.78818,1.33956,1.65587,2.66646,7.45036
81,1.81667,1.33892,1.64414,2.20987,7.00986
82,1.80703,1.33663,1.65581,2.00847,6.80822
83,1.79745,1.35813,1.65597,2.12405,6.93587
84,1.78499,1.33482,1.64464,4.42548,9.19024
85,1.7976,1.33408,1.63186,1.71196,6.47579
86,1.80907,1.37171,1.66699,4.60626,9.45431
87,1.82063,1.3581,1.63185,7.30021,12.111
88,1.77362,1.33425,1.63092,3.00576,7.74484
89,1.83489,1.33279,1.65599,5.7382,10.5621
90,1.84956,1.33016,1.64481,3.57102,8.39582
91,1.79307,1.3626,1.64394,2.0364,6.83629
92,1.81855,1.33618,1.64399,6.94387,11.7429
93,1.81935,1.36046,1.65583,8.41977,13.2557
94,1.76866,1.34867,1.63178,2.63247,7.38186
95,1.81362,1.33015,1.64376,3.04702,7.83483
96,1.82511,1.33166,1.64285,5.22845,10.0284
97,1.81572,1.34005,1.65602,2.09585,6.90794
98,1.79324,1.33644,1.65608,4.23338,9.01943
99,1.81765,1.33897,1.65501,2.94399,7.75591
100,1.8322,1.3354,1.63284,2.03563,6.83635
101,1.81171,1.33201,1.66788,5.42012,10.232
102,1.80738,1.33629,1.63297,6.73869,11.5156
103,1.768,1.35178,1.63274,4.19663,8.94933
104,1.7967,1.34725,1.65582,3.19685,7.99691
105,1.80619,1.33763,1.64287,5.33549,10.1225
106,1.79682,1.33603,1.64275,2.49319,7.26902
107,1.82225,1.33443,1.66695,2.62458,7.4485
108,1.79368,1.33892,1.65587,14.6915,19.4802
109,2.13386,1.3338,1.63367,2.15647,7.25809
110,1.79346,1.33841,1.65587,3.81271,8.60074
111,1.80495,1.33885,1.63166,6.37247,11.1482

Iteration,Approach,Pickup,Transport,Insert,Total
112,0.388917,1.33568,1.63178,1.72441,5.08103
113,1.80863,1.35822,1.66793,9.94399,14.7791
114,1.79738,1.3583,1.64386,3.69387,8.4937
115,1.80831,1.33742,1.64188,2.20437,6.99228
116,1.83553,1.33316,1.65489,4.21686,9.04069
117,1.82019,1.35872,1.65588,13.3856,18.2207
118,1.77522,1.33266,1.65589,2.40951,7.17352
119,1.81958,1.33598,1.66889,6.25915,11.0839
120,1.80029,1.33132,1.64402,2.11651,6.89243
121,1.80778,1.33606,1.63172,9.11628,13.8921
122,1.79555,1.36021,1.65589,10.6441,15.456
123,1.84856,1.33114,1.63195,3.64485,8.45673
124,1.8111,1.35661,1.65588,10.6536,15.4775
125,1.83616,1.33161,1.65598,2.15736,6.98138
126,1.8096,1.33506,1.64301,11.086,15.874
127,1.78152,1.33912,1.63097,7.46795,12.2198
128,1.81024,1.34558,1.65671,11.3008,16.1136
129,1.84021,1.32754,1.64395,2.17348,6.98546
130,1.80966,1.33403,1.63188,3.15603,7.93185
131,1.82224,1.33365,1.64383,9.03264,13.8326
132,1.79599,1.35961,1.66803,4.04439,8.8683
133,1.79376,1.34808,1.65587,3.98798,8.78597
134,1.81919,1.33748,1.67904,4.97243,9.80838
135,1.80978,1.37094,1.63178,2.24721,7.05999
136,1.80732,1.33743,1.63107,3.91051,8.68661
137,1.82799,1.33994,1.66784,8.75626,13.5923
138,1.79563,1.36013,1.65685,13.3783,18.1912
139,2.09744,1.35584,1.63196,4.71415,9.79967
140,1.79544,1.36123,1.65499,2.78858,7.60053
141,1.79988,1.33183,1.65583,4.48829,9.27612
142,1.79555,1.33608,1.63199,3.58877,8.35263
143,1.81207,1.33173,1.64406,7.1643,11.9524
144,1.8098,1.33395,1.63181,4.93218,9.70801
145,1.80848,1.33535,1.6327,2.5188,7.29561
146,1.82188,1.33387,1.64391,3.88812,8.68808
147,1.78043,1.38736,1.63268,4.13496,8.93571
148,1.79598,1.33772,1.65395,9.84039,14.6283
149,1.80698,1.33687,1.69198,3.01106,7.84715
150,1.79635,1.33538,1.65582,4.21171,8.99953
151,1.81889,1.33585,1.63195,8.48024,13.2672
152,1.82283,1.33394,1.64394,6.81721,11.6182
153,1.81855,1.33801,1.64307,4.07494,8.87483
154,1.82399,1.33264,1.63183,1.70745,6.49618
155,1.80846,1.33616,1.66692,8.70894,13.5208
156,1.82229,1.33345,1.65588,4.70567,9.51756
157,1.79788,1.34677,1.65503,2.06808,6.86806
158,1.80581,1.35935,1.64399,11.6518,16.4612
159,1.84433,1.33544,1.64384,9.24884,14.0727
160,1.80525,1.33851,1.64383,6.73167,11.5196
161,1.80497,1.33976,1.67892,7.1613,11.9852
162,1.84868,1.33009,1.64383,4.91003,9.73289
