Iteration,Approach,Pickup,Transport,Insert,Total,
1,1.82486,1.33338,1.6319,1.71658,6.50701,
2,1.82094,1.3588,1.65502,1.277,6.11206,
3,1.81211,1.34356,1.64405,14.1937,18.9936,
4,2.22039,1.33244,1.64278,1.2606,6.4565,
5,1.82084,1.33401,1.644,1.98798,6.78712,
6,1.79624,1.35959,1.64377,1.6885,6.4884,
7,1.83163,1.33608,1.63194,1.28188,6.08178,
8,1.80702,1.33681,1.64468,6.25338,11.0423,
9,1.80682,1.33613,1.6679,20.9194,25.7305,
10,2.95137,1.33232,1.63087,3.62375,9.5386,
11,1.81785,1.34988,1.64387,4.91624,9.72811,
12,1.80746,1.337,1.64389,1.28496,6.07358,
13,1.82099,1.33495,1.63083,19.8086,24.5956,
14,1.84341,1.33548,1.6559,13.443,18.278,
15,2.08997,1.3306,1.64287,11.3636,16.4274,
16,1.86792,1.33659,1.64289,4.15447,9.00217,
17,1.82171,1.3341,1.64387,2.02987,6.82984,
18,1.79599,1.33578,1.63186,6.20043,10.9643,
19,1.79688,1.33496,1.65496,4.69609,9.48318,
20,1.81126,1.34537,1.6688,2.84182,7.66754,
21,1.80699,1.33591,1.64387,14.7224,19.5095,
22,2.28696,1.33668,1.63274,3.1755,8.43217,
23,1.83649,1.33122,1.65583,2.83189,7.65575,
24,1.80806,1.33549,1.64313,1.76627,6.55325,
25,1.8075,1.36028,1.62076,3.9449,8.73373,
26,1.80692,1.33678,1.66972,12.8757,17.6894,
27,1.9052,1.33461,1.63391,4.00437,8.87839,
28,1.82179,1.33403,1.61991,14.0692,18.8452,
29,1.84576,1.33491,1.667,4.18006,9.02802,
30,1.82048,1.33534,1.64383,1.7137,6.51363,
31,1.80784,1.33588,1.6319,6.91624,11.6922,
32,1.80859,1.34706,1.65499,8.20597,13.0169,
33,1.8195,1.3362,1.66708,19.787,24.6101,
34,2.81186,1.33975,1.61991,10.1885,15.9603,
35,1.8239,1.33207,1.6556,6.97143,11.7833,
36,1.84581,1.33301,1.64486,5.57612,10.4001,
37,1.77136,1.33654,1.63362,7.85389,12.5957,
38,1.82202,1.3337,1.64488,3.55338,8.35428,
39,1.82156,1.37019,1.64486,4.4129,9.2498,
40,1.7962,1.36037,1.643,8.89572,13.6956,
41,1.81609,1.3387,1.66891,7.23948,12.0635,
42,1.83165,1.33609,1.64388,5.632,10.4439,
43,1.78435,1.33745,1.6308,2.28874,7.04165,
44,1.79581,1.33685,1.65586,16.2185,21.0073,
45,2.10609,1.34865,1.63176,5.99259,11.0794,
46,1.77092,1.33679,1.65492,14.9394,19.7023,
47,1.81904,1.33765,1.66697,4.18531,9.00927,
48,1.81671,1.33913,1.656,3.70485,8.51697,
49,1.78417,1.33362,1.63275,9.95871,14.7096,
