SOBOL,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,0.698728,1.30169,1.64382,1.60234,5.24688
2,1.76973,1.3022,1.66774,4.12381,8.86377
3,1.76909,1.30264,1.66795,1.56619,6.30615
4,1.79356,1.29,1.64391,3.94585,8.67359
5,1.7821,1.33807,1.65538,2.23828,7.01412
6,1.77041,1.30133,1.64378,4.03972,8.75553
7,1.78505,1.28968,1.64091,2.28728,7.00322
8,1.77247,1.33519,1.65595,4.10368,8.86759
9,1.76617,1.30561,1.65583,3.98026,8.70817
10,1.76951,1.30209,1.64385,3.48591,8.20164
11,1.78304,1.28872,1.65566,4.06234,8.79006
12,1.79677,1.29912,1.64382,4.01187,8.75186
13,1.77029,1.31332,1.64388,1.22448,5.95226
14,1.79555,1.31213,1.65563,4.03099,8.7946
15,1.78309,1.30045,1.64403,1.21425,5.94212
16,1.77869,1.29306,1.64401,1.24164,5.95769
17,1.7699,1.3019,1.6558,1.23614,5.96403
18,1.77036,1.28937,1.66787,4.03756,8.76544
19,1.74173,1.30477,1.64401,3.01192,7.70272
20,1.78118,1.30236,1.65589,1.23055,5.97027
21,1.77161,1.30002,1.64375,1.23002,5.94568
22,1.78312,1.28874,1.64385,1.2552,5.9712
23,1.77144,1.28828,1.67984,2.20564,6.94548
24,1.79394,1.28974,1.65586,2.23513,6.97495
25,1.78116,1.29033,1.64384,2.27462,6.99024
26,1.76144,1.33397,1.65579,4.09811,8.84961
27,1.7672,1.3045,1.66756,1.21977,5.95928
28,1.80773,1.28791,1.6439,6.11296,10.8528
29,1.80632,1.30313,1.65399,4.07559,8.83931
30,1.79288,1.29077,1.64379,6.5933,11.321
31,1.7216,1.30259,1.66748,1.20972,5.90164
32,1.78423,1.30155,1.65405,1.21831,5.95839
33,1.78143,1.29036,1.64374,3.97466,8.69048
34,1.78188,1.30173,1.64382,3.52625,8.25396
35,1.77247,1.29916,1.67985,3.95579,8.70755
36,1.75787,1.30073,1.64385,2.25628,6.95902
37,1.78233,1.32535,1.64386,3.07171,7.8235
38,1.75775,1.30188,1.65578,2.64621,7.36192
39,1.79844,1.29726,1.64386,4.03765,8.7775
40,1.77006,1.33778,1.6437,3.05325,7.80508
41,1.75233,1.30529,1.65581,4.03973,8.75346
42,1.79006,1.30554,1.64383,2.63433,7.37405
43,1.78443,1.32328,1.64681,3.90265,8.65745
44,1.78081,1.30274,1.68168,4.02041,8.78592
45,1.76657,1.29305,1.65577,1.20291,5.91855
46,1.80787,1.2878,1.64386,3.94221,8.68203
47,1.76646,1.3052,1.65579,1.21875,5.9465
48,1.79897,1.30886,1.64386,23.3811,28.1331
49,1.74634,1.30121,1.64392,3.50972,8.20149
50,1.76894,1.29069,1.67991,2.63729,7.37712
51,1.7715,1.28814,1.64388,2.67077,7.37457
52,1.76999,1.31368,1.63195,1.81408,6.52996
53,1.79322,1.31442,1.65694,1.22851,5.99338
54,1.76984,1.30197,1.64371,1.23109,5.94689
55,1.78118,1.29042,1.65599,1.21732,5.9452
56,1.78143,1.29015,1.65591,1.23179,5.95953
57,1.76884,1.30283,1.64387,3.97204,8.68786
58,1.7865,1.29714,1.6319,2.2297,6.94552
59,1.77197,1.29978,1.65591,1.23905,5.96699
60,1.75428,1.30529,1.65708,2.62138,7.33833
