Iteration,Approach,Pickup,Transport,Insert,Total
1,1.7672,1.30493,1.65588,2.59809,7.32638
2,1.79434,1.30156,1.65566,13.6269,18.3787
3,1.81778,1.2864,1.64367,6.13793,10.886
4,1.74297,1.30459,1.64389,1.24839,5.94013
5,1.77035,1.28922,1.65592,13.41,18.1258
6,1.80558,1.30213,1.63183,18.2762,23.016
7,1.74587,1.28976,1.64396,6.42323,11.1031
8,1.76968,1.31483,1.65507,7.14313,11.883
9,1.7913,1.30428,1.65597,5.54173,10.2936
10,1.7462,1.28961,1.64579,5.3685,10.0504
11,1.76677,1.30509,1.65576,13.4813,18.2092
12,1.80778,1.29996,1.64386,1.86203,6.61391
13,1.78223,1.30161,1.64375,6.92568,11.6535
14,1.81887,1.30068,1.65593,7.19536,11.9712
15,1.81974,1.28804,1.67972,14.9114,19.6992
16,1.79578,1.2878,1.63186,18.0665,22.7823
17,1.7783,1.31925,1.65409,3.36559,8.11751
18,1.768,1.30393,1.66847,5.63851,10.3792
19,1.77139,1.28831,1.63187,1.88372,6.57557
20,1.76894,1.29071,1.65594,5.61328,10.3292
21,1.79372,1.29026,1.6559,15.331,20.0712
22,1.76682,1.28093,1.64396,5.41402,10.106
23,1.78249,1.29935,1.66858,5.59902,10.3498
24,1.79618,1.31168,1.6559,5.59133,10.3554
25,1.74683,1.30104,1.63193,6.98906,11.6691
26,1.81057,1.29818,1.65501,3.44179,8.20583
27,1.78215,1.30174,1.65594,21.4025,26.1426
28,1.77355,1.34616,1.64386,5.38494,10.1488
29,1.81014,1.29739,1.65599,42.4253,47.1891
30,1.83395,1.30982,1.64389,3.39125,8.17917
31,1.75963,1.3002,1.65584,2.83886,7.55482
32,1.76986,1.30184,1.65583,12.7334,17.4612
33,1.79349,1.30574,1.63991,9.10343,13.8429
34,1.78246,1.29984,1.64407,12.1152,16.8418
35,1.76973,1.3379,1.65593,15.2574,20.0212
36,1.75518,1.29964,1.67285,4.5294,9.25736
37,1.7596,1.28817,1.66783,4.86202,9.57791
38,1.78163,1.30158,1.65581,1.21852,5.95783
39,1.7967,1.29893,1.63215,1.85988,6.58788
40,1.78198,1.2898,1.64393,5.39929,10.1153
41,1.77524,1.29204,1.6559,2.40596,7.12942
42,1.75524,1.30461,1.6439,1.8914,6.59542
43,1.77169,1.28817,1.64381,9.97404,14.678
44,1.78144,1.29033,1.65588,4.6157,9.34362
45,1.79205,1.30161,1.63374,21.5441,26.2717
46,1.75957,1.30019,1.64395,5.45684,10.1608
47,1.78229,1.30149,1.65583,1.2275,5.96739
48,1.76964,1.30205,1.66796,3.34686,8.08679
49,1.76911,1.29352,1.64094,12.6617,17.3656
50,1.78532,1.31069,1.65574,8.88763,13.6397
51,1.77009,1.30171,1.66792,2.83821,7.57821
52,1.76932,1.30227,1.63188,4.40386,9.10762
53,1.76591,1.28157,1.6319,21.3058,25.9854
54,1.77059,1.28914,1.64387,5.62194,10.3258
55,1.71811,1.29355,1.63176,5.41165,10.0554
56,1.78302,1.30072,1.65601,4.53024,9.27025
57,1.78168,1.30217,1.65604,15.251,19.9912
58,1.75477,1.30498,1.65603,9.74696,14.463
59,1.76955,1.3023,1.65593,4.59172,9.31979
60,1.79424,1.30158,1.64371,2.87056,7.61039
