
Iteration,Approach,Pickup,Transport,Insert,Total

Iteration,Approach,Pickup,Transport,Insert,Total
1,0.722968,1.31636,1.64378,1.22969,4.91308
2,1.76969,1.30198,1.67984,1.57207,6.32386
3,1.78132,1.30251,1.64384,1.21858,5.94653
4,1.79169,1.30414,1.64419,1.2785,6.0188
5,1.77108,1.30069,1.65588,1.21833,5.94627
6,1.77057,1.30313,1.6662,2.74257,7.48275
7,1.78199,1.30187,1.64383,1.25017,5.97816
8,1.75537,1.2924,1.65596,1.56545,6.26946
9,1.75969,1.30007,1.65575,1.58906,6.30487
10,1.8071,1.30092,1.6436,1.21444,5.96635
11,1.79333,1.30218,1.6559,1.23286,5.98455
12,1.76985,1.28991,1.64382,1.2262,5.93002
13,1.76637,1.29346,1.66783,1.20257,5.93052
14,1.79269,1.28803,1.65586,1.22996,5.9668
15,1.76615,1.30576,1.64387,1.25428,5.97035
16,1.78247,1.30131,1.6442,1.24137,5.96964
17,1.75781,1.30214,1.67976,1.2139,5.95387
18,1.79506,1.28865,1.6439,1.59036,6.31825
19,1.78168,1.30217,1.6438,1.21384,5.94177
20,1.76895,1.29087,1.67979,1.21522,5.95513
21,1.79627,1.28736,1.64389,1.21766,5.94546
22,1.79572,1.28802,1.64389,1.24193,5.96985
23,1.76999,1.28972,1.65818,1.226,5.94417
24,1.75281,1.30516,1.66791,1.2028,5.92897
25,1.80785,1.30005,1.64373,1.20609,5.95798
26,1.76623,1.30564,1.65594,1.56534,6.29344
27,1.76968,1.30229,1.66771,1.2139,5.95387
28,1.80798,1.29958,1.64394,1.23036,5.98215
29,1.76723,1.29244,1.65591,1.24155,5.95741
30,1.7548,1.3052,1.64389,1.22586,5.93003
31,1.78093,1.30271,1.66765,1.21549,5.96707
32,1.79655,1.30017,1.6552,1.20852,5.96072
33,1.77892,1.29284,1.64396,2.66608,7.38209
34,1.78245,1.30136,1.64384,1.21571,5.9436
35,1.77866,1.29344,1.65559,1.22689,5.95486
36,1.76905,1.30263,1.64386,1.55436,6.27018
37,1.78152,1.29026,1.66793,1.21472,5.95473
38,1.78189,1.30225,1.65547,1.95022,6.69011
39,1.7693,1.30235,1.64396,1.61563,6.33152
40,1.76685,1.30498,1.66791,1.21396,5.95395
41,1.79622,1.29963,1.65592,1.2153,5.96739
42,1.77583,1.2959,1.64123,1.25574,5.96893
43,1.76915,1.29072,1.64399,3.72221,8.42636
44,1.79548,1.28827,1.65589,2.65971,7.39963
45,1.76985,1.30182,1.64384,1.23022,5.94601
46,1.78334,1.3011,1.66735,1.2034,5.95548
47,1.78171,1.29011,1.656,1.20373,5.9318
48,1.77793,1.29374,1.6439,4.06129,8.77715
49,1.78359,1.31217,1.64392,1.21771,5.95768
50,1.76596,1.30575,1.65586,1.54227,6.27013
51,1.77039,1.30126,1.6575,1.22818,5.95761
52,1.80975,1.31,1.63211,1.20175,5.9539
53,1.76613,1.30561,1.65595,1.22634,5.95431
54,1.75459,1.29335,1.64372,1.23071,5.92266
55,1.76695,1.30488,1.65579,1.21924,5.94716
56,1.78323,1.30056,1.65572,1.20552,5.94531
57,1.78259,1.30109,1.64426,1.64957,6.37778
58,1.7699,1.30177,1.64386,1.22434,5.94014
59,1.78441,1.29929,1.65584,1.20276,5.94257
60,1.78289,1.28887,1.64573,1.23723,5.955
