SOBOL,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.75509,1.31397,1.63186,1.16405,5.86527
2,1.76912,1.2906,1.63181,9.47065,14.1625
3,1.85622,1.28763,1.64388,1.16438,5.9524
4,1.7674,1.29226,1.63189,1.17774,5.86958
5,1.7697,1.28996,1.63187,4.72712,9.41894
6,1.77951,1.29232,1.6317,8.13608,12.8399
7,1.73538,1.28837,1.63371,5.07674,9.73456
8,1.786,1.28576,1.64387,2.71427,7.43015
9,1.75733,1.29041,1.65593,4.67967,9.38362
10,1.71994,1.29178,1.63239,3.20976,7.85412
11,1.78129,1.29034,1.63178,4.28382,8.98754
12,1.79599,1.28777,1.64386,2.26533,6.99324
13,1.74762,1.28838,1.63365,1.18588,5.85582
14,1.75498,1.29287,1.66794,1.18814,5.90421
15,1.75731,1.29051,1.65582,5.75462,10.4585
16,1.73098,1.29286,1.62001,1.872,6.51614
17,1.7573,1.29047,1.65679,5.25483,9.95968
18,1.78296,1.31274,1.64377,1.16336,5.90318
19,1.75532,1.29243,1.61983,1.17159,5.83946
20,1.78182,1.30194,1.63188,5.23817,9.95409
21,1.78148,1.29037,1.64382,9.21793,13.9339
22,1.69722,1.29046,1.63182,1.17857,5.79835
23,1.75566,1.29201,1.6459,1.17694,5.87077
24,1.74313,1.29282,1.66774,5.2705,9.97448
25,1.72167,1.31409,1.61992,1.78791,6.44386
26,1.77906,1.29265,1.63377,3.63651,8.34229
27,1.7796,1.29219,1.64401,1.1707,5.88677
28,1.76993,1.28979,1.63195,1.20014,5.89206
29,1.75845,1.28948,1.6439,1.18747,5.87959
30,1.74394,1.29002,1.65583,5.05112,9.74114
31,1.74832,1.29941,1.644,1.17556,5.8675
32,1.78379,1.28802,1.63185,5.34315,10.0471
33,1.80047,1.29533,1.64393,1.1516,5.89161
34,1.77,1.27782,1.63195,1.164,5.84399
35,1.75723,1.29071,1.63183,8.93969,13.6196
36,1.86601,1.28983,1.65581,4.67041,9.4822
37,1.73167,1.29212,1.63194,4.14592,8.8019
38,1.79421,1.28952,1.64391,1.50045,6.22838
39,1.74355,1.29218,1.64382,3.19193,7.87177
40,1.77203,1.28776,1.63174,1.16236,5.85417
41,1.77941,1.29225,1.63193,3.19178,7.89565
42,1.78588,1.29779,1.64384,3.20439,7.93214
43,1.74756,1.29021,1.65405,1.16366,5.85575
44,1.77193,1.28791,1.632,4.35003,9.04215
45,1.7943,1.28924,1.63188,5.16183,9.87752
46,1.76606,1.28173,1.63184,1.16434,5.84424
47,1.78529,1.29835,1.64387,1.19071,5.91848
48,1.74573,1.29001,1.64392,2.23799,6.91791
49,1.74322,1.31662,1.63175,4.57157,9.26344
50,1.76685,1.30489,1.64382,1.16417,5.87999
51,1.75823,1.2895,1.64392,1.42248,6.11441
52,1.74961,1.29829,1.61976,1.79988,6.46781
53,1.75502,1.29282,1.64382,8.89452,13.5865
54,1.8389,1.29278,1.66804,1.50313,6.30313
55,1.77137,1.28853,1.61974,1.17562,5.85554
56,1.7937,1.29004,1.64393,3.19191,7.91987
57,1.78513,1.29865,1.65582,5.74748,10.4873
58,1.72196,1.28995,1.64389,2.29408,6.95017
59,1.77403,1.29945,1.64202,2.65256,7.36833
60,1.71777,1.29088,1.64369,1.18833,5.84096
