Iteration,Approach,Pickup,Transport,Insert,Total,,,
1,0.338505,1.35144,1.61997,1.68156,4.99177,,,
2,1.81662,1.33905,1.63176,2.84819,7.63592,,,
3,1.82022,1.3236,1.64393,2.86041,7.64845,,,
4,1.79664,1.33509,1.61991,1.94395,6.69588,,,
5,1.79224,1.32771,1.64395,1.88826,6.65248,,,
6,1.80752,1.33636,1.64375,2.88299,7.6709,,,
7,1.80514,1.33887,1.63176,3.86443,8.64049,,,
8,1.79264,1.36314,1.61992,2.35396,7.12996,,,
9,1.79301,1.32673,1.644,4.3363,9.10032,,,
10,1.81674,1.3391,1.61997,2.36794,7.14404,,,
11,1.78119,1.3628,1.64401,1.90018,6.68873,,,
12,1.81736,1.33834,1.64384,3.34983,8.14966,,,
13,1.80487,1.33883,1.61987,1.90836,6.67224,,,
14,1.8053,1.32626,1.61995,5.31384,10.0656,,,
15,1.79692,1.33469,1.64389,2.8535,7.62929,,,
16,1.80457,1.33927,1.62009,1.91063,6.67486,,,
17,1.79196,1.32774,1.64398,1.89623,6.6602,,,
18,1.80844,1.35932,1.61987,3.88089,8.66882,,,
19,1.79292,1.35093,1.64399,3.85623,8.64437,,,
20,1.79265,1.33933,1.63187,4.34391,9.10805,,,
21,1.80407,1.31575,1.64386,4.32443,9.08841,,,
22,1.81775,1.32605,1.63203,3.78185,8.55792,,,
23,1.80717,1.33654,1.61989,2.81265,7.57653,,,
24,1.79573,1.33606,1.66797,5.33207,10.1321,,,
25,1.77133,1.34846,1.63183,2.37673,7.12863,,,
26,1.7939,1.31401,1.61987,2.4021,7.13017,,,
27,1.81914,1.3246,1.61982,3.88868,8.65253,,,
28,1.7927,1.36297,1.64397,6.68521,11.4851,,,
29,1.86693,1.32489,1.64482,3.8801,8.71696,,,
30,1.79323,1.35069,1.62005,4.34839,9.11264,,,
31,1.78167,1.33821,1.61993,2.8639,7.604,,,
32,1.79214,1.32764,1.64393,3.84286,8.60685,,,
33,1.82168,1.33431,1.65575,5.35309,10.1651,,,
34,1.76841,1.33939,1.63206,3.86859,8.60873,,,
35,1.81978,1.3358,1.64419,4.34614,9.14618,,,
36,1.78048,1.32728,1.64402,7.73284,12.4849,,,
37,1.75614,1.3276,1.6319,6.90468,11.6206,,,
38,1.80497,1.33883,1.64403,4.34823,9.13636,,,
39,1.79252,1.35149,1.6197,3.86388,8.62787,,,
40,1.79287,1.33891,1.64395,3.91424,8.69027,,,
