Iteration,Approach,Pickup,Transport,Insert,Total
1,0.370732,1.36344,1.61998,5.15059,8.50504
2,1.81883,1.35981,1.63197,3.8303,8.6412
3,1.80545,1.35042,1.64389,5.30683,10.1069
4,1.78105,1.32666,1.6199,1.93442,6.66234
5,1.79256,1.33933,1.65582,13.0643,17.8523
6,1.9056,1.33421,1.64386,10.7422,15.6262
7,1.75967,1.33624,1.62999,3.91379,8.64
8,1.80515,1.33865,1.61981,2.81653,7.58045
9,1.79257,1.3392,1.66783,10.9164,15.7162
10,1.73255,1.33907,1.61999,4.322,9.01391
11,1.80416,1.31559,1.64396,2.42041,7.18441
12,1.79263,1.33914,1.64388,16.0336,20.8095
13,1.74703,1.33583,1.64302,1.93606,6.66224
14,1.83216,1.32348,1.61995,5.2947,10.0706
15,1.8339,1.33372,1.64397,5.83344,10.6453
16,1.79676,1.33513,1.63197,2.39988,7.16403
17,1.79615,1.34761,1.64392,2.38047,7.16845
18,1.80664,1.33613,1.61999,4.31589,9.07892
19,1.80811,1.33567,1.64564,6.83077,11.6205
20,1.8179,1.33793,1.63191,6.84432,11.6324
21,1.81651,1.34103,1.6421,4.3639,9.16383
22,1.80415,1.32763,1.63185,3.86854,8.63247
23,1.82362,1.33214,1.61981,2.87309,7.64895
24,1.7953,1.33654,1.66794,5.32162,10.1217
25,1.76882,1.36291,1.63187,2.88038,7.6443
26,1.79244,1.32748,1.61985,2.83659,7.57666
27,1.82176,1.33395,1.61995,3.86517,8.64115
28,1.79345,1.36252,1.64389,28.5316,33.3317
29,1.83327,1.33434,1.64413,25.9396,30.7515
30,2.23614,1.33959,1.64391,4.35756,9.57748
31,1.78075,1.32705,1.61986,5.79619,10.5242
32,1.78027,1.3394,1.66792,4.32979,9.11766
33,1.78408,1.32637,1.66534,16.0939,20.8699
34,1.77318,1.32259,1.63191,21.6863,26.4143
35,1.84386,1.3359,1.64593,15.1887,20.0147
36,1.89115,1.32474,1.64382,8.28161,13.1416
37,1.75675,1.339,1.65595,21.6619,26.4139
38,1.85827,1.33338,1.64392,4.32792,9.16376
39,1.79507,1.33678,1.61994,3.85631,8.60838
40,1.79254,1.36316,1.61994,4.30797,9.0839
41,1.80419,1.33966,1.61991,3.84441,8.60846
42,1.80778,1.33611,1.63192,6.88919,11.6653
43,1.79235,1.3395,1.6198,10.604,15.356
44,1.79244,1.33941,1.63187,8.25797,13.022
45,1.83415,1.33378,1.61987,3.84453,8.63259
46,1.79273,1.35135,1.63168,8.2423,13.0183
47,1.80853,1.3232,1.64407,2.44975,7.22584
48,1.80508,1.33905,1.61961,10.3056,15.0696
49,1.75993,1.33386,1.63196,35.1404,39.8664
50,1.85218,1.36544,1.61986,14.0631,18.9008
51,1.87737,1.35038,1.64408,4.39271,9.26479
52,1.78298,1.33667,1.6439,13.5558,18.3196
53,1.81703,1.33863,1.64394,6.33255,11.1324
54,1.81971,1.33599,1.65585,11.4805,16.2924
55,1.72378,1.33597,1.63197,7.71335,12.4054
56,1.7814,1.32641,1.64392,11.215,15.967
57,1.84336,1.33633,1.64399,4.35976,9.18372
58,1.78102,1.33886,1.61977,4.3285,9.06842
59,1.82072,1.33524,1.63182,4.80399,9.59204
60,1.81612,1.33951,1.64398,22.2763,27.0762
61,2.1888,1.32699,1.63187,10.6776,15.8255
62,1.80492,1.32701,1.64392,11.1254,15.9016
63,1.85693,1.33499,1.6438,2.40416,7.24018
64,1.78026,1.3635,1.6439,13.12,17.908
65,1.80935,1.33457,1.65766,4.31877,9.12064
66,1.81693,1.33887,1.64419,8.30633,13.1066
67,1.75672,1.34003,1.6199,5.84721,10.5642
68,1.80747,1.33631,1.61992,5.35386,10.1179
69,1.84595,1.33374,1.64586,2.39435,7.22018
70,1.78455,1.32339,1.60784,7.34599,12.0621
71,1.80533,1.34105,1.66536,6.27965,11.0917
72,1.84094,1.33886,1.63187,2.42624,7.23819
73,1.7795,1.35046,1.61992,3.85366,8.60383
74,1.79289,1.3269,1.67985,4.38229,9.18221
75,1.80408,1.31525,1.65594,35.841,40.6166
76,3.19996,1.33584,1.6078,11.6287,17.7726
77,1.81801,1.33679,1.62199,22.632,27.4091
78,2.08679,1.3331,1.64393,11.4003,16.4644
79,1.73269,1.33915,1.60884,12.0474,16.7284
80,1.7927,1.33913,1.64385,14.2805,19.0565
81,1.87696,1.33893,1.64396,4.40415,9.2643
82,1.78041,1.32939,1.64195,112.5,117.252
83,3.17827,1.33352,1.63195,4.34853,10.4926
84,1.81778,1.33793,1.63195,22.5888,27.3768
85,2.27745,1.33436,1.6439,13.4382,18.6942
86,1.82454,1.33111,1.65599,4.35705,9.16898
87,1.79222,1.33962,1.64388,23.4683,28.2443
88,2.2609,1.33888,1.64405,3.37617,8.62029
89,1.82035,1.33552,1.61973,2.84674,7.62262
90,1.79584,1.33584,1.66794,5.37834,10.1783
91,1.76957,1.3503,1.63175,10.1783,14.9302
92,1.8043,1.32735,1.61991,12.6402,17.392
93,1.85357,1.33811,1.65596,21.7196,26.5676
94,2.19212,1.33553,1.62,4.84155,9.98949
95,1.78079,1.33903,1.64407,22.5597,27.3238
96,2.06949,1.33839,1.60775,18.7574,23.7734
97,1.86488,1.32693,1.61988,4.33229,9.14427
98,1.80845,1.3472,1.61987,17.7765,22.5523
99,1.91593,1.33603,1.62167,4.41835,9.29227
100,1.7802,1.33947,1.63196,1.29165,6.04358
,,,,,
Iteration,Approach,Pickup,Transport,Insert,Total
1,1.82818,1.33328,1.64398,1.25256,6.05829
2,1.79576,1.33601,1.65594,1.27589,6.06385
3,1.79607,1.33556,1.66777,1.23842,6.0381
4,1.83343,1.33415,1.64385,2.8418,7.65353
5,1.79504,1.33685,1.65575,1.91219,6.70011
6,1.79639,1.34723,1.65588,3.29768,8.09745
7,1.79596,1.32373,1.64391,2.81218,7.57608
8,1.80441,1.33922,1.65591,1.25868,6.05851
9,1.79369,1.33774,1.65606,1.92892,6.7167
10,1.8052,1.35062,1.64376,1.90648,6.70634
11,1.81766,1.33807,1.65576,3.30798,8.11976
12,1.81905,1.33648,1.644,4.31239,9.1122
13,1.79375,1.36193,1.63188,1.88894,6.67678
14,1.81726,1.33852,1.65585,1.93036,6.74229
15,1.7957,1.33618,1.6438,1.90087,6.6768
16,1.83079,1.33672,1.644,2.82108,7.63286
17,1.83647,1.33128,1.65594,19.8827,24.7067
18,1.96894,1.33089,1.6438,2.81818,7.7621
19,1.81931,1.33626,1.64393,8.13962,12.9394
20,1.81729,1.33837,1.65584,10.2647,15.0764
21,1.85821,1.33354,1.65594,19.5245,24.3724
22,1.88771,1.34007,1.64384,1.88888,6.76078
23,1.80699,1.33671,1.66784,6.83039,11.6422
24,1.80689,1.34888,1.6438,1.87307,6.67293
25,1.80515,1.33847,1.63187,1.91551,6.69129
26,1.79277,1.36297,1.65574,3.32106,8.13284
27,1.80522,1.33845,1.64382,6.9565,11.7443
28,1.79296,1.33861,1.63201,17.8812,22.6451
29,1.8173,1.33839,1.66787,6.85757,11.6814
30,1.80786,1.33575,1.64381,4.38033,9.16805
31,1.79355,1.35008,1.64392,5.26381,10.0516
32,1.83408,1.3336,1.65604,10.3393,15.1632
33,1.862,1.32975,1.65575,1.88434,6.73213
34,1.80554,1.3381,1.63187,4.82485,9.60065
35,1.79306,1.33866,1.66776,6.89342,11.6932
36,1.80783,1.33581,1.65588,4.38819,9.18798
37,1.79349,1.33834,1.64363,2.84582,7.62156
38,1.79284,1.33888,1.65587,2.38405,7.17194
39,1.83441,1.33326,1.65589,3.34368,8.16752
40,1.79389,1.33776,1.65584,7.74422,12.532
41,1.81966,1.33602,1.65567,2.38612,7.19776
42,1.80717,1.34857,1.65589,5.33232,10.1442
43,1.79582,1.33596,1.64383,6.91202,11.6879
44,1.82348,1.33233,1.65573,19.5869,24.3987
45,1.95203,1.33569,1.64401,4.86812,9.80015
46,1.78168,1.33802,1.64406,8.23578,12.9998
47,1.83133,1.3363,1.65593,4.32958,9.15343
48,1.79293,1.32673,1.64381,4.35323,9.11698
49,1.79658,1.34716,1.65582,3.3838,8.18362
50,1.79603,1.33567,1.65589,4.34019,9.12807
51,1.81968,1.3241,1.65586,19.9029,24.7029
52,1.93915,1.33642,1.64383,8.20955,13.1292
53,1.81702,1.3388,1.65589,2.87213,7.68412
54,1.7953,1.33627,1.65596,4.35761,9.14542
55,1.79395,1.33792,1.6437,15.4713,20.2472
56,1.81913,1.33651,1.65587,4.31643,9.12824
57,1.81675,1.3392,1.64357,5.32306,10.1229
58,1.78135,1.33836,1.65766,7.7948,12.5725
59,1.82317,1.33249,1.66789,11.1094,15.9332
60,1.86322,1.33857,1.6558,4.38445,9.24234
61,1.82177,1.33393,1.65592,2.86594,7.67784
62,1.83515,1.33248,1.65589,5.30545,10.1293
63,1.80791,1.33586,1.64383,2.84111,7.62901
64,1.80527,1.33837,1.65583,2.8656,7.66537
65,1.8199,1.33592,1.65583,4.3221,9.13404
66,1.80743,1.33629,1.64378,4.28969,9.07747
67,1.796,1.35981,1.65579,2.83121,7.64311
68,1.80744,1.33621,1.65584,10.3558,15.1556
69,1.84332,1.3362,1.6699,2.37172,7.22143
70,1.82082,1.33672,1.65403,8.2211,13.033
71,1.81964,1.33614,1.65593,3.88091,8.69286
72,1.82918,1.33858,1.64382,5.4104,10.2223
73,1.79566,1.33602,1.63186,9.08798,13.8518
74,1.82855,1.33902,1.66785,5.33595,10.1717
75,1.79528,1.33653,1.64371,2.41756,7.19337
76,1.7937,1.33794,1.64385,7.71999,12.4958
77,1.79533,1.33621,1.66781,2.42079,7.22043
78,1.81683,1.33877,1.65588,4.80212,9.61389
79,1.79358,1.33821,1.65575,6.87388,11.6617
80,1.81928,1.33649,1.6559,5.26551,10.0775
81,1.79785,1.33379,1.64399,4.33604,9.11196
82,1.80561,1.33827,1.65575,2.90577,7.70567
83,1.82196,1.33371,1.65591,3.87315,8.68502
84,1.78459,1.34407,1.64385,6.82191,11.5947
85,1.80923,1.34648,1.63187,1.91645,6.70431
86,1.82174,1.358,1.66779,2.43795,7.28578
87,1.82116,1.34643,1.63195,4.43245,9.23226
88,1.83469,1.34501,1.63183,9.41505,14.2269
89,1.84361,1.34808,1.65581,4.88294,9.73072
90,1.83324,1.3226,1.6318,6.94547,11.7334
91,1.8078,1.34788,1.65572,7.89027,12.702
92,1.82174,1.346,1.67984,10.867,15.7149
93,1.90372,1.33601,1.65574,11.5771,16.4728
94,1.78566,1.32196,1.63191,2.42498,7.16478
95,1.82014,1.35964,1.64398,10.8333,15.6574
96,1.91214,1.3276,1.64386,6.9614,11.8453
97,1.80893,1.3469,1.65578,2.90809,7.72005
98,1.8483,1.31928,1.65595,4.42958,9.25337
99,1.82284,1.34478,1.65581,10.9603,15.784
100,1.78089,1.35072,1.63193,2.44117,7.205
101,1.81939,1.36028,1.66783,4.35173,9.19951
102,1.81993,1.37166,1.63192,5.44021,10.264
103,1.83244,1.34711,1.63197,9.30782,14.1196
104,1.81943,1.3362,1.65586,3.93369,8.74542
105,1.81913,1.3726,1.64386,2.94932,7.7852
106,1.83241,1.33506,1.64386,7.04792,11.8595
107,1.84335,1.36035,1.6678,2.42965,7.30145
108,1.81757,1.35007,1.65579,20.6591,25.4829
109,2.01326,1.37047,1.63178,2.42963,7.44543
110,1.80778,1.34799,1.65579,4.92404,9.7359
111,1.82929,1.33832,1.63178,4.41368,9.21337
112,1.83188,1.34762,1.632,6.98821,11.8
113,1.84371,1.36001,1.66789,4.44193,9.31385
114,1.79321,1.36232,1.64383,2.88263,7.68228
115,1.81984,1.34792,1.63187,9.41997,14.2199
116,1.85552,1.33608,1.65579,4.46097,9.30863
117,1.8441,1.34769,1.65572,4.88841,9.73621
118,1.79391,1.33775,1.64396,5.46704,10.243
119,1.83246,1.3472,1.66785,11.3947,16.2425
120,1.86741,1.33617,1.63173,6.94392,11.7795
121,1.83318,1.33444,1.63184,11.8406,16.6403
122,1.83213,1.34755,1.67974,11.4726,16.3323
123,1.8921,1.34753,1.63177,3.88959,8.76128
124,1.8338,1.35799,1.65578,2.38903,7.2369
125,1.82007,1.34751,1.65585,4.51951,9.34323
126,1.83185,1.34778,1.64395,8.36809,13.192
127,1.79767,1.33407,1.63188,4.96987,9.73379
128,1.80934,1.33447,1.66789,18.6995,23.5115
129,1.94974,1.37405,1.64386,2.9319,7.89982
130,1.81902,1.34857,1.63193,2.45336,7.25317
131,1.84665,1.34503,1.64398,5.37177,10.2077
132,1.84324,1.3364,1.65587,4.93959,9.7754
133,1.84991,1.32991,1.65573,3.95223,8.78808
134,1.81942,1.3603,1.66777,4.44982,9.29759
135,1.80699,1.36064,1.6319,4.43721,9.23704
136,1.81952,1.34806,1.63183,12.253,17.0527
137,1.81758,1.3501,1.66784,4.46792,9.30373
138,1.82105,1.34731,1.6552,2.42529,7.24914
139,1.81961,1.36003,1.63198,4.92487,9.73674
140,1.82429,1.34336,1.65658,7.03588,11.8604
141,1.81999,1.34785,1.65572,11.0813,15.9051
142,1.75995,1.34779,1.63184,11.7912,16.5311
143,1.84371,1.34768,1.6439,2.90517,7.74075
144,1.83543,1.3443,1.63186,3.96771,8.77959
145,1.81897,1.3607,1.63184,7.43539,12.2472
146,1.81886,1.34897,1.64381,8.48607,13.298
147,1.87157,1.34413,1.63189,4.46589,9.31377
148,1.81422,1.34143,1.63184,4.95556,9.74335
149,1.83188,1.32382,1.66784,2.44914,7.27299
150,1.81723,1.3264,1.64387,7.01255,11.8003
151,1.78289,1.34873,1.632,7.60019,12.3642
152,1.81776,1.33875,1.64314,10.9481,15.748
153,1.87967,1.34794,1.64382,2.98895,7.86068
154,1.83255,1.34708,1.63127,12.3365,17.1477
155,1.84729,1.33225,1.66808,2.46939,7.31729
156,1.81984,1.33587,1.65588,11.0921,15.904
157,1.76181,1.3339,1.65596,3.92793,8.6799
158,1.82134,1.34639,1.66851,8.41285,13.2494
159,1.841,1.33865,1.64375,23.4685,28.2922
160,2.35187,1.33181,1.64381,5.4882,10.816
161,1.85643,1.34709,1.66784,5.47388,10.3455
162,1.84918,1.33061,1.63194,11.6693,16.4813
163,1.73327,1.32644,1.63183,11.8036,16.4954
164,1.83608,1.34352,1.67992,4.95836,9.81819
165,1.84571,1.35781,1.66791,5.45503,10.3267
166,1.82345,1.34449,1.63166,11.9368,16.7366
167,1.83334,1.34623,1.66782,4.47782,9.32549
168,1.81908,1.33682,1.65568,8.45731,13.2692
169,1.78183,1.34988,1.6318,5.96816,10.732
170,1.83336,1.34616,1.66775,19.18,24.0276
171,2.03902,1.32112,1.64341,38.2784,43.2822
172,3.53759,1.34586,1.61999,20.3771,26.8808
173,1.84273,1.33655,1.66776,27.4866,32.3339
174,2.45304,1.33873,1.66773,4.93438,10.3942
175,1.80577,1.33802,1.65582,4.46502,9.2649
176,1.84335,1.33632,1.65589,8.52361,13.3595
177,1.84315,1.3485,1.64381,3.97449,8.81026
178,1.83384,1.34597,1.65642,8.53341,13.3699
179,1.84255,1.33714,1.67981,5.07989,9.93969
180,1.84414,1.35953,1.65597,2.46741,7.32734
181,1.82175,1.34588,1.64397,4.44796,9.25986
182,1.83124,1.33646,1.64392,14.7995,19.6114
183,1.92752,1.34831,1.64376,10.1317,15.0516
184,1.75942,1.33703,1.61919,20.3717,25.0876
185,1.85787,1.3339,1.64379,16.3892,21.2251
186,1.9632,1.36044,1.65604,16.8274,21.8073
187,1.91347,1.33843,1.65573,3.96375,8.87163
188,1.82394,1.33159,1.64377,13.0155,17.8151
189,1.9134,1.3496,1.63184,4.47144,9.36658
190,1.81965,1.35992,1.6558,10.5191,15.3548
191,1.86153,1.34213,1.64385,3.98586,8.83365
192,1.81913,1.37235,1.66805,4.96542,9.82525
193,1.82374,1.33265,1.6312,4.92508,9.71297
194,1.83676,1.34227,1.6437,18.5898,23.4129
195,2.09791,1.3458,1.65604,22.7049,27.805
196,2.33568,1.35999,1.64389,4.45397,9.79377
197,1.83129,1.34852,1.67974,4.44149,9.30135
198,1.83382,1.37062,1.63127,28.1281,32.9641
199,2.72381,1.33186,1.65605,14.349,20.0611
200,1.85295,1.33864,1.65597,4.9482,9.7961
201,1.84157,1.35011,1.65581,15.4939,20.3417
202,1.85767,1.34596,1.65584,7.54304,12.4028
203,1.83356,1.33416,1.64382,24.1688,28.9806
