Iteration,Approach,Pickup,Transport,Insert,Total
1,0.611737,1.31226,1.65575,34.5535,38.1336
2,1.79752,1.30993,1.63183,85.0867,89.8263
3,1.80376,1.30365,1.644,18.2701,23.0218
4,1.78822,1.30742,1.64367,8.00971,12.7493
5,1.76841,1.30275,1.63481,34.6101,39.3164
6,1.79113,1.3043,1.63179,64.0275,68.755
7,1.74528,1.32636,1.65581,48.2564,52.9842
8,1.80517,1.30222,1.64387,51.9025,56.654
9,1.78368,1.29993,1.64386,37.9368,42.6646
10,1.75501,1.32843,1.65579,28.3804,33.1199
11,1.76699,1.30434,1.63198,46.0972,50.8008
12,1.76881,1.30257,1.64383,20.6893,25.4048
13,1.76542,1.306,1.6439,25.5418,30.2574
14,1.77712,1.30431,1.64403,29.0934,33.8192
15,1.81121,1.3083,1.64384,53.2835,58.0472
16,1.73329,1.30191,1.64369,61.1199,65.7991
17,1.80742,1.30007,1.63176,17.4549,22.1944
18,1.77035,1.33699,1.64373,10.4391,15.1904
19,1.78155,1.30189,1.64397,43.9088,48.6365
20,1.80556,1.30192,1.63201,30.9578,35.6975
21,1.76953,1.30175,1.63204,90.8706,95.5742
22,1.96001,1.30334,1.64379,18.5265,23.434
23,1.79238,1.31199,1.6438,21.8579,26.6063
24,1.80437,1.30332,1.64384,34.3155,39.0673
25,1.76917,1.30224,1.64381,52.0496,56.7651
26,1.85472,1.30083,1.64374,37.872,42.6716
27,1.78335,1.30045,1.66761,33.2696,38.0213
28,1.76937,1.30204,1.64388,18.0588,22.7744
29,1.79267,1.30274,1.64382,29.4341,34.1736
30,1.77874,1.30479,1.6678,45.641,50.3926
31,1.73747,1.30984,1.67973,39.2811,44.0084
32,1.80319,1.30427,1.6317,27.0586,31.7981
33,1.76506,1.30439,1.66786,26.2985,31.0361
34,1.77088,1.30057,1.64399,28.5771,33.2928
35,1.78068,1.3027,1.65572,34.3203,39.0597
36,1.78099,1.3032,1.65503,46.0965,50.836
37,1.73038,1.30445,1.65577,20.1425,24.8333
38,1.7787,1.31604,1.6437,14.159,18.8978
39,1.79369,1.31379,1.64394,20.6991,25.4508
40,1.78603,1.30925,1.65574,16.6887,21.4401
41,1.77107,1.30006,1.63176,23.9339,28.6371
42,1.78327,1.30046,1.64365,23.9946,28.7223
43,1.76082,1.29881,1.67955,25.7583,30.4978
44,1.7816,1.3379,1.63179,54.7888,59.5404
45,1.80391,1.3154,1.65572,63.3414,68.1167
46,1.68485,1.30253,1.64385,24.9424,29.5739
47,1.80677,1.30064,1.63194,8.93519,13.6748
48,1.76752,1.30396,1.6678,33.8468,38.5864
49,1.74276,1.30459,1.65579,40.4163,45.1197
50,1.83864,1.30401,1.64379,26.3149,31.1016
51,1.7813,1.30213,1.64391,33.9035,38.6311
52,1.74612,1.30277,1.67998,18.3511,23.0802
53,1.77815,1.30535,1.61974,106.333,111.037
54,2.63055,1.30497,1.63184,37.5239,43.0915
55,1.74312,1.30453,1.66971,38.5234,43.2411
56,1.75476,1.3047,1.65569,28.2684,32.9838
57,1.77859,1.305,1.64351,53.661,58.3884
58,1.69706,1.30235,1.65664,78.7285,83.3848
59,2.1998,1.30354,1.6438,57.3682,62.5157
60,1.85289,2.30198,0.65586,43.9657,48.7767
