Iteration,Approach,Pickup,Transport,Insert,Total
1,1.73679,1.30534,1.65587,1.59162,6.28993
2,1.76928,1.30201,1.64391,7.84618,12.5617
3,1.80738,1.30034,1.64359,4.19398,8.94557
4,1.78396,1.29941,1.64416,1.83035,6.55816
5,1.75233,1.30779,1.62926,4.07585,8.76553
6,1.79684,1.29865,1.63183,5.64748,10.3751
7,1.77456,1.30908,1.65586,3.36596,8.10575
8,1.77006,1.30155,1.65588,5.49453,10.2223
9,1.76569,1.34193,1.64433,3.72662,8.47887
10,1.7551,1.29233,1.65637,1.62218,6.32628
11,1.76958,1.30194,1.63192,7.26613,11.9699
12,1.7952,1.28825,1.64395,3.95565,8.68338
13,1.77482,1.32071,1.64381,4.47132,9.21095
14,1.78238,1.33723,1.64386,4.66381,9.42757
15,1.76997,1.31365,1.64375,3.64653,8.3742
16,1.75917,1.28808,1.64561,7.61224,12.3054
17,1.79635,1.31133,1.63191,3.83561,8.57549
18,1.76971,1.32576,1.64391,1.57917,6.31898
19,1.78418,1.28735,1.64393,7.55567,12.2714
20,1.76982,1.31365,1.63201,3.81326,8.52904
21,1.78551,1.29844,1.63154,6.41598,11.1318
22,1.77011,1.28985,1.64342,4.51968,9.22335
23,1.79355,1.30168,1.64403,4.3051,9.04468
24,1.80726,1.30026,1.64381,1.57978,6.33139
25,1.76962,1.28992,1.6439,7.59225,12.296
26,1.76923,1.32617,1.63188,1.57982,6.30739
27,1.78176,1.30188,1.64382,1.93016,6.65791
28,1.74223,1.29333,1.64382,4.26777,8.94745
29,1.79451,1.30134,1.64237,1.60326,6.34176
30,1.75511,1.30455,1.65567,1.56772,6.28334
31,1.77157,1.29999,1.65602,1.57986,6.30774
32,1.7701,1.3015,1.63187,1.95451,6.65828
33,1.75439,1.317,1.656,1.58185,6.30952
34,1.75452,1.30501,1.64356,2.64833,7.35172
35,1.75243,1.29329,1.63198,6.54772,11.2257
36,1.76826,1.28955,1.65591,4.24353,8.95755
37,1.77257,1.29916,1.66853,3.31718,8.05773
38,1.75407,1.29754,1.6281,1.61729,6.29728
39,1.77051,1.3011,1.66788,3.69489,8.43467
40,1.75473,1.30477,1.65582,1.59232,6.30795
41,1.77213,1.29941,1.6557,4.29184,9.01938
42,1.75477,1.29284,1.64391,1.59121,6.28302
43,1.7692,1.29034,1.66796,1.57954,6.30733
44,1.79549,1.30165,1.63035,7.67511,12.4029
45,1.76742,1.29308,1.63117,5.44772,10.1397
46,1.74589,1.30162,1.64428,4.61497,9.30704
47,1.75551,1.30409,1.63172,3.72688,8.41866
48,1.7861,1.2974,1.64397,1.57955,6.30731
49,1.74957,1.28616,1.65589,3.36684,8.05876
50,1.796,1.2996,1.6438,1.59448,6.33416
51,1.77039,1.28917,1.64406,1.60663,6.31056
52,1.75876,1.28872,1.64396,7.97537,12.6671
53,1.78144,1.28979,1.61989,10.5703,15.2617
54,1.79333,1.29019,1.64388,4.62586,9.35355
55,1.75909,1.30218,1.64221,4.21949,8.92325
56,1.79556,1.30011,1.63165,4.0152,8.7428
57,1.79608,1.29953,1.6437,6.93071,11.6703
58,1.75875,1.30078,1.65582,5.24636,9.962
59,1.78447,1.31161,1.64344,2.82985,7.56965
60,1.7819,1.30158,1.63186,1.95244,6.66808
,,,,,8.674599333
,,,,,4.780363998

Iteration,Approach,Pickup,Transport,Insert,Total
1,5.77677,1.32447,1.65574,1.26161,10.0189

Iteration,Approach,Pickup,Transport,Insert,Total
1,1.80512,1.33875,1.6578,1.2593,6.06126

Iteration,Approach,Pickup,Transport,Insert,Total
1,1.81767,1.33849,1.65585,9.34746,14.1597
2,1.82818,1.3275,1.64377,6.58951,11.3892
3,1.79283,1.31491,1.65585,11.86,16.6239
