Iteration,Approach,Pickup,Transport,Insert,Total
1,1.84192,1.33231,1.63188,1.26873,6.07514
2,1.81387,1.33089,1.65495,1.29308,6.09311
3,1.79826,1.33452,1.67891,1.26845,6.08043
4,1.84978,1.32909,1.63189,1.2599,6.07095
5,1.80918,1.33368,1.64395,1.28126,6.06836
6,1.79544,1.34822,1.68184,1.28189,6.10767
7,1.84319,1.33384,1.63188,1.2702,6.0794
8,1.80527,1.33649,1.64493,1.27549,6.06243
9,1.79866,1.33411,1.66786,1.28793,6.08886
10,1.83412,1.33169,1.61992,1.2473,6.03328
11,1.79536,1.33642,1.64391,1.26767,6.04365
12,1.79784,1.33398,1.65575,1.28009,6.06795
13,1.82616,1.32948,1.6199,1.24654,6.02237
14,1.81064,1.334,1.65409,1.28086,6.07988
15,1.81197,1.33288,1.65469,1.27334,6.07318
16,1.82435,1.33127,1.63291,1.26867,6.0575
17,1.79494,1.33589,1.64395,1.30008,6.07514
18,1.79619,1.33558,1.65585,1.27044,6.05835
19,1.82449,1.33019,1.63282,1.28283,6.07063
20,1.80685,1.33696,1.64459,1.28334,6.07201
21,1.82139,1.33428,1.66696,1.52859,6.3515
22,1.83577,1.34792,1.64002,1.25788,6.08182
23,1.79525,1.33674,1.65673,1.2855,6.07447
24,1.80662,1.3482,1.66801,1.64074,6.46384
25,1.82193,1.33483,1.63093,1.24412,6.03208
26,1.79339,1.33835,1.64396,2.94558,7.72157
27,1.82102,1.33496,1.6437,1.2682,6.06816
28,1.82044,1.3344,1.61996,1.27451,6.04959
29,1.79757,1.3461,1.68192,1.25391,6.07973
30,1.81988,1.33576,1.6319,1.6682,6.45603
31,1.8085,1.34626,1.63394,4.79078,9.57977
32,1.79497,1.3377,1.65583,2.65941,7.44821
33,1.81046,1.33421,1.65494,3.60182,8.4017
34,1.80807,1.35967,1.61987,3.19038,7.97828
35,1.81068,1.33217,1.65694,4.48682,9.28682
36,1.79816,1.33569,1.65394,3.56831,8.35639
37,1.84661,1.33204,1.63203,2.60585,7.41677
38,1.7951,1.33666,1.64632,1.68689,6.46527
39,1.80048,1.33123,1.64394,2.92775,7.7037
40,1.81658,1.33669,1.63186,2.60438,7.3898
41,1.80969,1.33326,1.64478,1.62379,6.41182
42,1.79784,1.33393,1.64385,2.88819,7.66408
43,1.83745,1.33039,1.63191,5.19569,9.99573
44,1.82395,1.33091,1.64374,3.50035,8.29924
45,1.79554,1.34827,1.63287,2.10278,6.87975
46,1.7959,1.33676,1.64301,5.16525,9.94121
47,1.80058,1.33131,1.64373,5.29396,10.0698
48,1.80918,1.3336,1.63197,2.19741,6.97245
49,1.7994,1.35618,1.63183,5.51793,10.3056
50,1.8322,1.33562,1.64463,3.49872,8.31144
51,1.79786,1.33492,1.65493,2.91607,7.70407
52,1.80724,1.33741,1.64302,5.18053,9.96849
53,1.79584,1.3359,1.63199,5.6561,10.4201
54,1.80653,1.33628,1.63179,3.94993,8.72482
55,1.82308,1.3326,1.63199,2.92833,7.71629
56,1.83863,1.33912,1.64487,3.46289,8.28575
57,1.79512,1.36171,1.64398,4.5553,9.35635
58,1.79563,1.34907,1.655,5.46991,10.2699
59,1.83626,1.34335,1.657,4.58467,9.42154
60,1.80789,1.33682,1.65494,3.86222,8.66216
61,1.80446,1.35239,1.65481,5.48782,10.2998
62,1.81218,1.33158,1.65492,5.22946,10.0284
63,1.82362,1.33218,1.63193,5.68599,10.474
64,1.84024,1.33944,1.64388,5.47667,10.3005
65,1.82402,1.33171,1.644,5.23425,10.0343
66,1.81654,1.34108,1.64195,4.46403,9.26385
67,1.80915,1.33466,1.64487,5.53263,10.3215
68,1.82873,1.33888,1.64586,5.58626,10.4
69,1.82149,1.34624,1.65497,3.78778,8.61072
70,1.80689,1.34878,1.64394,5.51627,10.3162
71,1.82553,1.34209,1.64486,5.26709,10.0799
72,1.82138,1.33358,1.63272,4.98865,9.7766
73,1.83281,1.33397,1.61992,3.81202,8.599
74,1.79819,1.35828,1.66691,4.92978,9.75344
75,1.7959,1.33575,1.64399,3.97024,8.74616
76,1.80863,1.34632,1.63182,5.54587,10.3329
77,1.80815,1.33562,1.6579,3.9346,8.73649
78,1.80878,1.34592,1.64397,3.80508,8.60402
79,1.80742,1.33656,1.66779,5.43767,10.2497
80,1.81904,1.35989,1.64393,5.16215,9.9853
81,1.81256,1.33133,1.6448,5.69481,10.4838
82,1.8341,1.33264,1.6458,5.57862,10.3915
83,1.82585,1.32999,1.64392,5.50005,10.3001
84,1.83585,1.32919,1.632,5.60188,10.3991
85,1.82411,1.33266,1.6309,4.21035,8.99831
86,1.79552,1.34822,1.65674,3.97906,8.77981
87,1.80719,1.33761,1.64383,5.37961,10.1685
88,1.79579,1.34798,1.61983,6.87418,11.6381
89,1.8186,1.33637,1.64372,4.22589,9.02481
90,1.82197,1.33367,1.6328,5.6945,10.4832
91,1.82174,1.33406,1.63292,5.88707,10.6761
92,1.82338,1.3324,1.6319,6.26072,11.0487
93,1.81815,1.33766,1.65494,7.10144,11.9125
94,1.7958,1.36086,1.63189,4.37117,9.16001
95,1.79745,1.34626,1.63191,6.38177,11.1577
96,1.812,1.34462,1.64299,5.68937,10.4892
97,1.80776,1.33691,1.65498,5.77211,10.572
98,1.82639,1.34136,1.64393,5.54368,10.3557
99,1.82511,1.3296,1.64408,6.07226,10.8713
100,1.83374,1.33407,1.61985,4.52197,9.30993
101,1.81928,1.33749,1.65496,4.96462,9.77656
102,1.80693,1.3369,1.61989,5.30625,10.0702
103,1.7964,1.33721,1.62998,6.82582,11.5897
104,1.79323,1.33947,1.65676,5.53772,10.3275
105,1.83291,1.34598,1.63188,6.2501,11.0612
106,1.81949,1.33615,1.63199,8.3968,13.1847
107,1.8262,1.32943,1.65584,4.2817,9.09346
108,1.81186,1.3329,1.64396,6.80321,11.5922
109,1.80954,1.33406,1.62097,4.54893,9.31379
110,1.79518,1.3374,1.64496,7.04175,11.8195
111,1.79276,1.36478,1.61804,8.96822,13.7441
112,1.7959,1.34594,1.61989,4.6172,9.37919
113,1.79821,1.35744,1.65581,9.12386,13.9356
114,1.81013,1.33359,1.63184,5.9966,10.7724
115,1.83588,1.34377,1.61991,7.19625,11.9961
116,1.80959,1.33409,1.64385,7.07707,11.8649
117,1.80725,1.33644,1.64389,7.19863,11.9865
118,1.81111,1.33264,1.63191,6.63153,11.4075
119,1.80892,1.35801,1.65673,4.75116,9.57511
120,1.80735,1.36046,1.6318,9.30977,14.1097
121,1.79626,1.35852,1.63103,7.35551,12.1416
122,1.80699,1.33587,1.64477,7.67638,12.4643
123,1.83781,1.34212,1.62165,9.04127,13.8432
124,1.80249,1.3302,1.6548,5.85205,10.6398
125,1.82026,1.33554,1.64383,7.04866,11.8486
126,1.80697,1.34896,1.64284,6.56626,11.3653
127,1.81776,1.34801,1.61993,10.7362,15.5222
128,1.82475,1.33204,1.64304,9.096,13.8961
129,1.82154,1.35821,1.64297,9.7779,14.601
130,1.8023,1.3414,1.61986,4.60767,9.37152
131,1.82391,1.3318,1.64297,6.74529,11.5443
132,1.79965,1.33217,1.65587,7.21205,12
133,1.8224,1.3564,1.64386,8.8919,13.7148
134,1.83426,1.3325,1.67987,8.4647,13.3116
135,1.80895,1.33577,1.63093,8.58034,13.3563
136,1.82293,1.3328,1.63199,7.43929,12.2273
137,1.79863,1.33312,1.65686,8.79705,13.586
138,1.82545,1.33044,1.6437,7.6039,12.4038
139,1.79526,1.33652,1.64481,10.7248,15.5017
140,1.83165,1.33363,1.64478,9.11871,13.9291
141,1.81395,1.35365,1.64398,6.63637,11.4482
142,1.83157,1.34915,1.63099,10.5681,15.38
143,1.8167,1.33802,1.63189,5.96804,10.755
144,1.78414,1.33563,1.63178,8.46169,13.2135
145,1.82818,1.34069,1.63091,7.27941,12.0795
146,1.7958,1.33596,1.63191,6.45322,11.2172
147,1.78639,1.33338,1.64372,8.59703,13.3608
148,1.79731,1.33361,1.63181,10.6877,15.4507
149,1.81018,1.33361,1.65571,7.55574,12.3555
150,1.83995,1.33965,1.64396,8.16543,12.9893
151,1.78777,1.33203,1.61983,7.3462,12.0861
152,1.80563,1.33629,1.63278,6.53603,11.311
153,1.79632,1.34757,1.65581,10.1677,14.9677
154,1.78416,1.37155,1.62077,11.0868,15.8635
155,1.83421,1.33365,1.65686,7.76461,12.5896
156,1.82393,1.332,1.66764,6.38432,11.2082
157,1.83661,1.34416,1.65495,9.09606,13.9321
158,1.80739,1.33645,1.64378,9.70983,14.4977
159,1.82225,1.33434,1.64299,8.14771,12.9476
160,1.78308,1.33653,1.65597,6.25247,11.0283
161,1.82583,1.34196,1.6558,8.7703,13.5942
162,1.80959,1.35823,1.63181,8.81213,13.612
163,1.79437,1.33629,1.64377,10.773,15.5477
164,1.83147,1.34642,1.64474,7.07089,11.8938
165,1.81014,1.33373,1.65578,6.97157,11.7715
166,1.80983,1.3579,1.61975,10.7154,15.5031
167,1.8358,1.34402,1.65581,8.81019,13.6461
168,1.80887,1.35815,1.64463,10.5013,15.3132
169,1.83671,1.34213,1.6199,7.69207,12.4911
170,1.81035,1.33347,1.67986,8.72378,13.5478
171,1.80717,1.33662,1.6319,8.23347,13.0095
172,1.81201,1.33264,1.61901,11.0394,15.8034
173,1.83284,1.33488,1.65588,9.1003,13.9241
174,1.82374,1.33288,1.66694,7.3252,12.149
175,1.80958,1.33502,1.65502,8.74397,13.5439
176,1.83628,1.34426,1.65583,9.69696,14.5336
177,1.83225,1.35851,1.632,9.76958,14.5926
178,1.82568,1.34031,1.65506,6.20456,11.0259
179,1.83189,1.33591,1.64387,7.55026,12.3622
180,1.83474,1.3331,1.64493,7.88205,12.6951
181,1.78346,1.33729,1.65579,8.02302,12.7999
182,1.80925,1.33446,1.6319,6.68561,11.4615
183,1.80797,1.34684,1.63188,9.90939,14.6964
184,1.80888,1.34591,1.60883,11.0843,15.8483
185,1.82087,1.3349,1.63193,6.65614,11.4441
186,1.79348,1.34836,1.66785,8.04187,12.8518
187,1.79826,1.33337,1.65494,8.69275,13.4796
188,1.83722,1.33259,1.64188,9.90466,14.7167
189,1.82386,1.33182,1.61991,8.96842,13.7443
190,1.80783,1.3359,1.64396,12.6963,17.4843
191,1.81994,1.33597,1.65586,9.53225,14.3443
192,1.8078,1.33605,1.67982,7.21025,12.0342
193,1.82857,1.3392,1.6199,10.7351,15.523
194,1.83638,1.3312,1.63187,9.50799,14.3077
195,1.83122,1.33646,1.65585,7.65773,12.4815
196,1.80911,1.33562,1.64396,8.44449,13.2334
197,1.80799,1.35983,1.66884,8.80334,13.6403
198,1.81988,1.33599,1.64379,9.76419,14.5642
199,1.78553,1.33502,1.66706,12.4962,17.2841
200,1.83074,1.33591,1.64494,11.2164,16.0282
201,1.82165,1.33498,1.66799,10.7042,15.5291
202,1.79465,1.3362,1.60889,11.1571,15.8971
203,1.80764,1.33603,1.65597,9.98004,14.78
204,1.81054,1.35722,1.65585,11.032,15.8559
205,1.81244,1.33115,1.6439,9.24996,14.0378
206,1.82529,1.34238,1.61991,10.2398,15.0276
207,1.82613,1.33049,1.66695,10.6157,15.4396
208,1.81012,1.33346,1.62005,8.02561,12.7895
209,1.84988,1.32973,1.64489,11.1205,15.9452
210,1.84398,1.33584,1.62005,8.5162,13.3163
211,1.78778,1.33195,1.6081,7.73206,12.4602
212,1.80651,1.33626,1.65684,10.7271,15.527
213,1.82034,1.33536,1.61988,9.69388,14.4697
214,1.81132,1.33237,1.64486,9.5678,14.3566
215,1.83832,1.32947,1.65583,13.0899,17.9138
