Iteration,Approach,Pickup,Transport,Insert,Total,,
1,1.33763,1.33553,1.64283,1.28053,5.5968,,
2,1.81952,1.3372,1.65509,1.30364,6.11573,,
3,1.79783,1.33399,1.64382,1.30114,6.07703,,
4,1.80748,1.33823,1.67803,1.24357,6.06755,,
5,1.82369,1.3329,1.65587,1.27513,6.08787,,
6,1.79699,1.33463,1.64382,8.32959,13.1053,,
7,1.82579,1.32995,1.63284,14.1205,18.9094,,
8,1.81911,1.34776,1.64472,14.0437,18.8555,,
9,1.80721,1.33657,1.67896,12.4416,17.2646,,
10,1.83507,1.33264,1.61993,4.20438,8.99232,,
11,1.79755,1.35811,1.64385,11.2882,16.088,,
12,1.81158,1.3321,1.63283,7.00901,11.7858,,
13,1.81142,1.33137,1.61976,14.032,18.7949,,
14,1.8235,1.33253,1.65568,6.60087,11.4129,,
15,1.79523,1.33752,1.64302,11.8236,16.5996,,
16,1.80935,1.35749,1.63396,20.6819,25.483,,
17,1.84762,1.33298,1.6569,14.7824,19.6201,,
18,1.80788,1.336,1.63574,18.5095,23.2895,,
19,1.79522,1.33655,1.63277,20.423,25.1879,,
20,1.83771,1.34205,1.64392,17.9253,22.7492,,
21,1.79596,1.33567,1.64392,12.3356,17.1114,,
22,1.82106,1.33374,1.63276,9.69961,14.4874,,
23,1.82188,1.33473,1.6668,16.9427,21.7664,,
24,1.7944,1.33556,1.6319,12.7336,17.4958,,
25,1.83526,1.3325,1.63097,12.6018,17.4008,,
26,1.80838,1.33355,1.64378,17.822,22.608,,
27,1.81262,1.33114,1.63186,10.5201,15.296,,
28,1.83469,1.34609,1.618,29.1095,33.9085,,
29,1.82361,1.36815,1.65581,13.4842,18.3321,,
30,1.79357,1.33896,1.6431,7.594,12.3699,,
31,1.8243,1.33134,1.63189,20.517,25.3049,,
32,1.82481,1.33096,1.64594,17.7774,22.5794,,
33,1.79601,1.33564,1.6439,15.5778,20.3536,,
34,1.79531,1.33723,1.63195,32.5315,37.2962,,
35,1.85057,1.34211,1.66705,20.6613,25.5213,,
36,1.83491,1.3328,1.6439,18.9256,23.7374,,
37,1.82143,1.35728,1.63181,17.5312,22.342,,
38,1.80972,1.33405,1.64391,11.1912,15.9792,,
39,1.81274,1.34204,1.68014,15.6161,20.4513,,
40,1.80694,1.36177,1.64297,17.5836,22.3955,,
41,1.80819,1.3355,1.64394,15.1878,19.9757,,
42,1.80989,1.33133,1.64382,15.3321,20.1174,,
43,1.80763,1.33601,1.63199,23.6534,28.4293,,
44,1.84622,1.33264,1.64377,19.1,23.9229,,
45,1.79359,1.35108,1.64391,14.7203,19.5092,,
46,1.79579,1.34803,1.63193,24.1115,28.8875,,
47,1.80871,1.33513,1.66705,21.4672,26.2783,,
48,1.83315,1.33366,1.63276,13.6158,18.4156,,
49,1.79713,1.33648,1.66695,23.9351,28.7359,,
50,1.81895,1.3359,1.64389,22.0306,26.8295,,
51,1.79537,1.33635,1.66788,15.9551,20.7549,,
52,1.83766,1.33001,1.63404,27.4814,32.2834,,
53,1.83253,1.33419,1.63182,21.6354,26.4342,,
54,1.79303,1.33958,1.65499,19.2258,24.0137,,
55,1.81348,1.33034,1.63176,29.2395,34.0154,,
56,1.84756,1.33223,1.64388,19.3671,24.1911,,
57,1.8229,1.34385,1.6319,20.8636,25.6625,,
58,1.79452,1.3373,1.65587,27.6543,32.4423,,
59,1.84939,1.33048,1.65578,24.1072,28.9431,,
60,1.81712,1.36081,1.64394,23.1457,27.9678,,
61,1.80681,1.33516,1.64375,20.9235,25.7094,,
62,1.80823,1.33658,1.67892,28.7171,33.5411,,
63,1.82,1.33572,1.63191,25.6319,30.4198,,
64,1.78388,1.33601,1.64379,27.8597,32.6237,,
65,1.84784,1.33199,1.64382,24.8356,29.6596,,
66,1.83338,1.33439,1.63367,17.1842,21.986,,
67,1.78574,1.33396,1.64393,24.1756,28.9395,,
68,1.83245,1.33531,1.64379,24.7684,29.5802,,
69,1.84311,1.33663,1.64389,22.9889,27.8129,,
70,1.81202,1.34396,1.64581,27.5967,32.3987,,
71,1.83071,1.33692,1.65496,28.4287,33.2516,,
72,1.85671,1.33505,1.64381,25.0196,29.8554,,
73,1.82447,1.34221,1.61997,36.3466,41.1335,,
