raw_robot_X, raw_robot_Y, raw_robot_Z, registered_robot_X, registered_robot_Y, registered_robot_Z, truth_X, truth_Y, truth_Z
744.323, -366.012, 0.113895, 0.233665, -0.0983186, 11.1072, 0, -0, 11
744.388, -365.917, -0.122861, 0.254602, -0.212264, 10.8707, 0, -0, 11
744.184, -365.843, 0.0197499, 0.450738, -0.121131, 11.0139, 0, -0, 11
744.317, -365.991, -0.150729, 0.252682, -0.109433, 10.8427, 0, -0, 11
744.233, -365.921, 0.0410904, 0.361598, -0.0995551, 11.0349, 0, -0, 11
744.302, -366.094, 0.0555892, 0.191153, -0.0254071, 11.0487, 0, -0, 11
744.05, -365.948, 0.15492, 0.472427, 0.0482918, 11.1491, 0, 0, 11
744.218, -365.888, 0.0102838, 0.395611, -0.113336, 11.0043, 0, -0, 11
744.348, -366.02, 0.0223692, 0.210099, -0.110719, 11.0156, 0, -0, 11
744.367, -365.885, 0.0527045, 0.2907, -0.219803, 11.0464, 0, -0, 11
533.752, -579.787, 0.163926, -0.0142047, 299.968, 10.8861, -0, 300, 11
533.877, -579.943, 0.431286, -0.214021, 299.991, 11.1526, -0, 300, 11
533.813, -580.07, 0.166446, -0.25609, 300.127, 10.8875, -0, 300, 11
533.875, -579.987, 0.102146, -0.24214, 300.023, 10.8234, -0, 300, 11
533.831, -579.965, 0.0669965, -0.195085, 300.039, 10.7884, -0, 300, 11
533.735, -579.999, 0.241709, -0.15127, 300.131, 10.9632, -0, 300, 11
533.897, -579.938, 0.317802, -0.224292, 299.974, 11.0391, -0, 300, 11
533.892, -580.003, 0.127025, -0.265793, 300.023, 10.8482, -0, 300, 11
533.901, -580.083, 0.308427, -0.328853, 300.074, 11.0293, -0, 300, 11
533.61, -579.947, -0.0587059, -0.024449, 300.181, 10.6632, -0, 300, 11
304.663, -810.758, 0.787035, 0.840377, 625.282, 11.2195, 0, 625, 11
304.779, -810.857, 0.702606, 0.689057, 625.271, 11.1345, 0, 625, 11
304.702, -810.864, 0.683021, 0.738823, 625.329, 11.1151, 0, 625, 11
304.648, -810.868, 0.558579, 0.77558, 625.37, 10.9907, 0, 625, 11
304.737, -810.894, 0.814695, 0.692648, 625.327, 11.2466, 0, 625, 11
304.617, -810.902, 0.659249, 0.772549, 625.416, 11.0914, 0, 625, 11
304.627, -810.79, 0.86101, 0.843428, 625.33, 11.2935, 0, 625, 11
304.695, -810.873, 0.598527, 0.737742, 625.341, 11.0306, 0, 625, 11
304.731, -810.818, 0.75769, 0.750435, 625.277, 11.1898, 0, 625, 11
304.845, -810.836, 0.768061, 0.656966, 625.209, 11.1999, 0, 625, 11
671.489, -48.6561, -0.654285, 274.97, -174.853, 11.5585, 275, -175, 11
671.441, -48.7094, -0.532716, 274.967, -174.781, 11.68, 275, -175, 11
671.655, -48.8202, -0.768922, 274.738, -174.853, 11.443, 275, -175, 11
671.62, -48.7196, -0.580911, 274.832, -174.9, 11.6314, 275, -175, 11
671.425, -48.7187, -0.531325, 274.972, -174.763, 11.6814, 275, -175, 11
671.411, -48.7228, -0.553331, 274.979, -174.75, 11.6594, 275, -175, 11
671.195, -48.7211, -0.392888, 275.133, -174.6, 11.8203, 275, -175, 11
671.316, -48.7621, -0.638883, 275.02, -174.656, 11.5739, 275, -175, 11
671.343, -48.6526, -0.533531, 275.076, -174.753, 11.6796, 275, -175, 11
671.654, -48.7797, -0.829402, 274.767, -174.881, 11.3826, 275, -175, 11
548.282, -173.709, -0.559979, 274.846, 0.698485, 11.4942, 275, 0, 11
548.449, -173.75, -0.692929, 274.699, 0.609816, 11.3608, 275, 0, 11
548.466, -173.713, -0.73336, 274.713, 0.57183, 11.3205, 275, 0, 11
548.69, -173.819, -0.970735, 274.479, 0.489546, 11.0823, 275, 0, 11
548.539, -173.847, -0.892579, 274.567, 0.615469, 11.1606, 275, 0, 11
548.275, -173.712, -0.633824, 274.849, 0.705159, 11.4204, 275, 0, 11
548.634, -173.94, -0.985265, 274.434, 0.614583, 11.0674, 275, 0, 11
