1st,1 taught,central ,2 taught,w/joint pose
0.000,35.801,27.750,126.950,45.500
0.000,15.050,28.050,36.600,55.100
0.000,145.250,27.900,65.750,25.050
0.000,25.050,17.750,57.350,25.000
0.000,85.200,143.250,75.850,25.152
0.000,31.050,110.600,36.850,25.451
0.000,196.600,42.950,25.500,25.300
0.000,25.100,17.200,26.100,25.350
0.000,135.500,41.600,45.800,25.100
0.000,25.450,16.800,158.250,25.250
0.000,125.650,27.950,25.350,14.550
0.000,25.300,65.900,15.700,25.450
0.000,55.750,30.250,127.050,34.850
0.000,147.200,18.500,98.350,25.550
0.000,64.850,17.500,76.500,14.800
0.000,25.350,48.100,46.150,25.150
0.000,116.200,62.350,85.800,86.100
0.000,35.450,17.550,57.700,25.550
0.000,85.700,52.750,54.950,15.200
0.000,45.300,322.000,47.900,25.500
0.000,35.300,27.900,35.750,25.200
0.000,15.900,27.450,47.350,25.201
0.000,35.250,27.200,66.200,15.050
0.000,15.450,18.000,15.350,25.450
0.000,65.450,17.400,116.300,15.000
0.000,15.350,27.950,26.450,25.800
0.000,55.350,51.200,66.450,15.050
0.000,14.550,17.550,16.000,25.100
0.000,339.850,40.200,55.950,15.100
0.000,14.650,171.400,26.900,25.850
0.000,86.200,28.250,148.350,14.900
0.000,15.700,27.850,47.152,25.700
0.000,45.450,27.350,140.100,25.050
0.000,15.449,17.850,16.201,25.100
0.000,74.949,16.950,65.800,46.000
0.000,26.000,39.300,15.450,25.900
0.000,68.550,38.750,45.250,15.300
0.000,36.450,17.350,36.950,25.450
0.000,36.200,29.450,35.700,25.200
0.000,26.550,17.200,15.750,25.601
27.750,57.050,27.800,57.499,14.900
28.050,16.650,28.150,15.750,24.950
27.900,25.649,142.200,36.250,15.200
17.750,58.100,63.600,122.100,25.000
143.250,111.000,17.650,68.250,45.950
110.600,25.900,89.651,203.250,25.250
42.950,15.300,28.500,36.000,385.000
17.200,129.800,17.550,68.100,25.650
41.600,55.500,29.000,75.650,15.300
16.800,15.300,17.150,88.200,25.400
27.950,35.300,17.650,75.450,15.200
65.900,15.250,28.450,99.400,25.700
30.250,14.850,28.450,55.400,14.800
18.500,14.550,42.900,108.600,25.100
17.500,35.300,16.750,45.650,46.750
48.100,15.350,38.550,99.100,25.850
62.350,14.950,39.450,35.750,15.350
17.550,15.250,17.800,173.400,25.100
52.750,25.150,208.850,35.600,15.350
322.000,14.600,49.900,89.500,25.950
27.900,14.650,17.250,45.900,15.600
