,Data,Median,Average,,,1,2,3,4,5,,,,
4,14.65,,,,,,,,14.65,,,,,0
4,8.4,,,,,,,,8.4,,,,,
4,8.4,,,,,,,,8.4,,,,,
4,7.7,,,,,,,,7.7,,,,,
4,7.75,,,,,,,,7.75,,,,,
4,7.5,,,,,,,,7.5,,,,,
4,8.1,,,,,,,,8.1,,,,,
4,7.7,,,,,,,,7.7,,,,,
4,8.4,,,,,,,,8.4,,,,,
4,7.65,,,,,,,,7.65,,,,,
4,7.65,,,,,,,,7.65,,,,,
4,7.7,,,,,,,,7.7,,,,,
4,8.35,,,,,,,,8.35,,,,,
4,7.7,,,,,,,,7.7,,,,,
4,32.2,,,,,,,,32.2,,,,,
4,8.1,,,,,,,,8.1,,,,,
4,8.25,,,,,,,,8.25,,,,,
4,7.5,,,,,,,,7.5,,,,,
4,7.8,,,,,,,,7.8,,,,,
4,7.8,,,,,,,,7.8,,,,,
3,7.7,,,,,,,7.7,,,,,,
3,7.85,,,,,,,7.85,,,,,,
3,8.5,,,,,,,8.5,,,,,,
3,7.4,,,,,,,7.4,,,,,,
3,8.85,,,,,,,8.85,,,,,,
3,8.05,,,,,,,8.05,,,,,,
3,8.55,,,,,,,8.55,,,,,,
3,7.5,,,,,,,7.5,,,,,,
3,8.2,,,,,,,8.2,,,,,,
3,7.8,,,,,,,7.8,,,,,,
3,8.8,,,,,,,8.8,,,,,,
3,7.55,,,,,,,7.55,,,,,,
3,8.25,,,,,,,8.25,,,,,,
3,7.35,,,,,,,7.35,,,,,,
3,8.85,,,,,,,8.85,,,,,,
3,7.5,,,,,,,7.5,,,,,,
3,8.65,,,,,,,8.65,,,,,,
3,7.65,,,,,,,7.65,,,,,,
3,8.95,,,,,,,8.95,,,,,,
3,7.7,,,,,,,7.7,,,,,,
2,7.5,,,,,,7.5,,,,,,,
2,14.85,,,,,,14.85,,,,,,,
2,7.6,,,,,,7.6,,,,,,,
2,7.6,,,,,,7.6,,,,,,,
2,9.05,,,,,,9.05,,,,,,,
2,14.15,,,,,,14.15,,,,,,,
2,15.2,,,,,,15.2,,,,,,,
2,7.6,,,,,,7.6,,,,,,,
2,15.4,,,,,,15.4,,,,,,,
2,7.5,,,,,,7.5,,,,,,,
2,17.45,,,,,,17.45,,,,,,,
2,7.5,,,,,,7.5,,,,,,,
2,35.6,,,,,,35.6,,,,,,,
2,7.75,,,,,,7.75,,,,,,,
2,22.45,,,,,,22.45,,,,,,,
2,7.45,,,,,,7.45,,,,,,,
2,8.9,,,,,,8.9,,,,,,,
2,7.75,,,,,,7.75,,,,,,,
2,23.15,,,,,,23.15,,,,,,,
2,7.95,,,,,,7.95,,,,,,,
1,7.6,,,,,7.6,,,,,,,,
1,8.5,,,,,8.5,,,,,,,,
1,8.9,,,,,8.9,,,,,,,,
1,7.95,,,,,7.95,,,,,,,,
1,8.2,,,,,8.2,,,,,,,,
1,47.099,,,,,47.099,,,,,,,,
1,21.15,,,,,21.15,,,,,,,,
1,71.75,,,,,71.75,,,,,,,,
1,9,,,,,9,,,,,,,,
1,7.85,,,,,7.85,,,,,,,,
1,43.7,,,,,43.7,,,,,,,,
1,16.1,,,,,16.1,,,,,,,,
1,8.2,,,,,8.2,,,,,,,,
1,8.1,,,,,8.1,,,,,,,,
1,8.7,,,,,8.7,,,,,,,,
1,16.2,,,,,16.2,,,,,,,,
1,8.7,,,,,8.7,,,,,,,,
1,7.7,,,,,7.7,,,,,,,,
1,15.45,,,,,15.45,,,,,,,,
1,7.35,,,,,7.35,,,,,,,,
5,7.85,,,,,,,,,7.85,,,,
5,7.55,,,,,,,,,7.55,,,,
5,14.4,,,,,,,,,14.4,,,,
5,7.4,,,,,,,,,7.4,,,,
5,8.3,,,,,,,,,8.3,,,,
5,7.6,,,,,,,,,7.6,,,,
5,14.4,,,,,,,,,14.4,,,,
5,7.75,,,,,,,,,7.75,,,,
5,8.3,,,,,,,,,8.3,,,,
5,7.7,,,,,,,,,7.7,,,,
5,8.25,,,,,,,,,8.25,,,,
5,7.75,,,,,,,,,7.75,,,,
5,8,,,,,,,,,8,,,,
5,7.45,,,,,,,,,7.45,,,,
5,14.3,,,,,,,,,14.3,,,,
5,7.5,,,,,,,,,7.5,,,,
5,8.2,,,,,,,,,8.2,,,,
5,7.4,,,,,,,,,7.4,,,,
5,7.749,,,,,,,,,7.749,,,,
5,7.8,,,,,,,,,7.8,,,,
1,,10.9625,,,,,,,,,,,,
2,,10.425,,,,,,,,,,,,
3,,8.041666667,,,,,,,,,,,,
4,,7.891666667,,,,,,,,,,,,
5,,7.891666667,,,,,,,,,,,,
1,,,16.90995,,,,,,,,,,,
2,,,12.62,,,,,,,,,,,
3,,,8.0825,,,,,,16.90995,12.62,8.0825,9.465,8.78245,
4,,,9.465,,,,,0,7.35,7.45,7.35,7.5,7.4,
5,,,8.78245,,,,,1,8.0625,7.6,7.625,7.7,7.5875,
,,,,,,,,2,8.7,8.425,7.95,7.8,7.8,
,,,,,,,,3,16.125,15.25,8.55,8.175,8.2875,
,,,,,,,,4,71.75,35.6,8.95,32.2,14.4,
,,,,,,,,,,,,,,
,,,,,,,,,10.9625,10.425,8.041666667,7.891666667,7.891666667,
