,Data,Average,,,,,,,
3,7.85,,,,,,7.85,,
3,7.3,,,,,,7.3,,
3,7.6,,,,,,7.6,,
3,12.75,,,,,,12.75,,
3,7.8,,,,,,7.8,,
3,8.25,,,,,,8.25,,
3,7.8,,,,,,7.8,,
3,8,,,,,,8,,
3,7.7,,,,,,7.7,,
3,7.85,,,,,,7.85,,
3,41.85,,,,,,41.85,,
3,7.9,,,,,,7.9,,
3,7.95,,,,,,7.95,,
3,7.95,,,,,,7.95,,
3,7.9,,,,,,7.9,,
3,7.7,,,,,,7.7,,
3,7.85,,,,,,7.85,,
3,7.65,,,,,,7.65,,
3,7.5,,,,,,7.5,,
2,7.75,,,,,7.75,,,
2,13.3,,,,,13.3,,,
2,7.45,,,,,7.45,,,
2,7.8,,,,,7.8,,,
2,13.75,,,,,13.75,,,
2,8.15,,,,,8.15,,,
2,25.7,,,,,25.7,,,
2,8.2,,,,,8.2,,,
2,7.65,,,,,7.65,,,
2,8.05,,,,,8.05,,,
2,7.7,,,,,7.7,,,
2,14.2,,,,,14.2,,,
2,7.55,,,,,7.55,,,
2,26.35,,,,,26.35,,,
2,13.75,,,,,13.75,,,
2,7.95,,,,,7.95,,,
2,7.35,,,,,7.35,,,
2,20.4,,,,,20.4,,,
2,27,,,,,27,,,
4,7.85,,,,,,,7.85,
4,7.6,,,,,,,7.6,
4,7.9,,,,,,,7.9,
4,7.65,,,,,,,7.65,
4,8.55,,,,,,,8.55,
4,7.8,,,,,,,7.8,
4,7.8,,,,,,,7.8,
4,13.799,,,,,,,13.799,
4,8.05,,,,,,,8.05,
4,7.5,,,,,,,7.5,
4,7.85,,,,,,,7.85,
4,7.8,,,,,,,7.8,
4,7.8,,,,,,,7.8,
4,21.7,,,,,,,21.7,
4,8,,,,,,,8,
4,7.95,,,,,,,7.95,
4,7.756,,,,,,,7.756,
4,7.55,,,,,,,7.55,
1,85.35,,,,85.35,,,,
1,47.101,,,,47.101,,,,
1,7.75,,,,7.75,,,,
1,27.4,,,,27.4,,,,
1,26.2,,,,26.2,,,,
1,87.7,,,,87.7,,,,
1,39.1,,,,39.1,,,,
1,37.6,,,,37.6,,,,
1,115.6,,,,115.6,,,,
1,43.95,,,,43.95,,,,
1,57.1,,,,57.1,,,,
1,45.25,,,,45.25,,,,
1,64.7,,,,64.7,,,,
1,56.7,,,,56.7,,,,
1,84.3,,,,84.3,,,,
1,43.9,,,,43.9,,,,
1,14.2,,,,14.2,,,,
1,59.7,,,,59.7,,,,
1,14,,,,14,,,,
1,13.65,,,,13.65,,,,
5,7.95,,,,,,,,7.95
5,7.6,,,,,,,,7.6
5,8.1,,,,,,,,8.1
5,7.65,,,,,,,,7.65
5,8.1,,,,,,,,8.1
5,7.6,,,,,,,,7.6
5,7.9,,,,,,,,7.9
5,7.55,,,,,,,,7.55
5,7.45,,,,,,,,7.45
5,7.551,,,,,,,,7.551
5,8.05,,,,,,,,8.05
5,7.65,,,,,,,,7.65
5,7.95,,,,,,,,7.95
5,7.4,,,,,,,,7.4
5,7.9,,,,,,,,7.9
5,7.6,,,,,,,,7.6
5,7.85,,,,,,,,7.85
5,7.55,,,,,,,,7.55
5,7.9,,,,,,,,7.9
5,7.6,,,,,,,,7.6
1,,48.56255,,,,,,,
2,,12.63421053,,,48.56255,12.63421053,9.85,8.939166667,7.74505
3,,9.85,,,,,,,
4,,8.939166667,,,,,,,
5,,7.74505,,,,,,,
